normalized_label,canonical_label_current,mention_count,unique_docs,source_types,example_mentions,in_alias_dictionary
USSR,USSR,103,41,Country; Government,USSR,False
LAOS,LAOS,72,40,Country; Location,Laos,False
CONGO,CONGO,52,35,Country; Location,Congo,False
SOVIET UNION,SOVIET UNION,50,30,Country; Government,Soviet Union,False
GIZENGA,GIZENGA,48,30,Person; PoliticalGroup,Gizenga,False
COMMUNIST CHINA,COMMUNIST CHINA,48,29,Country; Government,Communist China,False
PATHET LAO,PATHET LAO,48,29,Military; PoliticalGroup,Pathet Lao,False
NATIONAL SECURITY AGENCY,NATIONAL SECURITY AGENCY,46,46,Organization,National Security Agency,False
PEIPING,PEIPING,46,28,Government; Location,Peiping,False
DIRECTOR,DIRECTOR,46,16,Person,Director,False
NATIONAL INDICATIONS CENTER,NATIONAL INDICATIONS CENTER,45,45,Organization,National Indications Center,False
ATOMIC ENERGY COMMISSION,ATOMIC ENERGY COMMISSION,44,44,Organization,Atomic Energy Commission,False
DEPARTMENT OF DEFENSE,DEPARTMENT OF DEFENSE,44,44,Government; Organization,Department of Defense,False
SOUVANNA PHOUMA,SOUVANNA PHOUMA,43,30,Person,Souvanna Phouma,False
FEDERAL BUREAU OF INVESTIGATION,FEDERAL BUREAU OF INVESTIGATION,41,41,Organization,Federal Bureau of Investigation,False
NORTH VIETNAM,NORTH VIETNAM,39,28,Country; Government,North Vietnam,False
UAR,UAR,38,21,Country; Government; Military; Organization; PoliticalGroup,UAR,False
KHRUSHCHEV,KHRUSHCHEV,37,18,Person,Khrushchev,False
UNITED STATES,UNITED STATES,33,27,Country,United States,False
HAMMARSKJOLD,HAMMARSKJOLD,32,22,Person,Hammarskjold,False
SECRETARY OF DEFENSE,SECRETARY OF DEFENSE,28,28,Person,Secretary of Defense,False
UN,UN,28,22,Organization,UN,False
KASAVUBU,KASAVUBU,28,19,Person,Kasavubu,False
LUMUMBA,LUMUMBA,28,19,Person,Lumumba,False
FRANCE,FRANCE,28,18,Country; Location,France,False
GENERAL PHOUMI,GENERAL PHOUMI,27,21,Person,General Phoumi,False
DEPARTMENT OF JUSTICE,DEPARTMENT OF JUSTICE,26,26,Government; Organization,Department of Justice,False
DEPARTMENT OF STATE,DEPARTMENT OF STATE,25,25,Government; Organization,Department of State,False
MOBUTU,MOBUTU,25,23,Person,Mobutu,False
TSHOMBÉ,TSHOMBÉ,25,16,Person,Tshombé,False
UNITED STATES INFORMATION AGENCY,UNITED STATES INFORMATION AGENCY,24,24,Organization,United States Information Agency,False
BELGIUM,BELGIUM,24,17,Country,Belgium,False
DE GAULLE,DE GAULLE,24,13,Person,De Gaulle,False
PORTUGAL,PORTUGAL,23,15,Country,Portugal,False
CUBA,CUBA,23,14,Country,Cuba,False
EAST GERMANY,EAST GERMANY,21,14,Country; Government; Location,East Germany,False
IRAQ,IRAQ,21,12,Country,Iraq,False
"ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY","ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY",20,20,Person,"Assistant Chief of Staff for Intelligence, Department of Army",False
"ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE","ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE",20,20,Person,"Assistant Chief of Staff, Intelligence, Department of the Air Force",False
CENTRAL INTELLIGENCE BULLETIN,CENTRAL INTELLIGENCE BULLETIN,20,20,Document,CENTRAL INTELLIGENCE BULLETIN; Central Intelligence Bulletin,False
"CHAIRMAN, THE JOINT CHIEFS OF STAFF","CHAIRMAN, THE JOINT CHIEFS OF STAFF",20,20,Person,"Chairman, The Joint Chiefs of Staff",False
"CHIEF OF NAVAL OPERATIONS, UNITED STATES NAVY","CHIEF OF NAVAL OPERATIONS, UNITED STATES NAVY",20,20,Person,"Chief of Naval Operations, United States Navy",False
"CHIEF OF STAFF, UNITED STATES AIR FORCE","CHIEF OF STAFF, UNITED STATES AIR FORCE",20,20,Person,"Chief of Staff, United States Air Force",False
"CHIEF OF STAFF, UNITED STATES ARMY","CHIEF OF STAFF, UNITED STATES ARMY",20,20,Person,"Chief of Staff, United States Army",False
"COMMANDANT, UNITED STATES MARINE CORPS","COMMANDANT, UNITED STATES MARINE CORPS",20,20,Person,"Commandant, United States Marine Corps",False
