node_key,degree
CANONICAL_ENTITY:INTERIOR_MINISTER_MUNONGO,7
CANONICAL_ENTITY:KING_SAVANG,78
CANONICAL_ENTITY:KING_SISAVANG_VONG,4
CANONICAL_ENTITY:NKRUMAH,34
CANONICAL_ENTITY:PHOUI_SANANIKONE,11
CANONICAL_ENTITY:PRIME_MINISTER_CHANG_MYON,6
CANONICAL_ENTITY:PRINCE_SOUPHANNOUVONG,34
EVENT_CLUSTER:804,19
EVENT_CLUSTER:805,13
EVENT_CLUSTER:806,13
EVENT_CLUSTER:870,14
EVENT_CLUSTER:871,14
EVENT_CLUSTER:872,14
EVENT_CLUSTER:873,14
EVENT_CLUSTER:874,14
CANONICAL_ENTITY:ADENAUER,140
CANONICAL_ENTITY:AFGHANISTAN,41
CANONICAL_ENTITY:AFRICAN_EXILE_GROUPS,5
CANONICAL_ENTITY:AFRICAN_NATIONAL_CONGRESS,5
CANONICAL_ENTITY:AMERICAN_EMBASSY,65
CANONICAL_ENTITY:ANDHRA_PRADESH,4
CANONICAL_ENTITY:ANGOLA,137
CANONICAL_ENTITY:ARGENTINA,35
CANONICAL_ENTITY:ARINOS,16
CANONICAL_ENTITY:BELGIUM,205
CANONICAL_ENTITY:BENEDIKTOV,16
CANONICAL_ENTITY:BERTHOLD_BEITZ,11
CANONICAL_ENTITY:BONN,56
CANONICAL_ENTITY:BRAZIL,90
CANONICAL_ENTITY:CEYLON,64
CANONICAL_ENTITY:CHIEF_LUTHULI,5
CANONICAL_ENTITY:CHRISTIAN_DEMOCRATIC_UNION,6
CANONICAL_ENTITY:COMMONWEALTH,6
CANONICAL_ENTITY:COMMONWEALTH_PRIME_MINISTERS_CONFERENCE,5
CANONICAL_ENTITY:COMMON_MARKET,35
CANONICAL_ENTITY:COMMUNIST_CHINA,345
CANONICAL_ENTITY:CYRANKIEWICZ,4
CANONICAL_ENTITY:CZECHOSLOVAKIA,53
CANONICAL_ENTITY:DEAN_ACHESON,4
CANONICAL_ENTITY:DOCTOR_MATTHEWS,5
CANONICAL_ENTITY:DOCTOR_ZUMA,5
CANONICAL_ENTITY:DUTCH,6
CANONICAL_ENTITY:DUTT,7
CANONICAL_ENTITY:EAST_GERMANY,116
CANONICAL_ENTITY:EEC,24
CANONICAL_ENTITY:EGYPT,19
CANONICAL_ENTITY:EGYPTIAN_NATIONAL_BANK,9
CANONICAL_ENTITY:ELISABETHVILLE,45
CANONICAL_ENTITY:FANFANI,14
CANONICAL_ENTITY:FRANCE,149
CANONICAL_ENTITY:FRENCH_FOREIGN_MINISTRY,24
CANONICAL_ENTITY:GENERAL_DELGADO,12
CANONICAL_ENTITY:GERMAN_DEMOCRATIC_UNION,7
CANONICAL_ENTITY:HAMMARSKJOLD,162
CANONICAL_ENTITY:HENRIQUE_GALVAO,19
CANONICAL_ENTITY:IBERIAN_LIBERATION_MOVEMENT,5
CANONICAL_ENTITY:INDIAN_COMMUNIST_PARTY,11
CANONICAL_ENTITY:INDIAN_GOVERNMENT,4
CANONICAL_ENTITY:INTERNATIONAL_MONETARY_FUND,4
CANONICAL_ENTITY:ITALY,41
CANONICAL_ENTITY:JANIO_QUADROS,32
CANONICAL_ENTITY:JEAN_MONNET,8
CANONICAL_ENTITY:KAMINA,17
CANONICAL_ENTITY:KASAVUBU,149
CANONICAL_ENTITY:KEP_AIRFIELD,6
CANONICAL_ENTITY:KONGOLO,6
CANONICAL_ENTITY:KRUPP_INDUSTRIAL_ENTERPRISES,3
CANONICAL_ENTITY:KUWAIT,6
CANONICAL_ENTITY:LEOPOLDVILLE,90
CANONICAL_ENTITY:LIBYA,20
CANONICAL_ENTITY:LONDON,9
CANONICAL_ENTITY:LUANDA,25
CANONICAL_ENTITY:LUNS,8
CANONICAL_ENTITY:LUXEMBOURG,4
CANONICAL_ENTITY:MATADI,16
CANONICAL_ENTITY:MOVEMENT_OF_THE_PEOPLE_FOR_THE_LIBERATION_OF_ANGOLA,5
CANONICAL_ENTITY:M_A_SUSLOV,6
CANONICAL_ENTITY:NATO,27
CANONICAL_ENTITY:NEHRU,50
CANONICAL_ENTITY:NORSTAD,3
CANONICAL_ENTITY:PAKISTAN,56
CANONICAL_ENTITY:PAN_AFRICANIST_CONGRESS,6
CANONICAL_ENTITY:PERONISTA_GROUPS,5
CANONICAL_ENTITY:PKI,4
CANONICAL_ENTITY:POLAND,70
CANONICAL_ENTITY:PONDOLAND,5
CANONICAL_ENTITY:PORTUGAL,113
CANONICAL_ENTITY:PRESIDENT_FRONDIZI,16
CANONICAL_ENTITY:PUSHTOON_TRIBES,13
CANONICAL_ENTITY:RAPACKI,3
CANONICAL_ENTITY:SHAH,25
CANONICAL_ENTITY:SOUTH_AFRICA,32
CANONICAL_ENTITY:SOUTH_AFRICAN_GOVERNMENT,12
CANONICAL_ENTITY:STRAUSS,9
CANONICAL_ENTITY:SYRIA,24
CANONICAL_ENTITY:ULBRICHT,18
CANONICAL_ENTITY:UN_GENERAL_ASSEMBLY,20
CANONICAL_ENTITY:USSR,408
CANONICAL_ENTITY:US_DEFENSE_POLICY,1
CANONICAL_ENTITY:VIJAYAWADA,3
CANONICAL_ENTITY:WESTERN_EUROPE,5
CANONICAL_ENTITY:WEST_BERLIN,22
CANONICAL_ENTITY:WEST_GERMANY,46
EVENT_CLUSTER:152,45
EVENT_CLUSTER:17,49
EVENT_CLUSTER:189,11
EVENT_CLUSTER:190,15
EVENT_CLUSTER:191,11
EVENT_CLUSTER:192,11
EVENT_CLUSTER:193,10
EVENT_CLUSTER:194,10
EVENT_CLUSTER:261,44
EVENT_CLUSTER:325,32
EVENT_CLUSTER:359,36
EVENT_CLUSTER:364,11
EVENT_CLUSTER:365,11
EVENT_CLUSTER:366,11
EVENT_CLUSTER:376,9
EVENT_CLUSTER:377,10
EVENT_CLUSTER:378,10
EVENT_CLUSTER:379,10
EVENT_CLUSTER:380,10
EVENT_CLUSTER:515,19
EVENT_CLUSTER:528,20
EVENT_CLUSTER:529,10
EVENT_CLUSTER:534,13
EVENT_CLUSTER:535,13
EVENT_CLUSTER:536,13
EVENT_CLUSTER:537,11
EVENT_CLUSTER:538,19
EVENT_CLUSTER:539,49
EVENT_CLUSTER:541,11
EVENT_CLUSTER:542,11
EVENT_CLUSTER:543,11
EVENT_CLUSTER:553,10
EVENT_CLUSTER:554,10
EVENT_CLUSTER:555,20
EVENT_CLUSTER:681,29
EVENT_CLUSTER:687,15
EVENT_CLUSTER:688,15
EVENT_CLUSTER:689,15
EVENT_CLUSTER:690,10
EVENT_CLUSTER:71,27
CANONICAL_ENTITY:ADENAUERS_PARTY,13
CANONICAL_ENTITY:LAOTIAN_GOVERNMENT,47
CANONICAL_ENTITY:NORTH_VIETNAM,173
CANONICAL_ENTITY:SOVIET_PRESIDIUM,7
CANONICAL_ENTITY:UNITED_STATES,181
EVENT_CLUSTER:2,110
EVENT_CLUSTER:207,37
CANONICAL_ENTITY:ADMIRAL_MARTADINATA,9
CANONICAL_ENTITY:AIR_MARSHAL_SURYADARMA,9
CANONICAL_ENTITY:ALBANIA,75
CANONICAL_ENTITY:ENVER_HOXHA,18
CANONICAL_ENTITY:GENERAL_NASUTION,31
CANONICAL_ENTITY:INDONESIA,71
CANONICAL_ENTITY:SOVIET_UNION,184
EVENT_CLUSTER:254,40
EVENT_CLUSTER:255,7
EVENT_CLUSTER:256,7
CANONICAL_ENTITY:ADOULA,15
CANONICAL_ENTITY:BOMBOKO,63
CANONICAL_ENTITY:DJAKARTA,22
CANONICAL_ENTITY:HANOI,53
CANONICAL_ENTITY:MOBUTU,139
CANONICAL_ENTITY:NORTH_VIETNAMESE_TROOPS,21
CANONICAL_ENTITY:PEIPING,166
CANONICAL_ENTITY:TSHOMB,128
CANONICAL_ENTITY:UN_COMMAND,23
EVENT_CLUSTER:388,46
EVENT_CLUSTER:673,13
EVENT_CLUSTER:674,13
EVENT_CLUSTER:675,13
CANONICAL_ENTITY:ADRIANO_MOREIRA,14
CANONICAL_ENTITY:ALGERIA,117
CANONICAL_ENTITY:FLN,4
CANONICAL_ENTITY:INDIA,91
CANONICAL_ENTITY:JAPAN,72
CANONICAL_ENTITY:MONIZ,36
CANONICAL_ENTITY:NORTH_KOREA,45
CANONICAL_ENTITY:SALAZAR,80
EVENT_CLUSTER:782,27
EVENT_CLUSTER:820,24
EVENT_CLUSTER:821,16
CANONICAL_ENTITY:AYUB,31
CANONICAL_ENTITY:BURMESE_GOVERNMENT,26
CANONICAL_ENTITY:CAIRO,59
CANONICAL_ENTITY:DAUD,6
CANONICAL_ENTITY:GENERAL_NE_WIN,37
CANONICAL_ENTITY:GERMAN_FOREIGN_MINISTRY,4
CANONICAL_ENTITY:KABUL,12
CANONICAL_ENTITY:PATHET_LAO,208
CANONICAL_ENTITY:PRIME_MINISTER_U_NU,9
CANONICAL_ENTITY:PUSHTOONISTAN,8
CANONICAL_ENTITY:PYONGYANG,5
CANONICAL_ENTITY:RAWALPINDI,5
CANONICAL_ENTITY:SOUVANNA_PHOUMA,217
CANONICAL_ENTITY:TOKYO,7
EVENT_CLUSTER:10,11
EVENT_CLUSTER:11,11
EVENT_CLUSTER:545,9
EVENT_CLUSTER:546,9
EVENT_CLUSTER:547,7
EVENT_CLUSTER:548,7
EVENT_CLUSTER:579,25
EVENT_CLUSTER:822,14
EVENT_CLUSTER:823,10
EVENT_CLUSTER:9,11
CANONICAL_ENTITY:AFGHAN_ARMY,8
CANONICAL_ENTITY:CHOSEN_SOREN,8
CANONICAL_ENTITY:PAKISTANI_GOVERNMENT,12
EVENT_CLUSTER:832,5
CANONICAL_ENTITY:AFGHAN_ARMY_UNIFORM_FACTORY,14
CANONICAL_ENTITY:ATOMIC_ENERGY_COMMISSION,44
CANONICAL_ENTITY:BAJAUR_REGION,3
CANONICAL_ENTITY:DEPARTMENT_OF_DEFENSE,22
CANONICAL_ENTITY:DEPARTMENT_OF_JUSTICE,8
CANONICAL_ENTITY:DEPARTMENT_OF_STATE,15
CANONICAL_ENTITY:FEDERAL_BUREAU_OF_INVESTIGATION,12
CANONICAL_ENTITY:NATIONAL_INDICATIONS_CENTER,14
CANONICAL_ENTITY:NATIONAL_SECURITY_AGENCY,14
CANONICAL_ENTITY:TRIBAL_TYPE_CLOTHING,1
EVENT_CLUSTER:833,13
EVENT_CLUSTER:834,13
CANONICAL_ENTITY:AFGHAN_INCURSION,1
CANONICAL_ENTITY:AFRICA,24
CANONICAL_ENTITY:ASIA,3
CANONICAL_ENTITY:ATHENS,3
CANONICAL_ENTITY:AUSTRIA,28
CANONICAL_ENTITY:COMMUNIST_PARTY,24
CANONICAL_ENTITY:CUBA,141
CANONICAL_ENTITY:EFTA,3
CANONICAL_ENTITY:FRANCISCO_CARLOS_DE_CASTRO_NEVES,4
CANONICAL_ENTITY:GREECE,36
CANONICAL_ENTITY:ISRAEL,9
CANONICAL_ENTITY:LATIN_AMERICA,3
CANONICAL_ENTITY:MARIANI,6
CANONICAL_ENTITY:MIDDLE_EAST,3
CANONICAL_ENTITY:ODYLIA_DENYS,5
CANONICAL_ENTITY:THIRD_ALL_AFRICAN_PEOPLES_CONFERENCE,7
CANONICAL_ENTITY:TUNISIA,33
CANONICAL_ENTITY:TURKEY,33
EVENT_CLUSTER:177,34
EVENT_CLUSTER:292,13
EVENT_CLUSTER:657,17
CANONICAL_ENTITY:AFRICAN_NATIONAL_CONGRESS_ANC,12
CANONICAL_ENTITY:BANK_OF_CHINA,3
CANONICAL_ENTITY:COLONIAL_OFFICE,16
CANONICAL_ENTITY:HAINAN_ISLAND,12
CANONICAL_ENTITY:JULIUS_NYERERE,9
CANONICAL_ENTITY:KAHAMA,3
CANONICAL_ENTITY:MACLEOD,7
CANONICAL_ENTITY:SIR_RICHARD_TURNBULL,3
EVENT_CLUSTER:626,29
EVENT_CLUSTER:641,13
CANONICAL_ENTITY:AFRICAN_PROVINCES,1
CANONICAL_ENTITY:AFRICAN_REVOLUTIONARY_FRONT_FOR_THE_NATIONAL_INDEPENDENCE_OF_PORTUGUESE_COLONIES,18
CANONICAL_ENTITY:CAPE_VERDE,7
CANONICAL_ENTITY:CUBAN_COMMUNISTS_POPULAR_SOCIALIST_PARTY,16
CANONICAL_ENTITY:GUINEA,33
CANONICAL_ENTITY:LUCIO_LARA,5
CANONICAL_ENTITY:PORTUGUESE_GUINEA,16
CANONICAL_ENTITY:ROBERTO_HOLDEN,14
CANONICAL_ENTITY:TOUR,12
CANONICAL_ENTITY:UNION_OF_THE_ANGOLAN_PEOPLE,9
EVENT_CLUSTER:501,5
EVENT_CLUSTER:502,5
EVENT_CLUSTER:503,5
EVENT_CLUSTER:504,5
EVENT_CLUSTER:620,7
EVENT_CLUSTER:621,7
CANONICAL_ENTITY:AFRICAN_REVOLUTIONARY_FRONT_FOR_THE_NATIONAL_INDEPENDENCE_OF_PORTUGUESE_COLONIES_FRAIN,10
CANONICAL_ENTITY:ANGOLAN_PEOPLES_UNION_UPA,43
CANONICAL_ENTITY:MONSIGNOR_MANUEL_MENDES_DAS_NEVES,7
CANONICAL_ENTITY:QASIM,45
EVENT_CLUSTER:722,7
EVENT_CLUSTER:723,7
EVENT_CLUSTER:724,7
EVENT_CLUSTER:725,7
CANONICAL_ENTITY:AFRO_ASIAN_BLOC,27
CANONICAL_ENTITY:ANTONIO_PINTO_BARBOSA,5
CANONICAL_ENTITY:CHANG_MYON,36
CANONICAL_ENTITY:DEMOCRATIC_PARTY,11
CANONICAL_ENTITY:IKEDA,22
CANONICAL_ENTITY:LIBERAL_DEMOCRATIC_PARTY_LDP,6
CANONICAL_ENTITY:MARCELLO_CAETANO,5
CANONICAL_ENTITY:NATIONAL_FRONT,14
CANONICAL_ENTITY:NATIONAL_UNION,14
CANONICAL_ENTITY:PIDE,4
CANONICAL_ENTITY:REPUBLIC_OF_THE_CONGO,37
CANONICAL_ENTITY:TSHOMBE,94
CANONICAL_ENTITY:UN,136
EVENT_CLUSTER:346,10
EVENT_CLUSTER:347,10
EVENT_CLUSTER:680,19
EVENT_CLUSTER:70,20
EVENT_CLUSTER:767,13
EVENT_CLUSTER:768,22
CANONICAL_ENTITY:AFRO_ASIAN_PLAN,1
CANONICAL_ENTITY:ECUADOREAN_GOVERNMENT,6
CANONICAL_ENTITY:AFRO_ASIAN_STATES,10
CANONICAL_ENTITY:GIZENGAS_STANLEYVILLE_REGIME,31
CANONICAL_ENTITY:MOROCCO,75
CANONICAL_ENTITY:SOVIET_GOVERNMENT,7
EVENT_CLUSTER:482,19
EVENT_CLUSTER:491,10
CANONICAL_ENTITY:AHIDJO,13
CANONICAL_ENTITY:KENYA,20
CANONICAL_ENTITY:UNION_OF_THE_CAMEROONS_POPULATIONS,6
CANONICAL_ENTITY:UNITED_STATES_AIR_FORCE,9
CANONICAL_ENTITY:UNITED_STATES_ARMY,8
CANONICAL_ENTITY:UNITED_STATES_MARINE_CORPS,4
CANONICAL_ENTITY:UNITED_STATES_NAVY,8
EVENT_CLUSTER:443,10
EVENT_CLUSTER:444,10
CANONICAL_ENTITY:AIR_FORCE_COMMANDER,15
CANONICAL_ENTITY:DAI_VIET_PARTY,6
CANONICAL_ENTITY:KIVU_PROVINCE,32
CANONICAL_ENTITY:MODIBO_KEITA,5
EVENT_CLUSTER:109,21
EVENT_CLUSTER:113,16
EVENT_CLUSTER:114,16
EVENT_CLUSTER:115,16
CANONICAL_ENTITY:AKIF_FAYIZ,13
CANONICAL_ENTITY:BADR,7
CANONICAL_ENTITY:BANI_SAKHIR,6
CANONICAL_ENTITY:HABES_MAJALLI,5
CANONICAL_ENTITY:IMAM_OF_YEMEN,5
CANONICAL_ENTITY:KING_HUSAYN,16
CANONICAL_ENTITY:MAJOR_GENERAL_AKASH_ZABIN,6
CANONICAL_ENTITY:SAUDI_ARABIA,15
CANONICAL_ENTITY:TANGANYIKA,6
EVENT_CLUSTER:640,10
CANONICAL_ENTITY:AKO_ADJEI,16
CANONICAL_ENTITY:COLONEL_ROGER_TRINQUIER,8
EVENT_CLUSTER:158,35
EVENT_CLUSTER:185,34
EVENT_CLUSTER:209,19
EVENT_CLUSTER:210,19
EVENT_CLUSTER:211,19
CANONICAL_ENTITY:ALBANIAN_WORKERS_COMMUNIST_PARTY,6
CANONICAL_ENTITY:AZORES_BASES_AGREEMENT,4
CANONICAL_ENTITY:BELGIAN_MILITARY,20
CANONICAL_ENTITY:BRITISH_COLONIAL_SECRETARY_MACLEOD,19
CANONICAL_ENTITY:CROWN_PRINCE_BADR,6
CANONICAL_ENTITY:CZECH,10
CANONICAL_ENTITY:CZECHOSLOVAK_AIRLINES,6
CANONICAL_ENTITY:DAR_ES_SALAAM,23
CANONICAL_ENTITY:IMAM,5
CANONICAL_ENTITY:KASAI_PROVINCE,14
CANONICAL_ENTITY:KHARTOUM,4
CANONICAL_ENTITY:KOCO_TASHKO,7
CANONICAL_ENTITY:LIRI_BELISHOVA,7
CANONICAL_ENTITY:MAJLIS,4
CANONICAL_ENTITY:MEHMET_SHEHU,4
CANONICAL_ENTITY:MOSCOW,96
CANONICAL_ENTITY:MRS_BANDARANAIKE,17
CANONICAL_ENTITY:SANTA_MARIA,8
CANONICAL_ENTITY:SOVIET_BLOC,37
CANONICAL_ENTITY:STANLEYVILLE,61
CANONICAL_ENTITY:SUDAN,50
CANONICAL_ENTITY:SUDANESE_GOVERNMENT,5
CANONICAL_ENTITY:TEMI_SEJKO,6
CANONICAL_ENTITY:TIRANA,10
CANONICAL_ENTITY:TITO,3
CANONICAL_ENTITY:TSHOMBES_REGIME,5
CANONICAL_ENTITY:VALONA_BAY,4
CANONICAL_ENTITY:ZERI_I_POPULLIT,6
EVENT_CLUSTER:16,36
EVENT_CLUSTER:243,16
EVENT_CLUSTER:244,10
EVENT_CLUSTER:245,10
EVENT_CLUSTER:257,9
EVENT_CLUSTER:313,9
EVENT_CLUSTER:314,9
EVENT_CLUSTER:315,15
EVENT_CLUSTER:317,14
EVENT_CLUSTER:318,10
EVENT_CLUSTER:319,10
EVENT_CLUSTER:326,12
EVENT_CLUSTER:488,23
EVENT_CLUSTER:496,9
EVENT_CLUSTER:497,9
EVENT_CLUSTER:627,9
CANONICAL_ENTITY:ALBANIAN_PARTY_CONGRESS,16
CANONICAL_ENTITY:CASTRO_REGIME,23
CANONICAL_ENTITY:COMMITTEE_OF_NATIONAL_UNION,31
CANONICAL_ENTITY:PORTUGUESE_AUTHORITIES,12
CANONICAL_ENTITY:REPUBLICAN_PEOPLES_PARTY,14
CANONICAL_ENTITY:YUGOSLAVIA,14
EVENT_CLUSTER:487,14
EVENT_CLUSTER:489,13
EVENT_CLUSTER:490,14
CANONICAL_ENTITY:ALBERT_DELVAUX,16
CANONICAL_ENTITY:AMERICAN_CONSUL,19
CANONICAL_ENTITY:BALUBA,34
CANONICAL_ENTITY:BELGIAN_ARMY,5
CANONICAL_ENTITY:BELGIAN_TRUST_TERRITORY_OF_RUANDA_URUNDI,21
CANONICAL_ENTITY:GHANAIAN_UN_TROOPS,6
CANONICAL_ENTITY:JOSEPH_ILEO,13
CANONICAL_ENTITY:LUMUMBA_COMMAND,5
EVENT_CLUSTER:122,16
EVENT_CLUSTER:123,16
EVENT_CLUSTER:124,16
EVENT_CLUSTER:125,16
CANONICAL_ENTITY:ALDO_MORO,13
CANONICAL_ENTITY:CHRISTIAN_DEMOCRATIC_PARTY,25
CANONICAL_ENTITY:COMMUNISTS,39
CANONICAL_ENTITY:GIOVANNI_MALAGODI,5
CANONICAL_ENTITY:LIBERALS,5
CANONICAL_ENTITY:NENNI,5
CANONICAL_ENTITY:SOCIALIST_PARTY,20
CANONICAL_ENTITY:TREASURY_DEPARTMENT,6
EVENT_CLUSTER:280,10
EVENT_CLUSTER:281,10
EVENT_CLUSTER:282,10
CANONICAL_ENTITY:ALFONS_GORBACH,18
CANONICAL_ENTITY:CHINESE_COMMUNIST_GOVERNMENT,9
CANONICAL_ENTITY:JULIUS_RAAB,6
CANONICAL_ENTITY:NATIONAL_DEFENSE_COMMITTEE_OF_THE_AUSTRIAN_PARLIAMENT,6
CANONICAL_ENTITY:RAAB,7
EVENT_CLUSTER:465,22
EVENT_CLUSTER:508,8
EVENT_CLUSTER:509,18
EVENT_CLUSTER:519,4
EVENT_CLUSTER:520,4
CANONICAL_ENTITY:ANTI_FASCIST_PEOPLES_FREEDOM_LEAGUE,6
CANONICAL_ENTITY:ARAB_LEAGUE,104
CANONICAL_ENTITY:AYUB_KHAN,6
CANONICAL_ENTITY:BERLIN,10
CANONICAL_ENTITY:BOURGUIBAISM,5
CANONICAL_ENTITY:BURMA,133
CANONICAL_ENTITY:CHINESE_COMMUNIST_NAVY,8
CANONICAL_ENTITY:COLONEL_ANIBAL_PORTILLO,36
CANONICAL_ENTITY:COUVE_DE_MURVILLE,6
CANONICAL_ENTITY:DR_FABIO_CASTILLO,8
CANONICAL_ENTITY:DR_JOSE_ANTONIO_RODRIGUEZ_PORTH,13
CANONICAL_ENTITY:ECUADOR,27
CANONICAL_ENTITY:ELBRICK,10
CANONICAL_ENTITY:EL_SALVADOR,67
CANONICAL_ENTITY:EYSKENS_SOCIAL_CHRISTIAN_LIBERAL_GOVERNMENT,14
CANONICAL_ENTITY:FIDEL_CASTRO,33
CANONICAL_ENTITY:GAVIN,5
CANONICAL_ENTITY:GENERAL_MAURICE_CHALLE,18
CANONICAL_ENTITY:GUILLAUME,5
CANONICAL_ENTITY:HAILE_SELASSIE,8
CANONICAL_ENTITY:IRAQ,108
CANONICAL_ENTITY:JACQUES_SOUSTELLE,4
CANONICAL_ENTITY:JOSE_CHIRIBOGA,23
CANONICAL_ENTITY:JULIO_RIVERA,15
CANONICAL_ENTITY:KOSYGIN,13
CANONICAL_ENTITY:KYAW_DUN,5
CANONICAL_ENTITY:LEBANON,3
CANONICAL_ENTITY:LOUIS_JOXE,17
CANONICAL_ENTITY:MANUEL_GOMES_DE_ARAUJO,5
CANONICAL_ENTITY:MARIO_SILVA,5
CANONICAL_ENTITY:MARSHAL_ALPHONSE_JUIN,6
CANONICAL_ENTITY:NIKOLAI_BURDENKO,7
CANONICAL_ENTITY:OSORIO,28
CANONICAL_ENTITY:PAG,39
CANONICAL_ENTITY:PAUL_ELY,6
CANONICAL_ENTITY:PROVISIONAL_ALGERIAN_GOVERNMENT,27
CANONICAL_ENTITY:RUANDA_URUNDI,13
CANONICAL_ENTITY:SACEUR,6
CANONICAL_ENTITY:SAN_SALVADOR,8
CANONICAL_ENTITY:TUNIS,9
CANONICAL_ENTITY:UNION_PARTY,6
CANONICAL_ENTITY:UNITED_STATES_INTELLIGENCE_BOARD,13
CANONICAL_ENTITY:U_NU,22
CANONICAL_ENTITY:WEST,3
EVENT_CLUSTER:12,9
EVENT_CLUSTER:13,9
EVENT_CLUSTER:202,42
EVENT_CLUSTER:215,16
EVENT_CLUSTER:227,6
EVENT_CLUSTER:228,6
EVENT_CLUSTER:229,8
EVENT_CLUSTER:232,11
EVENT_CLUSTER:233,11
EVENT_CLUSTER:234,11
EVENT_CLUSTER:238,5
EVENT_CLUSTER:239,5
EVENT_CLUSTER:308,18
EVENT_CLUSTER:4,26
EVENT_CLUSTER:45,16
EVENT_CLUSTER:46,40
EVENT_CLUSTER:47,10
EVENT_CLUSTER:5,14
EVENT_CLUSTER:6,20
EVENT_CLUSTER:7,17
EVENT_CLUSTER:783,7
EVENT_CLUSTER:784,13
