node_key,degree
CANONICAL_ENTITY:14_NATION_CONFERENCE,1
CANONICAL_ENTITY:PRINCE_SIHANOUK,52
CANONICAL_ENTITY:1954_GENEVA_AGREEMENT,13
CANONICAL_ENTITY:BOUN_OUM_GOVERNMENT,130
CANONICAL_ENTITY:FRENCH_AMBASSADOR_FALAIZE,8
CANONICAL_ENTITY:FRENCH_COUNSELOR_IN_VIENTIANE,1
CANONICAL_ENTITY:FRENCH_TROOPS,4
CANONICAL_ENTITY:KONG_LE_PATHET_LAO,135
CANONICAL_ENTITY:LAOS,317
CANONICAL_ENTITY:MUONG_KASSY,50
CANONICAL_ENTITY:PHOU_KHOUN,35
CANONICAL_ENTITY:SEATO,46
CANONICAL_ENTITY:SENO_MILITARY_BASE,3
CANONICAL_ENTITY:VIENTIANE,56
EVENT_CLUSTER:142,31
EVENT_CLUSTER:285,11
CANONICAL_ENTITY:1ST_INFANTRY_DIVISION,12
CANONICAL_ENTITY:BAGHDAD,34
CANONICAL_ENTITY:GENERAL_KHANH,6
CANONICAL_ENTITY:IRAQ_PETROLEUM_COMPANY,31
CANONICAL_ENTITY:KARBALA,4
CANONICAL_ENTITY:KIRKUK,4
CANONICAL_ENTITY:MOSUL,14
CANONICAL_ENTITY:NAJAF,4
CANONICAL_ENTITY:PRESIDENT_DIEM,41
CANONICAL_ENTITY:PRIME_MINISTER_QASIM,23
EVENT_CLUSTER:616,34
EVENT_CLUSTER:638,10
EVENT_CLUSTER:639,10
CANONICAL_ENTITY:35_PERCENT_OF_THE_ELECTORATE,1
CANONICAL_ENTITY:REGENERATIVE_PARTY_OF_THE_WORKING_PEOPLE_AKEL,6
CANONICAL_ENTITY:ABBOUD,28
CANONICAL_ENTITY:ANSAR_SECT,11
CANONICAL_ENTITY:BOURGUIBA,57
CANONICAL_ENTITY:BRITAIN,43
CANONICAL_ENTITY:BRITISH_CAMEROONS,15
CANONICAL_ENTITY:CAMEROUN,16
CANONICAL_ENTITY:DE_GAULLE,131
CANONICAL_ENTITY:FERHAT_ABBAS,24
CANONICAL_ENTITY:IRAN,57
CANONICAL_ENTITY:ISFAHAN,9
CANONICAL_ENTITY:KATANGA,91
CANONICAL_ENTITY:LUMUMBA,138
CANONICAL_ENTITY:MAJOR_GENERAL_HASAN_BASHIR_NASR,7
CANONICAL_ENTITY:MOHAMMED_BEN_BELLA,9
CANONICAL_ENTITY:NATIONAL_LIBERATION_FRONT,18
CANONICAL_ENTITY:NIGERIA,37
CANONICAL_ENTITY:SIDDIQ_AL_MAHDI,9
CANONICAL_ENTITY:SUDANESE_MILITARY_GOVERNMENT,6
CANONICAL_ENTITY:SUPREME_MILITARY_COUNCIL,6
EVENT_CLUSTER:159,48
EVENT_CLUSTER:431,18
EVENT_CLUSTER:432,29
EVENT_CLUSTER:433,18
EVENT_CLUSTER:438,8
EVENT_CLUSTER:439,9
EVENT_CLUSTER:440,8
EVENT_CLUSTER:441,8
EVENT_CLUSTER:442,6
CANONICAL_ENTITY:ABDULLAH_RIMAWI,15
CANONICAL_ENTITY:ALI_ABU_NUWAR,20
CANONICAL_ENTITY:DOMINICAN_REPUBLIC,57
CANONICAL_ENTITY:JORDAN,49
CANONICAL_ENTITY:KHRUSHCHEV,194
CANONICAL_ENTITY:KOMMUNIST,9
CANONICAL_ENTITY:NASIR,88
CANONICAL_ENTITY:PRESIDENT_BETANCOURT,20
CANONICAL_ENTITY:TRUJILLO,34
CANONICAL_ENTITY:UAR,165
CANONICAL_ENTITY:VENEZUELA,12
EVENT_CLUSTER:155,25
EVENT_CLUSTER:161,11
EVENT_CLUSTER:162,32
EVENT_CLUSTER:163,34
CANONICAL_ENTITY:ACCRA,28
CANONICAL_ENTITY:AMBASSADOR_BROWN,68
CANONICAL_ENTITY:AMERICAN_AMBASSADOR,34
CANONICAL_ENTITY:AMERICAN_EMBASSY_IN_LEOPOLDVILLE,6
CANONICAL_ENTITY:BELGIAN_CONTROLLED_MINING_COMPANY,7
CANONICAL_ENTITY:CONGO,289
CANONICAL_ENTITY:DIEM_GOVERNMENT,22
CANONICAL_ENTITY:DNEPROGES,4
CANONICAL_ENTITY:GENERAL_ALEXANDER,19
CANONICAL_ENTITY:GENERAL_PHOUMI,213
CANONICAL_ENTITY:GHANA,61
CANONICAL_ENTITY:GIZENGA,261
CANONICAL_ENTITY:ILEO_GOVERNMENT,20
