normalized_label,suggested_canonical_label,reason,mention_count,unique_docs,source_types,example_mentions
UAR,UNITED ARAB REPUBLIC,acronym_match,38,21,Country; Government; Military; Organization; PoliticalGroup,UAR
UN,UNITED NATIONS,acronym_match,28,22,Organization,UN
PAG,PROVISIONAL ALGERIAN GOVERNMENT,acronym_match,6,4,PoliticalGroup,PAG
OAS,ORGANIZATION OF AMERICAN STATES,acronym_match,5,5,Organization,OAS
UK,UNITED KINGDOM,acronym_match,2,2,Country,UK
THE TREASURY DEPARTMENT,TREASURY DEPARTMENT,leading_article,1,1,Government,The Treasury Department
