level2_id,size,top_labels,top_types,display_label
0,11,"1954 GENEVA AGREEMENT; ADMIRAL MARTADINATA; AIR MARSHAL SURYADARMA; ALGERIAN NATIONAL MOVEMENT (MNA); ADOULA; AFRO-ASIAN STATES; AKO ADJEI; ALBERT DELVAUX; ADENAUERS PARTY; AFRICA; ALBANIA; ALBANIAN PARTY CONGRESS; 1ST INFANTRY DIVISION; ABDULLAH RIMAWI; AFGHAN ARMY; AHIDJO; ADRIANO MOREIRA; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN); AFRO-ASIAN BLOC; ABBOUD; ADENAUER; AFRICAN EXILE GROUPS; AFRICAN NATIONAL CONGRESS; AFGHAN ARMY UNIFORM FACTORY; ALDO MORO; ARGENTINA; ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY; AFGHANISTAN; ALICAN; ANTI-FASCIST PEOPLES FREEDOM LEAGUE; ARBENZ; AFRICAN NATIONAL CONGRESS (ANC); AKIF FAYIZ; ARMED FORCES; BADR; ACCRA; AIR FORCE COMMANDER; AMERICAN AMBASSADOR; AMERICAN EMBASSY IN LEOPOLDVILLE; AMERICAN CONSULATE GENERAL IN HONG KONG; AMERICAN EMBASSY; CHILE; COLOMBIAN FOREIGN MINISTER TURBAY","{""LEVEL1_COMMUNITY"": 11}",1954 GENEVA AGREEMENT; ADMIRAL MARTADINATA; AIR MARSHAL SURYADARMA; ALGERIAN NATIONAL MOVEMENT (MNA); ADOULA; AFRO-ASIAN STATES; AKO ADJEI; ALBERT DELVAUX; ADENAUERS PARTY; AFRICA; ALBANIA; ALBANIAN PARTY CONGRESS; 1ST INFANTRY DIVISION; ABDULLAH RIMAWI; AFGHAN ARMY; AHIDJO
1,1,CYPRUS GOVERNMENT; EOKA; FAZIL KUCHUK; IKEDA GOVERNMENT,"{""LEVEL1_COMMUNITY"": 1}",CYPRUS GOVERNMENT; EOKA; FAZIL KUCHUK; IKEDA GOVERNMENT
