alias,canonical_label,notes
AMERICAN MILITARY ASSISTANCE ADVISORY GROUP,AMERICAN MILITARY ADVISORY GROUP,lexical_context_similarity
NEO LAO HAK ZAT PARTY (NLHZ),NEO LAO HAK SAT,lexical_context_similarity
NU,PREMIER NU,lexical_context_similarity
SEVENTH FLEET,US SEVENTH FLEET,lexical_context_similarity
ASWAN DAM,ASWAN HIGH DAM,lexical_context_similarity
FRENCH ALGERIA FRONT,FRONT FOR FRENCH ALGERIA,lexical_context_similarity
UN ECONOMIC COMMISSION FOR EUROPE,ECONOMIC COMMISSION FOR EUROPE,lexical_context_similarity
KONG LE - PATHET LAO FORCES,KONG LE - PATHET LAO,lexical_context_similarity
DOMINICAN MILITARY INTELLIGENCE SERVICE (SIM),MILITARY INTELLIGENCE SERVICE (SIM),lexical_context_similarity
SEAFARERS INTERNATIONAL,SEAFARERS INTERNATIONAL UNION,lexical_context_similarity
1936 ANGLO-EGYPTIAN TREATY,ANGLO-EGYPTIAN TREATY OF 1936,lexical_context_similarity
UK PRIME MINISTER MACMILLAN,PRIME MINISTER MACMILLAN,lexical_context_similarity
LAOS INTERNATIONAL CONTROL COMMISSION,INTERNATIONAL CONTROL COMMISSION,lexical_context_similarity
NATIONAL INTELLIGENCE AND SECURITY ORGANIZATION (SAVAK),IRANIAN NATIONAL INTELLIGENCE AND SECURITY ORGANIZATION (SAVAK),lexical_context_similarity
FRENCH PREMIER GAILLARD,PREMIER GAILLARD,lexical_context_similarity
PANIKKAR,INDIAN AMBASSADOR,lexical_context_similarity
BRITISH FOREIGN SECRETARY MORRISON,FOREIGN SECRETARY MORRISON,lexical_context_similarity
FRENCH ASSEMBLY,FRENCH NATIONAL ASSEMBLY,lexical_context_similarity
US AMBASSADOR CAFFERY,AMBASSADOR CAFFERY,lexical_context_similarity
EGYPTIAN REVOLUTIONARY COMMAND COUNCIL,REVOLUTIONARY COMMAND COUNCIL,lexical_context_similarity
MORRISON-KNUDSEN,MORRISON-KNUDSEN COMPANY,lexical_context_similarity
WEST GERMAN NATO DELEGATION,WEST GERMAN DELEGATION,lexical_context_similarity
POLISH UNITED WORKERS (COMMUNIST) PARTY,POLISH UNITED WORKERS PARTY,lexical_context_similarity
GREEK PRIME MINISTER KARAMANLIS,PRIME MINISTER KARAMANLIS,lexical_context_similarity
KING ZAHIR,KING ZAHIR SHAH,lexical_context_similarity
DEMOCRATIC ACTION,DEMOCRATIC ACTION PARTY,lexical_context_similarity
INDIAN EXTERNAL AFFAIRS MINISTRY,INDIAN MINISTRY OF EXTERNAL AFFAIRS,lexical_context_similarity
INTERNATIONAL CONTROL COMMISSION FOR LAOS,INTERNATIONAL CONTROL COMMISSION,lexical_context_similarity
SABRI ASALI,SABRI AL ASALI,lexical_context_similarity
US AMBASSADOR BRUCE,AMBASSADOR BRUCE,lexical_context_similarity
DEFENSE DEPARTMENT,DEPARTMENT OF DEFENSE,lexical_context_similarity
I. A. BENEDIKTOV,BENEDIKTOV,lexical_context_similarity
C. RAJAGOPALACHARI,RAJAGOPALACHARI,lexical_context_similarity
LAZAR KAGANOVICH,KAGANOVICH,lexical_context_similarity
SOVIET UN DELEGATION,SOVIET DELEGATION,lexical_context_similarity
US AMBASSADOR WADSWORTH,AMBASSADOR WADSWORTH,lexical_context_similarity
IRANIAN OIL COMPANY,NATIONAL IRANIAN OIL COMPANY,lexical_context_similarity
COMMITTEE FOR THE DEFENSE OF NATIONAL INTERESTS,COMMITTEE FOR DEFENSE OF NATIONAL INTERESTS (CDNI),lexical_context_similarity
UK FOREIGN SECRETARY MORRISON,FOREIGN SECRETARY MORRISON,lexical_context_similarity
FEDERATION OF MALI,MALI FEDERATION,lexical_context_similarity
U BA SWE,BA SWE,lexical_context_similarity
FRENCH FOREIGN MINISTER SCHUMAN,FOREIGN MINISTER SCHUMAN,lexical_context_similarity
TRIESTE FREE TERRITORY,FREE TERRITORY OF TRIESTE,lexical_context_similarity
COUNCIL OF ECONOMIC MUTUAL ASSISTANCE,COUNCIL FOR MUTUAL ECONOMIC ASSISTANCE,lexical_context_similarity
G. M. MALENKOV,MALENKOV,lexical_context_similarity
RED CROSS,US RED CROSS,lexical_context_similarity
US EMBASSY BELGRADE,US EMBASSY,lexical_context_similarity
VENEZUELAN DEMOCRATIC ACTION PARTY,DEMOCRATIC ACTION PARTY,lexical_context_similarity
FRENCH COUNCIL OF THE REPUBLIC,COUNCIL OF THE REPUBLIC,lexical_context_similarity
KOREAN PRISONERS OF WAR,KOREAN PRISONERS,lexical_context_similarity
XIENG KHOUANG PROVINCE,XIENG KHOUANG,lexical_context_similarity
UK CONSERVATIVE PARTY,CONSERVATIVE PARTY,lexical_context_similarity
SULTAN MOHAMED BEN YOUSSEF,MOHAMED BEN YOUSSEF,lexical_context_similarity
VICTOR PAZ ESTENSSORO,PAZ ESTENSSORO,lexical_context_similarity
TSHOMBÉ GOVERNMENT,TSHOMBÉS GOVERNMENT,lexical_context_similarity
KING IBN SAUD,KING SAUD,lexical_context_similarity
S. W. R. D. BANDARANAIKE,BANDARANAIKE,lexical_context_similarity
"US LEGATION, HELSINKI",US LEGATION IN HELSINKI,lexical_context_similarity
ARAB LEAGUE COLLECTIVE SECURITY PACT,ARAB COLLECTIVE SECURITY PACT,lexical_context_similarity
SOVIET THIRD LONG RANGE AIR ARMY,THIRD LONG RANGE AIR ARMY,lexical_context_similarity
CONSTITUTIONAL UNION,CONSTITUTIONAL UNION PARTY,lexical_context_similarity
FOREIGN OFFICE,BRITISH FOREIGN OFFICE,lexical_context_similarity
IRANIAN PRIME MINISTER MOSSADEQ,PRIME MINISTER MOSSADEQ,lexical_context_similarity
US AMBASSADOR BERRY,AMBASSADOR BERRY,lexical_context_similarity
SOCIALIST-RESURRECTIONIST PARTY,ARAB SOCIALIST RESURRECTION PARTY,lexical_context_similarity
BELGIAN PRIME MINISTER EYSKENS,PRIME MINISTER EYSKENS,lexical_context_similarity
US EMBASSY IN MADRID,US EMBASSY MADRID,lexical_context_similarity
EMBASSY BELGRADE,US EMBASSY,lexical_context_similarity
WILLIAM N. OATIS,WILLIAM OATIS,lexical_context_similarity
L. M. KAGANOVICH,KAGANOVICH,lexical_context_similarity
PACIFIC FLEET,SOVIET PACIFIC FLEET,lexical_context_similarity
D. N. AIDIT,AIDIT,lexical_context_similarity
UAR PRESIDENT NASIR,PRESIDENT NASIR,lexical_context_similarity
COMMUNIST PARTY IN JAPAN,JAPANESE COMMUNIST PARTY,lexical_context_similarity
V. V. KUZNETSOV,KUZNETSOV,lexical_context_similarity
V. S. SEMENOV,SEMENOV,lexical_context_similarity
A. I. MIKOYAN,ANASTAS MIKOYAN,lexical_context_similarity
GENERAL GLUBB PASHA,GENERAL GLUBB,lexical_context_similarity
BRITISH UN DELEGATE,BRITISH DELEGATE,lexical_context_similarity
M. P. KOIRALA,KOIRALA,lexical_context_similarity
AMBASSADOR COCHRAN,US AMBASSADOR COCHRAN,lexical_context_similarity
US AMBASSADOR MATTHEWS,AMBASSADOR MATTHEWS,lexical_context_similarity
AFGHAN KING ZAHIR SHAH,KING ZAHIR SHAH,lexical_context_similarity
GUY LA CHAMBRE,LA CHAMBRE,lexical_context_similarity
ISRAELI PRIME MINISTER BEN-GURION,PRIME MINISTER BEN-GURION,lexical_context_similarity
US AMBASSADOR MCCONAUGHY,MCCONAUGHY,lexical_context_similarity
