alias,canonical_label,notes
CONSUL GENERAL TYLER,AMERICAN CONSUL GENERAL TYLER,lexical_context_similarity
SECRETARY OF STATE DULLES,SECRETARY OF STATE,lexical_context_similarity
JAPAN SOCIALIST PARTY,JAPANESE SOCIALIST PARTY,lexical_context_similarity
NURI,NURI SAID,lexical_context_similarity
PEDRO ARAMBURU,ARAMBURU,lexical_context_similarity
FRENCH HIGH COMMISSIONER IN CAMBODIA,FRENCH HIGH COMMISSIONER,lexical_context_similarity
BROHI,A. K. BROHI,lexical_context_similarity
FRENCH MILITARY FORCES,FRENCH MILITARY,lexical_context_similarity
AMERICAN EMBASSY IN TUNIS,AMERICAN EMBASSY,lexical_context_similarity
BRITISH AMBASSADOR TO IRAN,BRITISH AMBASSADOR,lexical_context_similarity
VALLARINO,BOLIVAR VALLARINO,lexical_context_similarity
JOINT DISTRIBUTION COMMITTEE,AMERICAN JOINT DISTRIBUTION COMMITTEE,lexical_context_similarity
CHANCELLOR JULIUS RAAB,CHANCELLOR RAAB,lexical_context_similarity
MATSU ISLAND,MATSU ISLAND GROUP,lexical_context_similarity
BURAIMI AREA,BURAIMI,lexical_context_similarity
CHAUDRY MOHAMMAD ALI,MOHAMMAD ALI,lexical_context_similarity
GENERAL GEORGE GRIVAS,GENERAL GRIVAS,lexical_context_similarity
JORDAN NATIONAL GUARD,JORDANIAN NATIONAL GUARD,lexical_context_similarity
AMBASSADOR JOXE,FRENCH AMBASSADOR,lexical_context_similarity
FEDERAL PRESIDENT HEUSS,PRESIDENT HEUSS,lexical_context_similarity
CHINESE RED CROSS,COMMUNIST CHINESE RED CROSS,lexical_context_similarity
CHINESE COMMUNIST 22ND ARMY,CHINESE COMMUNIST ARMY,lexical_context_similarity
NORTH VIETNAMESE COMMANDERS,NORTH VIETNAMESE,lexical_context_similarity
SOVIET MINISTRY OF FOREIGN AFFAIRS,SOVIET FOREIGN MINISTRY,lexical_context_similarity
TRADE UNION CONGRESS,TRADES UNION CONGRESS,lexical_context_similarity
GUEVARA,CHE GUEVARA,lexical_context_similarity
PRESIDENT TSHOMBE,KATANGAN PRESIDENT TSHOMBE,lexical_context_similarity
EUROPEAN SETTLERS IN ALGERIA,EUROPEAN SETTLERS,lexical_context_similarity
GHANAIAN PRIME MINISTER NKRUMAH,PRIME MINISTER NKRUMAH,lexical_context_similarity
HABOMAI AND SHIKOTAN ISLANDS,HABOMAI ISLANDS,lexical_context_similarity
AMERICAN EMBASSY IN MOSCOW,AMERICAN EMBASSY,lexical_context_similarity
LEBANESE PRESIDENT,LEBANSE PRESIDENT CHAMOUN,lexical_context_similarity
PRESIDENT-ELECT EISENHOWER,EISENHOWER,lexical_context_similarity
SOCIALIST UNITY (COMMUNIST) PARTY,SOCIALIST UNITY PARTY,lexical_context_similarity
MULLAH MUSTAFA BARZANI,MULLA MUSTAFA BARZANI,lexical_context_similarity
CHONG,HO CHONG,lexical_context_similarity
ADEN ABDULLAH OSMAN,ADEN ABDULLAH,lexical_context_similarity
ITALIAN GENERAL CONFEDERATION OF LABOR (CGIL),ITALIAN GENERAL LABOR CONFEDERATION,lexical_context_similarity
LT. COL. GINTINGS,LT. COL. GINTING,lexical_context_similarity
GENERAL CEMAL GURSEL,GENERAL GURSEL,lexical_context_similarity
KATANGA PROVINCE,KATANGA,lexical_context_similarity
ALI NUWAR,NUWAR,lexical_context_similarity
BELGIAN PREMIER EYSKENS,EYSKENS,lexical_context_similarity
IL-14,SOVIET IL-14,lexical_context_similarity
PRAJA PARISHAD,PRAJA PARISHAD PARTY,lexical_context_similarity
AMERICAN CHARGÉ WEIL,AMERICAN CHARGÉ,lexical_context_similarity
ECA MISSION TO FRANCE,ECA MISSION,lexical_context_similarity
MIXED ARMISTICE COMMISSIONS,MIXED ARMISTICE COMMISSION,lexical_context_similarity
ROBERT LACOSTE,LACOSTE,lexical_context_similarity
TUDEH PARTY,TUDEH,lexical_context_similarity
UNITED STATES OF AMERICA,UNITED STATES,lexical_context_similarity
SABUROV,M. Z. SABUROV,lexical_context_similarity
BAYAR-MENDERES GOVERNMENT,MENDERES GOVERNMENT,lexical_context_similarity
IRANIAN MAJLIS,MAJLIS,lexical_context_similarity
AMERICAN MILITARY OFFICIALS,AMERICAN OFFICIALS,lexical_context_similarity
TURKISH PRIME MINISTER,PRIME MINISTER MENDERES,lexical_context_similarity
FRENCH SECURITY OFFICIALS,FRENCH OFFICIALS,lexical_context_similarity
PARIS EMBASSY,AMERICAN EMBASSY,lexical_context_similarity
NEHRUS CONGRESS PARTY,CONGRESS PARTY,lexical_context_similarity
SOVIET DELEGATES,SOVIET DELEGATION,lexical_context_similarity
VENEZUELAN PRESIDENT PEREZ,PRESIDENT PEREZ,lexical_context_similarity
VICE PRESIDENT KARDELJ,YUGOSLAV VICE PRESIDENT KARDELJ,lexical_context_similarity
GENERAL MOHAMMED AYUB KHAN,AYUB,lexical_context_similarity
BURMESE PREMIER,PREMIER NU,lexical_context_similarity
UNIONIST PARTY,NATIONAL UNIONIST PARTY,lexical_context_similarity
DANGE,S. A. DANGE,lexical_context_similarity
MOISE TSHOMBÉ,TSHOMBÉ,lexical_context_similarity
BAGIROV,M. D. BAGIROV,lexical_context_similarity
KOZLOV,FROL KOZLOV,lexical_context_similarity
COLONEL ELFEGO MONZON,COLONEL MONZON,lexical_context_similarity
ALLIANCE,ALLIANCE PARTY,lexical_context_similarity
ASSEMBLY,FRENCH NATIONAL ASSEMBLY,lexical_context_similarity
SHARM AL SHAIKH,SHARM EL SHEIKH,lexical_context_similarity
GUDMUNDUR I. GUDMUNDSSON,GUDMUNDSSON,lexical_context_similarity
LECHIN,JUAN LECHIN,lexical_context_similarity
BRITISH EMBASSY IN CAIRO,BRITISH EMBASSY,lexical_context_similarity
VICE-CONSUL,FRENCH VICE-CONSUL,lexical_context_similarity
DE GAULLES RALLY OF THE FRENCH PEOPLE,RALLY OF THE FRENCH PEOPLE,lexical_context_similarity
EL AUJA ZONE,EL AUJA,lexical_context_similarity
FRENCH MINISTRY OF INTERIOR,MINISTRY OF INTERIOR,lexical_context_similarity
GENERAL CEMAL MADANOGLU,GENERAL MADANOGLU,lexical_context_similarity
PLAIN DES JARRES,PLAINE DES JARRES,lexical_context_similarity
CHINESE NATIONALIST TROOPS,CHINESE NATIONALIST,lexical_context_similarity
REYNAUD,PAUL REYNAUD,lexical_context_similarity
TAIPEIS MINISTRY OF NATIONAL DEFENSE,MINISTRY OF NATIONAL DEFENSE,lexical_context_similarity
BELISHOVA,LIRI BELISHOVA,lexical_context_similarity
WIENER NEUSTADT AIRFIELD,WIENER NEUSTADT,lexical_context_similarity
BURMESE COMMUNIST PARTY,BURMA COMMUNIST PARTY,lexical_context_similarity
CHINESE COMMUNIST 46TH ARMY,CHINESE COMMUNIST ARMY,lexical_context_similarity
FAIQ AL-SAMARRAI,FAIQ SAMARRAI,lexical_context_similarity
INTERNATIONAL COMMITTEE FOR THE RED CROSS,INTERNATIONAL RED CROSS,lexical_context_similarity
AMERICAN AMBASSADOR BOWLES,AMBASSADOR BOWLES,lexical_context_similarity
IRANIAN FOREIGN MINISTER ABDOH,IRANIAN FOREIGN MINISTER,lexical_context_similarity
SECRETARY OF DEFENSE GATES,SECRETARY OF DEFENSE,lexical_context_similarity
EX-PRESIDENT FIGUERES,FIGUERES,lexical_context_similarity
FRENCH AMBASSADOR JOXE,FRENCH AMBASSADOR,lexical_context_similarity
KERALA,KERALA STATE,lexical_context_similarity
PREMIER CHERVENKOV,BULGARIAN PREMIER CHERVENKOV,lexical_context_similarity
ARMY SECRETARY BRUCKER,SECRETARY OF THE ARMY,lexical_context_similarity
HUNGARIAN PARTY,HUNGARIAN WORKERS PARTY,lexical_context_similarity
BRITISH FOREIGN SECRETARY LLOYD,FOREIGN SECRETARY EDEN,lexical_context_similarity
CHINESE MIG-15,MIG-15,lexical_context_similarity
BELYAYEV,NIKOLAI BELYAYEV,lexical_context_similarity
CZECHOSLOVAK AIRLINES,CZECHOSLOVAK STATE AIRLINES,lexical_context_similarity
SYRIAN CHIEF OF STAFF,SYRIAN CHIEF OF STAFF BIZRI,lexical_context_similarity
ARAB LEAGUE COUNCIL,ARAB LEAGUE,lexical_context_similarity
ASWAN DAM PROJECT,ASWAN HIGH DAM,lexical_context_similarity
UK FOREIGN SECRETARY,FOREIGN SECRETARY MORRISON,lexical_context_similarity
BRAZILIAN MILITARY OFFICIALS,BRAZILIAN MILITARY,lexical_context_similarity
FIELD MARSHAL AMIR,MARSHAL AMIR,lexical_context_similarity
EX-PRESIDENT ARBENZ,PRESIDENT ARBENZ,lexical_context_similarity
GICHURU,JAMES GICHURU,lexical_context_similarity
ALGERIAN MOVEMENT,ALGERIAN NATIONAL MOVEMENT,lexical_context_similarity
SENATOR JOSÉ LAUREL,JOSE LAUREL,lexical_context_similarity
BATLLE BERRES,LUIS BATLLE BERRES,lexical_context_similarity
NATIONALIST EMBASSY,CHINESE NATIONALIST EMBASSY,lexical_context_similarity
YUGOSLAV AMBASSADOR VIDIC,YUGOSLAV AMBASSADOR,lexical_context_similarity
BELGRADE EMBASSY,US EMBASSY,lexical_context_similarity
FRANK GRAHAM,GRAHAM,lexical_context_similarity
MIGUEL YDIGORAS,MIGUEL YDIGORAS FUENTES,lexical_context_similarity
AMERICAN CONSUL GENERAL IN LIBYA,AMERICAN CONSUL GENERAL,lexical_context_similarity
PREMIER ABDALLAH IBRAHIM,ABDALLAH IBRAHIM,lexical_context_similarity
FRENCH FOREIGN MINISTER,FOREIGN MINISTER SCHUMAN,lexical_context_similarity
ARGENTINE PRESIDENT ARAMBURU,ARAMBURU,lexical_context_similarity
FRENCH MILITARY MISSION,FRENCH MILITARY,lexical_context_similarity
TUNISIAN PRIME MINISTER,TUNISIAN PRIME MINISTER CHENIK,lexical_context_similarity
CHINESE COMMUNIST FORCES,CHINESE COMMUNIST,lexical_context_similarity
CHINESE TROOPS,CHINESE COMMUNIST,lexical_context_similarity
LIEUTENANT GENERAL GEORGE GRIVAS,GENERAL GRIVAS,lexical_context_similarity
NATIONALIST FOREIGN OFFICE,CHINESE NATIONALIST FOREIGN OFFICE,lexical_context_similarity
AMERICAN ARMY ATTACHE IN SAIGON,AMERICAN ARMY ATTACHÉ,lexical_context_similarity
BECHIR SAADAWI,BECHIR BEY SAADAWI,lexical_context_similarity
JEAN DARIDAN,DARIDAN,lexical_context_similarity
PANAMANIAN SUPREME COURT,SUPREME COURT OF PANAMA,lexical_context_similarity
RHODESIA,SOUTHERN RHODESIA,lexical_context_similarity
SOVIET PARTY,SOVIET COMMUNIST PARTY,lexical_context_similarity
SYRIAN DEFENSE MINISTER,SYRIAN MINISTER OF DEFENSE,lexical_context_similarity
US EMBASSY IN RANGOON,AMERICAN EMBASSY IN RANGOON,lexical_context_similarity
ANGLO-EGYPTIAN TREATY,ANGLO-EGYPTIAN TREATY OF 1936,lexical_context_similarity
BRITISH GUIANA PEOPLES PROGRESSIVE PARTY,PEOPLES PROGRESSIVE PARTY,lexical_context_similarity
NATIONALISTS,CHINESE NATIONALISTS,lexical_context_similarity
US POLITICAL ADVISER IN TOKYO,US POLITICAL ADVISER SEBALD,lexical_context_similarity
FRENCH TRADE OFFICIAL,FRENCH OFFICIAL,lexical_context_similarity
ANACONDA COPPER,ANACONDA,lexical_context_similarity
KOCA POPOVIC,POPOVIC,lexical_context_similarity
AMERICAN AMBASSADOR WARD,AMBASSADOR WARD,lexical_context_similarity
AMERICAN EMBASSY IN TEHRAN,US EMBASSY IN TEHRAN,lexical_context_similarity
CHILEAN COPPER INDUSTRY,CHILEAN COPPER,lexical_context_similarity
ORGANIZATION OF THE AMERICAN STATES,ORGANIZATION OF AMERICAN STATES,lexical_context_similarity
DAVID BEN-GURION,BEN-GURION,lexical_context_similarity
FAWZI AL-MULQI,FAWZI MULQI,lexical_context_similarity
HABIB BOURGUIBA,BOURGUIBA,lexical_context_similarity
AMBASSADOR BEAM,AMERICAN AMBASSADOR,lexical_context_similarity
AMERICAN AMBASSADOR ALLEN,AMERICAN AMBASSADOR,lexical_context_similarity
SYRIAN BAATH PARTY,BAATH PARTY,lexical_context_similarity
IBN JILUWI,SAUD IBN JILUWI,lexical_context_similarity
US EMBASSY IN LONDON,AMERICAN EMBASSY,lexical_context_similarity
PROVISIONAL PRESIDENT ARAMBURU,ARAMBURU,lexical_context_similarity
SADOK MOKADDEM,MOKADDEM,lexical_context_similarity
MILITARY REGIME,EGYPTIAN MILITARY REGIME,lexical_context_similarity
SAM NEUA PROVINCE,SAM NEUA,lexical_context_similarity
AMERICAN AMBASSADOR IN TEHRAN,AMERICAN AMBASSADOR,lexical_context_similarity
FOREIGN MINISTER KREISKY,FOREIGN MINISTER BRUNO KREISKY,lexical_context_similarity
PRESIDENT GOTTWALD,CZECH PRESIDENT GOTTWALD,lexical_context_similarity
BAATH,BAATH PARTY,lexical_context_similarity
1954 GENEVA AGREEMENT,GENEVA AGREEMENTS,lexical_context_similarity
AMERICAN MINISTER YOST,AMERICAN MINISTER,lexical_context_similarity
PREMIER NURI SAID,NURI SAID,lexical_context_similarity
ARABIAN-AMERICAN OIL COMPANY (ARAMCO),ARABIAN AMERICAN OIL COMPANY,lexical_context_similarity
CHINESE NATIONALIST REGIME,CHINESE NATIONALIST,lexical_context_similarity
US LEGATION IN BUDAPEST,AMERICAN LEGATION,lexical_context_similarity
ALVARO ALSOGARAY,ALSOGARAY,lexical_context_similarity
TURKISH AMBASSADOR GOKER,TURKISH AMBASSADOR,lexical_context_similarity
CHRISTIAN-DEMOCRATIC PARTY,CHRISTIAN DEMOCRATIC PARTY,lexical_context_similarity
BEKKAI,SI BEKKAI,lexical_context_similarity
CHRISTIAN DEMOCRATIC CARETAKER GOVERNMENT,CHRISTIAN DEMOCRATIC GOVERNMENT,lexical_context_similarity
DEFENSE MINISTER MONIZ,DEFENSE MINISTER BOTELHO MONIZ,lexical_context_similarity
MINDSZENTY,CARDINAL MINDSZENTY,lexical_context_similarity
SHUKRI QUWATLI,QUWATLI,lexical_context_similarity
CASTILLO,CASTILLO ARMAS,lexical_context_similarity
SOLOMON BANDARANAIKE,BANDARANAIKE,lexical_context_similarity
JUSTIN BOMBOKO,BOMBOKO,lexical_context_similarity
SAUDI ARABIAN,SAUDI GOVERNMENT,lexical_context_similarity
VICE PRESIDENT,VICE PRESIDENT HATTA,lexical_context_similarity
MUGHABGHAB,NAIM MUGHABGHAB,lexical_context_similarity
PAKISTANI PRESIDENT MIRZA,MIRZA,lexical_context_similarity
TANZAN ISHIBASHI,ISHIBASHI,lexical_context_similarity
AUSTRIAN PEOPLES PARTY,PEOPLES PARTY,lexical_context_similarity
BRITISH AMBASSADOR IN PARIS,BRITISH AMBASSADOR,lexical_context_similarity
IRANIAN FOREIGN MINISTER KAZEMI,IRANIAN FOREIGN MINISTER,lexical_context_similarity
SUMATRA,CENTRAL SUMATRA,lexical_context_similarity
SOUTH AFRICAN DEFENSE MINISTER,SOUTH AFRICAN DEFENSE MINISTER ERASMUS,lexical_context_similarity
CHIEF OF STAFF BIZRI,SYRIAN CHIEF OF STAFF BIZRI,lexical_context_similarity
BAVARIAN BRANCH OF THE WEST GERMAN COMMUNIST PARTY,WEST GERMAN COMMUNIST PARTY,lexical_context_similarity
SCHIRDEWAN,KARL SCHIRDEWAN,lexical_context_similarity
FRENCH SOCIALISTS,SOCIALISTS,lexical_context_similarity
KING HUSSAIN OF JORDAN,KING HUSSAIN,lexical_context_similarity
DEMOCRATIC ACTION PARTY (AD),DEMOCRATIC ACTION PARTY,lexical_context_similarity
FINNISH FOREIGN MINISTER TORNGREN,FINNISH FOREIGN MINISTER,lexical_context_similarity
SHEIK ALI MUHSIN,ALI MUHSIN,lexical_context_similarity
DEFENSE AGENCY,NATIONAL DEFENSE AGENCY,lexical_context_similarity
GERMAN LABOR SERVICE,GERMAN LABOR SERVICE UNITS,lexical_context_similarity
EX-PREMIER PLEVEN,PREMIER PLEVEN,lexical_context_similarity
ISMAIL CHUNDRIGAR,CHUNDRIGAR,lexical_context_similarity
RAPHAEL-LEYGUES,JACQUES RAPHAEL-LEYGUES,lexical_context_similarity
GHANA PRESIDENT NKRUMAH,PRESIDENT NKRUMAH,lexical_context_similarity
JOSEF WINIEWICZ,WINIEWICZ,lexical_context_similarity
SVETOZAR VUKMANOVIC-TEMPO,VUKMANOVIC-TEMPO,lexical_context_similarity
US EMBASSY IN PARIS,AMERICAN EMBASSY,lexical_context_similarity
LT. GENERAL YI HAN-LIM,YI HAN-LIM,lexical_context_similarity
"GENERAL ANASTASIO SOMOZA, JR.",ANASTASIO SOMOZA,lexical_context_similarity
INDONESIAN PRESIDENT SUKARNO,SUKARNO,lexical_context_similarity
SIR JOHN KOTELAWALA,KOTELAWALA,lexical_context_similarity
INONU,ISMET INONU,lexical_context_similarity
IRAQI PRIME MINISTER NURI SAID,IRAQI PRIME MINISTER,lexical_context_similarity
LUIS SOMOZA,SOMOZA,lexical_context_similarity
THREE WESTERN POWERS,WESTERN POWERS,lexical_context_similarity
ABBOUDS MILITARY REGIME,ABBOUD MILITARY REGIME,lexical_context_similarity
GINTING,LT. COL. GINTING,lexical_context_similarity
GOVERNING JUNTA,VENEZUELAN GOVERNING JUNTA,lexical_context_similarity
FAZIL KUCHUK,KUCHUK,lexical_context_similarity
DR. RODRIGUEZ PORTH,DR. JOSE ANTONIO RODRIGUEZ PORTH,lexical_context_similarity
TURKISH PRESIDENT BAYAR,BAYAR,lexical_context_similarity
ALGERIAN REBELS PROVISIONAL GOVERNMENT (PAG),ALGERIAN PROVISIONAL GOVERNMENT,lexical_context_similarity
AMERICAN CONSULATE GENERAL IN ALGIERS,AMERICAN CONSULATE GENERAL,lexical_context_similarity
AMERICAN EMBASSY IN ATHENS,AMERICAN EMBASSY,lexical_context_similarity
PEOPLES COURT,BAGHDAD PEOPLES COURT,lexical_context_similarity
PRIME MINISTER FIDEL CASTRO,PRIME MINISTER CASTRO,lexical_context_similarity
EAST GERMAN PEOPLES POLICE,EAST GERMAN POLICE,lexical_context_similarity
JOSEPH KASAVUBU,KASAVUBU,lexical_context_similarity
DEMOCRAT CHANG MYON,CHANG MYON,lexical_context_similarity
COLONEL ABDUL NASR,NASR,lexical_context_similarity
DUTCH SHELL,ROYAL DUTCH SHELL,lexical_context_similarity
NATIONALIST ARMY,CHINESE NATIONALIST ARMY,lexical_context_similarity
SHUQAYRI,AHMAD SHUQAYRI,lexical_context_similarity
2ND PARATROOP BATTALION,KONG LES SECOND PARATROOP BATTALION,lexical_context_similarity
ALFREDO STROESSNER,STROESSNER,lexical_context_similarity
ACTION COMMITTEE FOR THE LIBERATION OF WEST IRIAN,WEST IRIAN LIBERATION COMMITTEE,lexical_context_similarity
LAUREL,JOSE LAUREL,lexical_context_similarity
US EMBASSY MOSCOW,AMERICAN EMBASSY,lexical_context_similarity
PAKISTAN AIR FORCE,PAKISTANI AIR FORCE,lexical_context_similarity
KONG LE/PATHET LAO FORCES,KONG LE - PATHET LAO,lexical_context_similarity
VIETNAM NATIONAL ARMY,VIETNAMESE ARMY,lexical_context_similarity
ARABIAN AMERICAN OIL COMPANY (ARAMCO),ARABIAN AMERICAN OIL COMPANY,lexical_context_similarity
ARAUJO,MANUEL ARAUJO,lexical_context_similarity
JOHNSTON JORDAN RIVER PLAN,JOHNSTON PLAN,lexical_context_similarity
BURAIMI OASIS,BURAIMI,lexical_context_similarity
CHINESE COMMUNIST LEADERS,CHINESE COMMUNIST,lexical_context_similarity
UNION OF THE ANGOLAN PEOPLE (UPA),ANGOLAN PEOPLES UNION (UPA),lexical_context_similarity
JOSEF CYRANKIEWICZ,CYRANKIEWICZ,lexical_context_similarity
ALLIED COUNCIL FOR AUSTRIA,ALLIED COUNCIL,lexical_context_similarity
TRANSCAUCASIAN MILITARY DISTRICT,TRANSCAUCASUS MILITARY DISTRICT,lexical_context_similarity
ABBOUD REGIME,ABBOUD MILITARY REGIME,lexical_context_similarity
APRA PARTY,APRA,lexical_context_similarity
BRITISH COMMONWEALTH,COMMONWEALTH,lexical_context_similarity
US EMBASSY IN ROME,AMERICAN EMBASSY,lexical_context_similarity
GHANAIAN UN TROOPS,GHANAIAN UNIT OF UN TROOPS,lexical_context_similarity
GENERAL STROESSNER,STROESSNER,lexical_context_similarity
SEMIPALATINSK AIRFIELD,SEMIPALATINSK,lexical_context_similarity
ADENAUERS GOVERNMENT,ADENAUER GOVERNMENT,lexical_context_similarity
MOSHE SHARETT,SHARETT,lexical_context_similarity
PROVISIONAL ALGERIAN GOVERNMENT (PAG),ALGERIAN PROVISIONAL GOVERNMENT,lexical_context_similarity
TOURÉ,SEKOU TOURÉ,lexical_context_similarity
ARGENTINE PROVISIONAL GOVERNMENT,ARGENTINE GOVERNMENT,lexical_context_similarity
CHINESE COMMUNIST EMBASSY IN RANGOON,CHINESE COMMUNIST EMBASSY,lexical_context_similarity
LIBERAL-DEMOCRATS,JAPAN LIBERAL-DEMOCRATS,lexical_context_similarity
MAU MAU MOVEMENT,MAU MAU,lexical_context_similarity
NATIONALIST,CHINESE NATIONALIST,lexical_context_similarity
PERONISTA UNIONS,PERONISTA,lexical_context_similarity
WEST GERMANYS ECONOMICS MINISTRY,WEST GERMAN ECONOMICS MINISTRY,lexical_context_similarity
RADEN DJUANDA,DJUANDA,lexical_context_similarity
MORRISON KNUDSEN,MORRISON-KNUDSEN COMPANY,lexical_context_similarity
LT. GEN. CHANG TO-YONG,CHANG TO-YONG,lexical_context_similarity
WEST GERMAN AMBASSADOR,WEST GERMAN AMBASSADOR KROLL,lexical_context_similarity
OIL CONSORTIUM,IRANIAN OIL CONSORTIUM,lexical_context_similarity
BRITISH AMBASSADOR IN AMMAN,BRITISH AMBASSADOR,lexical_context_similarity
CHUKOTSK AREA,CHUKOTSK,lexical_context_similarity
PAKISTANI MOSLEM LEAGUE,MOSLEM LEAGUE,lexical_context_similarity
THE JOINT CHIEFS OF STAFF,AMERICAN JOINT CHIEFS OF STAFF,lexical_context_similarity
US EMBASSY IN MOSCOW,AMERICAN EMBASSY,lexical_context_similarity
AMERICAN OFFICIALS IN SAIGON,AMERICAN OFFICIALS,lexical_context_similarity
SABRI,ALI SABRI,lexical_context_similarity
PRESIDENT-ELECT QUADROS,PRESIDENT QUADROS,lexical_context_similarity
HUNGARIAN POLICE,HUNGARIAN SECURITY POLICE,lexical_context_similarity
CHRISTIAN DEMOCRATS (CDU),CHRISTIAN DEMOCRATIC UNION,lexical_context_similarity
COMMITTEE OF NATIONAL UNITY,COMMITTEE OF NATIONAL UNION,lexical_context_similarity
GENERAL MALETER,MAJOR GENERAL PAL MALETER,lexical_context_similarity
CHINESE COMMUNIST TROOPS,CHINESE COMMUNIST,lexical_context_similarity
LT. GENERAL CHANG TO-YONG,CHANG TO-YONG,lexical_context_similarity
AMERICAN EMBASSY IN WARSAW,AMERICAN EMBASSY,lexical_context_similarity
PAPAL NUNCIO TO THE PHILIPPINES,PAPAL NUNCIO,lexical_context_similarity
SHIKOTAN ISLANDS,SHIKOTAN,lexical_context_similarity
BURMESE PREMIER NU,PREMIER NU,lexical_context_similarity
CHINESE NATIONALIST IRREGULAR FORCES,CHINESE NATIONALIST IRREGULARS,lexical_context_similarity
SAYED IDDRISS,EMIR SAYED IDDRISS,lexical_context_similarity
AMERICAN EMBASSY IN SAIGON,AMERICAN EMBASSY,lexical_context_similarity
MAJOR GENERAL TEIMUR BAKHTIAR,GENERAL BAKHTIAR,lexical_context_similarity
NGO DINH DIEM GOVERNMENT,DIEM GOVERNMENT,lexical_context_similarity
MARSHAL ZHUKOV,ZHUKOV,lexical_context_similarity
JAPAN COMMUNIST PARTY,JAPANESE COMMUNIST PARTY,lexical_context_similarity
BRITISH AMBASSADOR MALLET,BRITISH AMBASSADOR,lexical_context_similarity
EGYPTIAN ARMORED FORCES,EGYPTIAN FORCES,lexical_context_similarity
US POLITICAL ADVISER,US POLITICAL ADVISER SEBALD,lexical_context_similarity
SCHMID,CARLO SCHMID,lexical_context_similarity
JAPANESE LIBERAL-DEMOCRATIC PARTY,LIBERAL-DEMOCRATIC PARTY,lexical_context_similarity
8TH AIR DIVISION,CHINESE COMMUNIST 8TH AIR DIVISION,lexical_context_similarity
SOUVANNA PHOUMA REGIME,SOUVANNA REGIME,lexical_context_similarity
EGYPTIAN PRESIDENT NASR,PRESIDENT NASIR,lexical_context_similarity
REVOLUTIONARY COUNCIL,ALGERIAN REVOLUTIONARY COUNCIL,lexical_context_similarity
AL-HAWRANI,AKRAM AL-HAWRANI,lexical_context_similarity
ISRAELI MAPAI PARTY,MAPAI,lexical_context_similarity
NATIONALIST DEFENSE MINISTRY,CHINESE NATIONALIST DEFENSE MINISTRY,lexical_context_similarity
TURKISH-IRAQI-BRITISH PACT,TURKISH-IRAQI PACT,lexical_context_similarity
US ARMY ATTACHE IN TEHRAN,AMERICAN ARMY ATTACHÉ,lexical_context_similarity
US CONSULATE GENERAL IN HONG KONG,US CONSUL GENERAL IN HONG KONG,lexical_context_similarity
PATHET LAO FORCES,KONG LE - PATHET LAO,lexical_context_similarity
GREEK PRIME MINISTER PAPAGOS,GREEK PRIME MINISTER,lexical_context_similarity
MOUMIE,FELIX MOUMIE,lexical_context_similarity
IRANIAN TUDEH PARTY,TUDEH,lexical_context_similarity
AMERICAN CONSUL GENERAL IN HONG KONG,AMERICAN CONSUL GENERAL,lexical_context_similarity
TONKIN DELTA,TONKIN,lexical_context_similarity
TURKISH AMBASSADOR VERGIN,TURKISH AMBASSADOR,lexical_context_similarity
VIETNAM GOVERNMENT,VIETNAMESE GOVERNMENT,lexical_context_similarity
CHAMPASSAK,CHAMPASSAK PROVINCE,lexical_context_similarity
CHHUON,DAP CHHUON,lexical_context_similarity
KAPUSTIN YAR AIRFIELD,KAPUSTIN YAR,lexical_context_similarity
MULLAH KASHANI,KASHANI,lexical_context_similarity
ACTING FOREIGN MINISTER,BURMESE ACTING FOREIGN MINISTER,lexical_context_similarity
AMERICAN OIL COMPANY,ARABIAN AMERICAN OIL COMPANY,lexical_context_similarity
AMERICAN CONSUL GENERAL AT DAKAR,AMERICAN CONSUL GENERAL,lexical_context_similarity
AMERICAN EMBASSY IN SEOUL,AMERICAN EMBASSY,lexical_context_similarity
BURMESE PREMIER NE WIN,PREMIER NU,lexical_context_similarity
COUNCIL OF MINISTERS OF THE USSR,COUNCIL OF MINISTERS,lexical_context_similarity
MOHAMED BEN BELLA,BEN BELLA,lexical_context_similarity
BAGHDAD PACT MEMBERS,BAGHDAD PACT,lexical_context_similarity
COMITE INTERIOR DE COORDINACION,CIC (COMITE INTERIOR DE COORDINACION),lexical_context_similarity
MAKARIOS,ARCHBISHOP MAKARIOS,lexical_context_similarity
US EMBASSY IN WARSAW,AMERICAN EMBASSY,lexical_context_similarity
AMERICAN EMBASSY IN MANILA,AMERICAN EMBASSY,lexical_context_similarity
GENERAL ZELLER,GENERAL ANDRÉ ZELLER,lexical_context_similarity
HERMAN JONASSON,HERMANN JONASSON,lexical_context_similarity
UTTAR PRADESH,UTTAR PRADESH STATE,lexical_context_similarity
HATOYAMAS JAPAN DEMOCRATIC PARTY,JAPAN DEMOCRATIC PARTY,lexical_context_similarity
BRITISH AMBASSADOR STEVENS,BRITISH AMBASSADOR,lexical_context_similarity
PAVLOV,A. P. PAVLOV,lexical_context_similarity
TIBERIAS,LAKE TIBERIAS,lexical_context_similarity
LIEUTENANT COLONEL SHISHAKLI,SHISHAKLI,lexical_context_similarity
LT. GENERAL SONG YO-CHAN,SONG YO-CHAN,lexical_context_similarity
OLLENHAUER,ERICH OLLENHAUER,lexical_context_similarity
RHODESIA-NYASALAND FEDERATION,FEDERATION OF RHODESIA AND NYASALAND,lexical_context_similarity
