node_key,label,node_type,member_count,top_labels
LEVEL1_COMMUNITY:0,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY,LEVEL1_COMMUNITY,9084,"10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; 13TH AIR DIVISION; 13TH OF MARCH REVOLUTIONARY DIRECTORATE; 140TH DIVISION, 47TH ARMY; 14TH ARMY; 14TH OF MAY MOVEMENT; 18TH DIVISION"
LEVEL1_COMMUNITY:1,35TH ARMY; 7TH GUARDS MECHANIZED DIVISION; ABDOLLAH ENTEZAM; ABDULLAH GOVERNMENT,LEVEL1_COMMUNITY,2470,35TH ARMY; 7TH GUARDS MECHANIZED DIVISION; ABDOLLAH ENTEZAM; ABDULLAH GOVERNMENT; ABDUL AZIZ CHOUCHANE; ABD AL-KARIM; ACHILLES; ACTING CHIEF OF STAFF LUBIS; ADENAUER; ADENAUER COALITION
LEVEL1_COMMUNITY:2,11-MEMBER EXECUTIVE COUNCIL; 12-NATION COMMISSION; 21ST OF SEPTEMBER MOVEMENT; 308TH DIVISION,LEVEL1_COMMUNITY,1232,"11-MEMBER EXECUTIVE COUNCIL; 12-NATION COMMISSION; 21ST OF SEPTEMBER MOVEMENT; 308TH DIVISION; 3,700 WORKERS; ABDON PARRA; ABD AL-WAHHAB MIRJAN; ACCION DEMOCRATICA; ADENAUER SUPPORTERS; ADLAI STEVENSON"
LEVEL1_COMMUNITY:3,1ST AIRBORNE BATTALION; 1ST INFANTRY DIVISION; 21ST DIVISION; 54TH BATTALION,LEVEL1_COMMUNITY,848,1ST AIRBORNE BATTALION; 1ST INFANTRY DIVISION; 21ST DIVISION; 54TH BATTALION; 7TH DIVISION; 7 OPPOSITION POLITICAL PARTIES; ACADEMY OF ARTILLERY SCIENCES; ACTING PRIME MINISTER QUAT; ACTION GROUP; ADMIRAL CARNEY
LEVEL1_COMMUNITY:4,14TH DIVISION; 62 GROUP; ABADAN; ABAKUMOV,LEVEL1_COMMUNITY,711,14TH DIVISION; 62 GROUP; ABADAN; ABAKUMOV; ACHDUT HAAVODA; ACTING GOVERNOR GENERAL MIRZA; ADEN PROTECTORATE FEDERATION; ADJEI; ADMIRAL BURKE; AF OF L
LEVEL1_COMMUNITY:5,ABDALLAH AL-YAFI; ABDULLAH RIMAWI; ABD-AL HAMID BADAWI PASHA; ADMIRAL MANOLA,LEVEL1_COMMUNITY,501,ABDALLAH AL-YAFI; ABDULLAH RIMAWI; ABD-AL HAMID BADAWI PASHA; ADMIRAL MANOLA; AHMAD HUSAYN; AHMAD MURTADA AL-MARAGHI BEY; AHMED HUSSEIN PASHA; ALBANIAN COURTS; ALBANIAN EXILE GROUP; ALBANIAN POLICE
LEVEL1_COMMUNITY:6,ABDUL RAHMAN AZZAM; ABUL PANAHI; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN),LEVEL1_COMMUNITY,363,ABDUL RAHMAN AZZAM; ABUL PANAHI; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN); ALBERTO FRANCO NOGUEIRA; ALFONS GORBACH; ALFREDO RODRIGUES DOS SANTOS; AMERICAN EMBASSY IN RIO DE JANEIRO; AMILCAR CABRAL; ANGLO-AMERICAN CONSORTIUM
LEVEL1_COMMUNITY:7,67TH ARMY; AFRICAN DEMOCRATIC RALLY; AFRICAN REGROUPMENT PARTY; AIR INDIA INTERNATIONAL,LEVEL1_COMMUNITY,294,67TH ARMY; AFRICAN DEMOCRATIC RALLY; AFRICAN REGROUPMENT PARTY; AIR INDIA INTERNATIONAL; ALBANIAN PEOPLES ASSEMBLY; ALEXEJ CEPICKA; AMERICAN COMPANIES; AMERICAN EMBASSY IN OTTAWA; AMERICAN JOINT DISTRIBUTION COMMITTEE; AMERICAN LEGATION
LEVEL1_COMMUNITY:8,"20TH PARTY CONGRESS; ACADEMY OF SCIENCES, USSR; ADHEMAR DE BARROS; AFRICAN MEMBERS OF THE COMMUNITY",LEVEL1_COMMUNITY,286,"20TH PARTY CONGRESS; ACADEMY OF SCIENCES, USSR; ADHEMAR DE BARROS; AFRICAN MEMBERS OF THE COMMUNITY; AHMED FRANCIS; AIR MINISTER FLEUISS; ALEKSANDR DOMRACHEV; ALGERIAN COMMUNIST PARTY; ALGERIAN NATIONAL LIBERATION ARMY; ALL-UNION PARTY PRESIDIUM"
LEVEL1_COMMUNITY:9,26 OF JULY MOVEMENT; 8TH AND 10TH BOMBER DIVISIONS; ABYE; ADMIRAL AUBOYNEAU,LEVEL1_COMMUNITY,279,26 OF JULY MOVEMENT; 8TH AND 10TH BOMBER DIVISIONS; ABYE; ADMIRAL AUBOYNEAU; ADRIEN OMARI; AFL/CIO; ALBANIAN REAR ADMIRAL SEJKO; ALCIBIADES AROSEMENA; ALVAREZ PLATA; ANACONDA AND BRADEN MINES
