source_global,target_global,rel,weight,support_count,doc_ids,weight_raw_meta
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:19,META_LINK,2.5164248257189263,55,3003302_CIA-RDP79T00975A004300070001-6;3015193_CIA-RDP79T00975A003500330001-6;3015197_CIA-RDP79T00975A003500390001-0;3015204_CIA-RDP79T00975A003500490001-9;3177795_CIA-RDP79T00975A003600360001-2,11.384241600222001
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:2,META_LINK,8.841642442472011,12651,2000169_CIA-RDP79T00975A005500060001-4;2000170_CIA-RDP79T00975A005500070001-3;2000171_CIA-RDP79T00975A005500080001-2;2000173_CIA-RDP79T00975A005500120001-7;2000175_CIA-RDP79T00975A005500140001-5;2000176_CIA-RDP79T00975A005500160001-3;2000177_CIA-RDP79T00975A005500170001-2;2000180_CIA-RDP79T00975A005500200001-8;2000181_CIA-RDP79T00975A005500210001-7;2000182_CIA-RDP79T00975A005500220001-6;2000183_CIA-RDP79T00975A005500230001-5;2000185_CIA-RDP79T00975A005500250001-3;2000186_CIA-RDP79T00975A005500280001-0;2000188_CIA-RDP79T00975A005500300001-7;2000189_CIA-RDP79T00975A005500310001-6;2000191_CIA-RDP79T00975A005500330001-4;2000195_CIA-RDP79T00975A005500370001-0;2001974_CIA-RDP79T00975A005600280001-9;2001977_CIA-RDP79T00975A005600320001-4;2001979_CIA-RDP79T00975A005600350001-1;2001980_CIA-RDP79T00975A005600360001-0;2001984_CIA-RDP79T00975A005600400001-5;2001986_CIA-RDP79T00975A005600420001-3;2001987_CIA-RDP79T00975A005600430001-2;2001989_CIA-RDP79T00975A005600450001-0;2001991_CIA-RDP79T00975A005600480001-7;2001993_CIA-RDP79T00975A005700040001-4;2003044_CIA-RDP79T00975A000100470001-8;2003046_CIA-RDP79T00975A000100520001-2;2003062_CIA-RDP79T00975A000200250001-1,6915.3430121515175
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:20,META_LINK,2.765948992574197,53,3004219_CIA-RDP79T00975A004300170001-4;3153741_CIA-RDP79T00975A004400500001-7;3172665_CIA-RDP79T00975A005200470001-2,14.894116234140402
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:21,META_LINK,2.167343660986246,33,2001979_CIA-RDP79T00975A005600350001-1;2016343_CIA-RDP79T00975A000600180001-5;3006377_CIA-RDP79T00975A001500400001-0;3172680_CIA-RDP79T00975A005600470001-8;3186013_CIA-RDP79T00975A005600300001-6,7.735049941633744
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:22,META_LINK,1.7911146170008871,28,2039272_CIA-RDP79T00975A002900390001-7;3161848_CIA-RDP79T00975A002400410001-9;3161855_CIA-RDP79T00975A002400520001-7,4.996132133872068
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:25,META_LINK,2.0035968205665675,34,2018009_CIA-RDP79T00975A000900270001-2,6.415681061777596
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:26,META_LINK,3.4128396738545024,89,3164690_CIA-RDP79T00975A004700290001-8;3164695_CIA-RDP79T00975A004700340001-2;3177887_CIA-RDP79T00975A005000350001-7,29.35130982345539
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:27,META_LINK,2.195662503741661,37,3003300_CIA-RDP79T00975A004000220001-2,7.985952312266458
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:28,META_LINK,1.5751383798308412,20,2001991_CIA-RDP79T00975A005600480001-7,3.8314101415722446
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:3,META_LINK,8.383247974521964,9825,2000169_CIA-RDP79T00975A005500060001-4;2000174_CIA-RDP79T00975A005500130001-6;2000176_CIA-RDP79T00975A005500160001-3;2000178_CIA-RDP79T00975A005500180001-1;2000181_CIA-RDP79T00975A005500210001-7;2000182_CIA-RDP79T00975A005500220001-6;2000185_CIA-RDP79T00975A005500250001-3;2000193_CIA-RDP79T00975A005500350001-2;2000195_CIA-RDP79T00975A005500370001-0;2000196_CIA-RDP79T00975A005500380001-9;2001970_CIA-RDP79T00975A005600170001-1;2001973_CIA-RDP79T00975A005600250001-2;2001975_CIA-RDP79T00975A005600290001-8;2001977_CIA-RDP79T00975A005600320001-4;2001978_CIA-RDP79T00975A005600330001-3;2001981_CIA-RDP79T00975A005600370001-9;2001983_CIA-RDP79T00975A005600390001-7;2001984_CIA-RDP79T00975A005600400001-5;2001986_CIA-RDP79T00975A005600420001-3;2001988_CIA-RDP79T00975A005600440001-1;2001990_CIA-RDP79T00975A005600460001-9;2001994_CIA-RDP79T00975A005700050001-3;2001996_CIA-RDP79T00975A000300160001-0;2002000_CIA-RDP79T00975A000300420001-1;2002001_CIA-RDP79T00975A000300510001-1;2003043_CIA-RDP79T00975A000100420001-3;2003048_CIA-RDP79T00975A000100560001-8;2003049_CIA-RDP79T00975A000100580001-6;2003050_CIA-RDP79T00975A000100600001-3;2003051_CIA-RDP79T00975A000200020001-6,4372.1898933787
