node_key,level3_id
LEVEL2_COMMUNITY:0,0
LEVEL2_COMMUNITY:1,0
LEVEL2_COMMUNITY:2,1
LEVEL2_COMMUNITY:3,2
LEVEL2_COMMUNITY:4,3
LEVEL2_COMMUNITY:5,4
LEVEL2_COMMUNITY:6,5
LEVEL2_COMMUNITY:7,6
LEVEL2_COMMUNITY:8,7
LEVEL2_COMMUNITY:9,8
LEVEL2_COMMUNITY:10,9
LEVEL2_COMMUNITY:11,10
LEVEL2_COMMUNITY:12,11
LEVEL2_COMMUNITY:13,12
LEVEL2_COMMUNITY:14,13
LEVEL2_COMMUNITY:15,14
LEVEL2_COMMUNITY:16,15
LEVEL2_COMMUNITY:17,16
LEVEL2_COMMUNITY:18,17
LEVEL2_COMMUNITY:19,18
LEVEL2_COMMUNITY:20,19
LEVEL2_COMMUNITY:21,20
LEVEL2_COMMUNITY:22,21
LEVEL2_COMMUNITY:23,22
LEVEL2_COMMUNITY:24,23
LEVEL2_COMMUNITY:25,24
LEVEL2_COMMUNITY:26,25
LEVEL2_COMMUNITY:27,26
LEVEL2_COMMUNITY:28,27
LEVEL2_COMMUNITY:29,28
LEVEL2_COMMUNITY:30,29
LEVEL2_COMMUNITY:31,30
LEVEL2_COMMUNITY:32,31
LEVEL2_COMMUNITY:33,32
LEVEL2_COMMUNITY:34,33
LEVEL2_COMMUNITY:35,34
LEVEL2_COMMUNITY:36,35
LEVEL2_COMMUNITY:37,36
LEVEL2_COMMUNITY:38,37
LEVEL2_COMMUNITY:39,38
LEVEL2_COMMUNITY:40,39
LEVEL2_COMMUNITY:41,40
LEVEL2_COMMUNITY:42,41
LEVEL2_COMMUNITY:43,42
LEVEL2_COMMUNITY:44,43
LEVEL2_COMMUNITY:45,44
LEVEL2_COMMUNITY:46,45
LEVEL2_COMMUNITY:47,46
LEVEL2_COMMUNITY:48,47
LEVEL2_COMMUNITY:49,48
LEVEL2_COMMUNITY:50,49
LEVEL2_COMMUNITY:51,50
LEVEL2_COMMUNITY:52,51
LEVEL2_COMMUNITY:53,52
LEVEL2_COMMUNITY:54,53
LEVEL2_COMMUNITY:55,54
LEVEL2_COMMUNITY:56,55
LEVEL2_COMMUNITY:57,56
LEVEL2_COMMUNITY:58,57
LEVEL2_COMMUNITY:59,58
LEVEL2_COMMUNITY:60,59
LEVEL2_COMMUNITY:61,60
LEVEL2_COMMUNITY:62,61
LEVEL2_COMMUNITY:63,62
LEVEL2_COMMUNITY:64,63
LEVEL2_COMMUNITY:65,64
LEVEL2_COMMUNITY:66,65
