narrative_id,node_key,label,analyst_label,num_communities,size,top_labels,top_types,analyst_summary
0,NARRATIVE:0,1954 GENEVA AGREEMENT; ADMIRAL MARTADINATA; AIR MARSHAL SURYADARMA; ALGERIAN NATIONAL MOVEMENT (MNA); ADOULA,"U.S. reporting, diplomacy, and intelligence assessment",11,11,"1954 GENEVA AGREEMENT; ADMIRAL MARTADINATA; AIR MARSHAL SURYADARMA; ALGERIAN NATIONAL MOVEMENT (MNA); ADOULA; AFRO-ASIAN STATES; AKO ADJEI; ALBERT DELVAUX; ADENAUERS PARTY; AFRICA; ALBANIA; ALBANIAN PARTY CONGRESS; 1ST INFANTRY DIVISION; ABDULLAH RIMAWI; AFGHAN ARMY; AHIDJO; ADRIANO MOREIRA; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN); AFRO-ASIAN BLOC; ABBOUD; ADENAUER; AFRICAN EXILE GROUPS; AFRICAN NATIONAL CONGRESS; AFGHAN ARMY UNIFORM FACTORY; ALDO MORO; ARGENTINA; ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY; AFGHANISTAN; ALICAN; ANTI-FASCIST PEOPLES FREEDOM LEAGUE; ARBENZ; AFRICAN NATIONAL CONGRESS (ANC); AKIF FAYIZ; ARMED FORCES; BADR; ACCRA; AIR FORCE COMMANDER; AMERICAN AMBASSADOR; AMERICAN EMBASSY IN LEOPOLDVILLE; AMERICAN CONSULATE GENERAL IN HONG KONG; AMERICAN EMBASSY; CHILE; COLOMBIAN FOREIGN MINISTER TURBAY","{""LEVEL1_COMMUNITY"": 11}",This group connects 11 communities around: 1954 GENEVA AGREEMENT; ADMIRAL MARTADINATA; AIR MARSHAL SURYADARMA; ALGERIAN NATIONAL MOVEMENT (MNA); ADOULA; AFRO-ASIAN STATES; AKO ADJEI; ALBERT DELVAUX.
1,NARRATIVE:1,CYPRUS GOVERNMENT; EOKA; FAZIL KUCHUK; IKEDA GOVERNMENT,CYPRUS GOVERNMENT; EOKA; FAZIL KUCHUK; IKEDA GOVERNMENT,1,1,CYPRUS GOVERNMENT; EOKA; FAZIL KUCHUK; IKEDA GOVERNMENT,"{""LEVEL1_COMMUNITY"": 1}",This group connects 1 communities around: CYPRUS GOVERNMENT; EOKA; FAZIL KUCHUK; IKEDA GOVERNMENT.
