alias,canonical_label,notes,source,review_status,final_score
SOVIET UNION,SOVIET UNION (COUNTRY BULLETIN INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
EGYPT,EGYPT (BULLETIN TURKISH COUNTRY),,a4_pipeline,a3_single_cluster_self,1.0
FRANCE,FRANCE (COUNTRY BULLETIN INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
UNITED STATES,UNITED STATES (COUNTRY BULLETIN INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
ISRAEL,ISRAEL (COUNTRY BULLETIN INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
COMMUNIST CHINA,COMMUNIST CHINA (COUNTRY BULLETIN IRANIAN),,a4_pipeline,a3_single_cluster_self,1.0
INDIA,INDIA (COUNTRY BULLETIN MOROCCO),,a4_pipeline,a3_single_cluster_self,1.0
IRAQ,IRAQ (COUNTRY BULLETIN SYRIA),,a4_pipeline,a3_single_cluster_self,1.0
LAOS,LAOS (BULLETIN INTELLIGENCE IRAN),,a4_pipeline,a3_single_cluster_self,1.0
JAPAN,JAPAN (COUNTRY BULLETIN INDIA),,a4_pipeline,a3_single_cluster_self,1.0
TURKEY,TURKEY (COUNTRY BULLETIN INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
SYRIA,SYRIA (COUNTRY BULLETIN INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
IRAN,IRAN (COUNTRY BULLETIN HUSSEIN),,a4_pipeline,a3_single_cluster_self,1.0
JORDAN,JORDAN (COUNTRY BULLETIN SYRIA),,a4_pipeline,a3_single_cluster_self,1.0
INDONESIA,INDONESIA (BULLETIN INTELLIGENCE CENTRAL),,a4_pipeline,a3_single_cluster_self,1.0
EAST GERMANY,EAST GERMANY (COUNTRY BULLETIN VIET),,a4_pipeline,a3_single_cluster_self,1.0
YUGOSLAVIA,YUGOSLAVIA (COUNTRY BULLETIN ALBANIA),,a4_pipeline,a3_single_cluster_self,1.0
