original_normalized_label,canonical_label,canonical_key,method,confidence
SEGNI GOVERNMENT,SEGNI GOVERNMENT,CANONICAL_ENTITY:SEGNI_GOVERNMENT,multi_sense_label,1.0
SERAGEDDIN,SERAGEDDIN (WAFD 1952 BULLETIN),CANONICAL_ENTITY:SERAGEDDIN_WAFD_1952_BULLETIN,a3_single_cluster_self,1.0
SHAH MAHMUD,SHAH MAHMUD (DAUD BULLETIN NAIM),CANONICAL_ENTITY:SHAH_MAHMUD_DAUD_BULLETIN_NAIM,a3_single_cluster_self,1.0
SILES ZUAZO,SILES ZUAZO (BULLETIN CENTRAL INTELLIGENCE),CANONICAL_ENTITY:SILES_ZUAZO_BULLETIN_CENTRAL_INTELLIGENCE,a3_single_cluster_self,1.0
SOMOZA REGIME,SOMOZA REGIME,CANONICAL_ENTITY:SOMOZA_REGIME,multi_sense_label,1.0
SOUPHANOUVONG,SOUPHANOUVONG,CANONICAL_ENTITY:SOUPHANOUVONG,a5_consolidated,0.91
SOVIET AMBASSADOR,SOVIET AMBASSADOR (BULLETIN INTELLIGENCE CENTRAL),CANONICAL_ENTITY:SOVIET_AMBASSADOR_BULLETIN_INTELLIGENCE_CENTRAL,a3_single_cluster_self,1.0
SUDANESE ARMY,SUDANESE ARMY,CANONICAL_ENTITY:SUDANESE_ARMY,multi_sense_label,1.0
SUEHIRO NISHIO,SUEHIRO NISHIO (BULLETIN CONVENTION RIGHT),CANONICAL_ENTITY:SUEHIRO_NISHIO_BULLETIN_CONVENTION_RIGHT,a3_single_cluster_self,1.0
SUPREME MILITARY COUNCIL,SUPREME MILITARY COUNCIL,CANONICAL_ENTITY:SUPREME_MILITARY_COUNCIL,multi_sense_label,1.0
TAKEO MIKI,TAKEO MIKI (BULLETIN CZECHOSLOVAKIA 13),CANONICAL_ENTITY:TAKEO_MIKI_BULLETIN_CZECHOSLOVAKIA_13,a3_single_cluster_self,1.0
TAMBRONI,TAMBRONI,CANONICAL_ENTITY:TAMBRONI,a5_consolidated,0.91
TELLO,TELLO (MEXICO WHO BULLETIN),CANONICAL_ENTITY:TELLO_MEXICO_WHO_BULLETIN,a3_single_cluster_self,1.0
TENG HSIAO PING,TENG HSIAO PING (BULLETIN TUNG TSE),CANONICAL_ENTITY:TENG_HSIAO_PING_BULLETIN_TUNG_TSE,a3_single_cluster_self,1.0
URUGUAYAN GOVERNMENT,URUGUAYAN GOVERNMENT,CANONICAL_ENTITY:URUGUAYAN_GOVERNMENT,multi_sense_label,1.0
US EMBASSY IN PRAGUE,US EMBASSY IN PRAGUE,CANONICAL_ENTITY:US_EMBASSY_IN_PRAGUE,a5_consolidated,0.91
USSR SUPREME SOVIET,USSR SUPREME SOVIET,CANONICAL_ENTITY:USSR_SUPREME_SOVIET,multi_sense_label,1.0
WALTER GUEVARA,WALTER GUEVARA (SILES PAZ BULLETIN),CANONICAL_ENTITY:WALTER_GUEVARA_SILES_PAZ_BULLETIN,a3_single_cluster_self,1.0
BELGIAN TROOPS,BELGIAN TROOPS (SHIHAB CONGO LEGISLATURE),CANONICAL_ENTITY:BELGIAN_TROOPS_SHIHAB_CONGO_LEGISLATURE,a5_consolidated,0.91
BRIGADIER MAUNG MAUNG,BRIGADIER MAUNG MAUNG,CANONICAL_ENTITY:BRIGADIER_MAUNG_MAUNG,a5_consolidated,0.91
CHAUDRI MOHAMMAD ALI,CHAUDRI MOHAMMAD ALI (MIRZA AS BULLETIN),CANONICAL_ENTITY:CHAUDRI_MOHAMMAD_ALI_MIRZA_AS_BULLETIN,a3_single_cluster_self,1.0
ERITREA,ERITREA (BULLETIN XUYEN RICA),CANONICAL_ENTITY:ERITREA_BULLETIN_XUYEN_RICA,a3_single_cluster_self,1.0
ETZEL,ETZEL,CANONICAL_ENTITY:ETZEL,a5_consolidated,0.8
FRANK COUSINS,FRANK COUSINS (BULLETIN NUCLEAR POLICY),CANONICAL_ENTITY:FRANK_COUSINS_BULLETIN_NUCLEAR_POLICY,a3_single_cluster_self,1.0
FRONT FOR FRENCH ALGERIA,FRONT FOR FRENCH ALGERIA (ORAN JACOMET DELOUVRIER),CANONICAL_ENTITY:FRONT_FOR_FRENCH_ALGERIA_ORAN_JACOMET_DELOUVRIER,a5_consolidated,0.91
HASSAN,HASSAN,CANONICAL_ENTITY:HASSAN,a5_consolidated,0.91
JULIUS NYERERE,JULIUS NYERERE (BULLETIN AFRICAN LEADER),CANONICAL_ENTITY:JULIUS_NYERERE_BULLETIN_AFRICAN_LEADER,a3_single_cluster_self,1.0
KOMMUNIST,KOMMUNIST (DOCUMENT BULLETIN IS),CANONICAL_ENTITY:KOMMUNIST_DOCUMENT_BULLETIN_IS,a3_single_cluster_self,1.0
LLERAS CAMARGO,LLERAS CAMARGO (COLOMBIA 26 BULLETIN),CANONICAL_ENTITY:LLERAS_CAMARGO_COLOMBIA_26_BULLETIN,a3_single_cluster_self,1.0
MENSHIKOV,MENSHIKOV (BULLETIN USSR MIKOYAN),CANONICAL_ENTITY:MENSHIKOV_BULLETIN_USSR_MIKOYAN,a3_single_cluster_self,1.0
NIGER,NIGER (COUNTRY BULLETIN UAR),CANONICAL_ENTITY:NIGER_COUNTRY_BULLETIN_UAR,a3_single_cluster_self,1.0
OSVALDO DORTICOS,OSVALDO DORTICOS (FIDEL CASTRO BULLETIN),CANONICAL_ENTITY:OSVALDO_DORTICOS_FIDEL_CASTRO_BULLETIN,a3_single_cluster_self,1.0
PFLIMLIN GOVERNMENT,PFLIMLIN GOVERNMENT (STRAUSS SALAN ADENAUER),CANONICAL_ENTITY:PFLIMLIN_GOVERNMENT_STRAUSS_SALAN_ADENAUER,a5_consolidated,0.91
PRESIDENT SHIHAB,GENERAL SHIHAB,CANONICAL_ENTITY:GENERAL_SHIHAB,accept_rule,1.0
RYUKYU ISLANDS,RYUKYU ISLANDS (BULLETIN THOMA ELECTIONS),CANONICAL_ENTITY:RYUKYU_ISLANDS_BULLETIN_THOMA_ELECTIONS,a3_single_cluster_self,1.0
SARBUPRI,SARBUPRI,CANONICAL_ENTITY:SARBUPRI,multi_sense_label,1.0
UPA,UPA,CANONICAL_ENTITY:UPA,multi_sense_label,1.0
ARCAYA,ARCAYA (BULLETIN VENEZUELA CUBA),CANONICAL_ENTITY:ARCAYA_BULLETIN_VENEZUELA_CUBA,a3_single_cluster_self,1.0
BAATHIST PARTY,BAATHIST PARTY,CANONICAL_ENTITY:BAATHIST_PARTY,multi_sense_label,1.0
GABON,GABON (STRUGGLE 19 COUNTRY),CANONICAL_ENTITY:GABON_STRUGGLE_19_COUNTRY,a3_single_cluster_self,1.0
10TH AIR ARMY,10TH AIR ARMY,CANONICAL_ENTITY:10TH_AIR_ARMY,multi_sense_label,1.0
26 OF JULY MOVEMENT,26 OF JULY MOVEMENT,CANONICAL_ENTITY:26_OF_JULY_MOVEMENT,multi_sense_label,1.0
304TH DIVISION,316TH DIVISION (THAILAND VIENTIANE PATHET),CANONICAL_ENTITY:316TH_DIVISION_THAILAND_VIENTIANE_PATHET,a5_consolidated,1.0
ABDALLAH IBRAHIM,ABDALLAH IBRAHIM,CANONICAL_ENTITY:ABDALLAH_IBRAHIM,a5_consolidated,0.91
ACHILLES,ACHILLES,CANONICAL_ENTITY:ACHILLES,a5_consolidated,0.91
ADMIRAL USHAKOV,ADMIRAL USHAKOV (SYRIA EGYPT BULLETIN),CANONICAL_ENTITY:ADMIRAL_USHAKOV_SYRIA_EGYPT_BULLETIN,a3_single_cluster_self,1.0
AFGHAN ARMY,AFGHAN ARMY,CANONICAL_ENTITY:AFGHAN_ARMY,multi_sense_label,1.0
AGRARIAN PARTY,AGRARIAN PARTY,CANONICAL_ENTITY:AGRARIAN_PARTY,multi_sense_label,1.0
ALDRICH,AMBASSADOR ALDRICH,CANONICAL_ENTITY:AMBASSADOR_ALDRICH,accept_rule,1.0
ALGERIAN REBEL REGIME,ALGERIAN REBEL REGIME,CANONICAL_ENTITY:ALGERIAN_REBEL_REGIME,multi_sense_label,1.0
ALLIED COMMANDANTS,ALLIED COMMANDANTS,CANONICAL_ENTITY:ALLIED_COMMANDANTS,multi_sense_label,1.0
ALLIED MILITARY GOVERNMENT,ALLIED MILITARY GOVERNMENT,CANONICAL_ENTITY:ALLIED_MILITARY_GOVERNMENT,multi_sense_label,1.0
ALPHAND,ALPHAND (BULLETIN NATO ALBERTO),CANONICAL_ENTITY:ALPHAND_BULLETIN_NATO_ALBERTO,a3_single_cluster_self,1.0
AMBASSADOR,AMBASSADOR (BULLETIN GERMANY 1952),CANONICAL_ENTITY:AMBASSADOR_BULLETIN_GERMANY_1952,a3_single_cluster_self,1.0
