original_normalized_label,canonical_label,canonical_key,method,confidence
USSR,USSR,CANONICAL_ENTITY:USSR,multi_sense_label,1.0
SOVIET UNION,SOVIET UNION (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:SOVIET_UNION_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
EGYPT,EGYPT (BULLETIN TURKISH COUNTRY),CANONICAL_ENTITY:EGYPT_BULLETIN_TURKISH_COUNTRY,a3_single_cluster_self,1.0
FRANCE,FRANCE (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:FRANCE_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
UNITED STATES,UNITED STATES (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:UNITED_STATES_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
PEIPING,PEIPING,CANONICAL_ENTITY:PEIPING,multi_sense_label,1.0
KHRUSHCHEV,KHRUSHCHEV,CANONICAL_ENTITY:KHRUSHCHEV,a5_consolidated,0.91
ISRAEL,ISRAEL (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:ISRAEL_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
COMMUNIST CHINA,COMMUNIST CHINA (COUNTRY BULLETIN IRANIAN),CANONICAL_ENTITY:COMMUNIST_CHINA_COUNTRY_BULLETIN_IRANIAN,a3_single_cluster_self,1.0
INDIA,INDIA (COUNTRY BULLETIN MOROCCO),CANONICAL_ENTITY:INDIA_COUNTRY_BULLETIN_MOROCCO,a3_single_cluster_self,1.0
IRAQ,IRAQ (COUNTRY BULLETIN SYRIA),CANONICAL_ENTITY:IRAQ_COUNTRY_BULLETIN_SYRIA,a3_single_cluster_self,1.0
VIET MINH,VIET MINH,CANONICAL_ENTITY:VIET_MINH,multi_sense_label,1.0
UAR,UAR,CANONICAL_ENTITY:UAR,multi_sense_label,1.0
LAOS,LAOS (BULLETIN INTELLIGENCE IRAN),CANONICAL_ENTITY:LAOS_BULLETIN_INTELLIGENCE_IRAN,a3_single_cluster_self,1.0
JAPAN,JAPAN (COUNTRY BULLETIN INDIA),CANONICAL_ENTITY:JAPAN_COUNTRY_BULLETIN_INDIA,a3_single_cluster_self,1.0
TURKEY,TURKEY (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:TURKEY_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
SYRIA,SYRIA (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:SYRIA_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
IRAN,IRAN (COUNTRY BULLETIN HUSSEIN),CANONICAL_ENTITY:IRAN_COUNTRY_BULLETIN_HUSSEIN,a3_single_cluster_self,1.0
JORDAN,JORDAN (COUNTRY BULLETIN SYRIA),CANONICAL_ENTITY:JORDAN_COUNTRY_BULLETIN_SYRIA,a3_single_cluster_self,1.0
INDONESIA,INDONESIA (BULLETIN INTELLIGENCE CENTRAL),CANONICAL_ENTITY:INDONESIA_BULLETIN_INTELLIGENCE_CENTRAL,a3_single_cluster_self,1.0
EAST GERMANY,EAST GERMANY (COUNTRY BULLETIN VIET),CANONICAL_ENTITY:EAST_GERMANY_COUNTRY_BULLETIN_VIET,a3_single_cluster_self,1.0
YUGOSLAVIA,YUGOSLAVIA (COUNTRY BULLETIN ALBANIA),CANONICAL_ENTITY:YUGOSLAVIA_COUNTRY_BULLETIN_ALBANIA,a3_single_cluster_self,1.0
NATIONAL SECURITY AGENCY,NATIONAL SECURITY AGENCY,CANONICAL_ENTITY:NATIONAL_SECURITY_AGENCY,a4_merge_existing,0.91
ATOMIC ENERGY COMMISSION,ATOMIC ENERGY COMMISSION,CANONICAL_ENTITY:ATOMIC_ENERGY_COMMISSION,multi_sense_label,1.0
DIRECTOR,DIRECTOR (BULLETIN STATES UNITED),CANONICAL_ENTITY:DIRECTOR_BULLETIN_STATES_UNITED,a3_single_cluster_self,1.0
DEPARTMENT OF DEFENSE,DEPARTMENT OF DEFENSE,CANONICAL_ENTITY:DEPARTMENT_OF_DEFENSE,multi_sense_label,1.0
PAKISTAN,PAKISTAN (COUNTRY BULLETIN AFGHANISTAN),CANONICAL_ENTITY:PAKISTAN_COUNTRY_BULLETIN_AFGHANISTAN,a3_single_cluster_self,1.0
FEDERAL BUREAU OF INVESTIGATION,FEDERAL BUREAU OF INVESTIGATION,CANONICAL_ENTITY:FEDERAL_BUREAU_OF_INVESTIGATION,a4_merge_existing,0.91
PATHET LAO,PATHET LAO,CANONICAL_ENTITY:PATHET_LAO,multi_sense_label,1.0
CUBA,CUBA (1952 COUNTRY BULLETIN),CANONICAL_ENTITY:CUBA_1952_COUNTRY_BULLETIN,a3_single_cluster_self,1.0
NATIONAL INDICATIONS CENTER,NATIONAL INDICATIONS CENTER,CANONICAL_ENTITY:NATIONAL_INDICATIONS_CENTER,multi_sense_label,1.0
CZECHOSLOVAKIA,CZECHOSLOVAKIA,CANONICAL_ENTITY:CZECHOSLOVAKIA,a5_consolidated,0.91
BRITAIN,BRITAIN (COUNTRY BULLETIN USSR),CANONICAL_ENTITY:BRITAIN_COUNTRY_BULLETIN_USSR,a3_single_cluster_self,1.0
WEST GERMANY,WEST GERMANY (COUNTRY BULLETIN WESTERN),CANONICAL_ENTITY:WEST_GERMANY_COUNTRY_BULLETIN_WESTERN,a3_single_cluster_self,1.0
POLAND,POLAND (BULLETIN DELEGATES INTELLIGENCE),CANONICAL_ENTITY:POLAND_BULLETIN_DELEGATES_INTELLIGENCE,a3_single_cluster_self,1.0
MOSCOW,MOSCOW,CANONICAL_ENTITY:MOSCOW,multi_sense_label,1.0
SAUDI ARABIA,SAUDI ARABIA (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:SAUDI_ARABIA_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
NEHRU,NEHRU (BULLETIN LATTRE INDIAN),CANONICAL_ENTITY:NEHRU_BULLETIN_LATTRE_INDIAN,a3_single_cluster_self,1.0
BURMA,BURMA (COUNTRY BULLETIN BURMESE),CANONICAL_ENTITY:BURMA_COUNTRY_BULLETIN_BURMESE,a3_single_cluster_self,1.0
DEPARTMENT OF STATE,DEPARTMENT OF STATE,CANONICAL_ENTITY:DEPARTMENT_OF_STATE,multi_sense_label,1.0
SOUTH KOREA,SOUTH KOREA (COUNTRY BULLETIN JAPAN),CANONICAL_ENTITY:SOUTH_KOREA_COUNTRY_BULLETIN_JAPAN,a3_single_cluster_self,1.0
AMERICAN EMBASSY,AMERICAN EMBASSY,CANONICAL_ENTITY:AMERICAN_EMBASSY,a5_consolidated,0.91
CAIRO,CAIRO (EGYPT CAPITAL BULLETIN),CANONICAL_ENTITY:CAIRO_EGYPT_CAPITAL_BULLETIN,a3_single_cluster_self,1.0
CHINA,CHINA (USSR COUNTRY BULLETIN),CANONICAL_ENTITY:CHINA_USSR_COUNTRY_BULLETIN,a3_single_cluster_self,1.0
CHOU EN LAI,CHOU EN LAI,CANONICAL_ENTITY:CHOU_EN_LAI,a5_consolidated,0.91
ITALY,ITALY (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:ITALY_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
SOUVANNA PHOUMA,SOUVANNA PHOUMA,CANONICAL_ENTITY:SOUVANNA_PHOUMA,a5_consolidated,0.91
NATO,NATO,CANONICAL_ENTITY:NATO,multi_sense_label,1.0
SUKARNO,SUKARNO (INDONESIA BULLETIN INTELLIGENCE),CANONICAL_ENTITY:SUKARNO_INDONESIA_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
MOROCCO,MOROCCO (COUNTRY BULLETIN EGYPT),CANONICAL_ENTITY:MOROCCO_COUNTRY_BULLETIN_EGYPT,a3_single_cluster_self,1.0
DEPARTMENT OF COMMERCE,DEPARTMENT OF COMMERCE,CANONICAL_ENTITY:DEPARTMENT_OF_COMMERCE,a5_consolidated,0.9162
GREECE,GREECE (ALBANIA YUGOSLAVIA COUNTRY),CANONICAL_ENTITY:GREECE_ALBANIA_YUGOSLAVIA_COUNTRY,a3_single_cluster_self,1.0
ADENAUER,ADENAUER (SCHUMAN GERMANY BULLETIN),CANONICAL_ENTITY:ADENAUER_SCHUMAN_GERMANY_BULLETIN,a3_single_cluster_self,1.0
DE GAULLE,DE GAULLE,CANONICAL_ENTITY:DE_GAULLE,a5_consolidated,0.91
ALGERIA,ALGERIA (TUNISIA BULLETIN FRANCE),CANONICAL_ENTITY:ALGERIA_TUNISIA_BULLETIN_FRANCE,a3_single_cluster_self,1.0
HAMMARSKJOLD,HAMMARSKJOLD,CANONICAL_ENTITY:HAMMARSKJOLD,a5_consolidated,0.91
CONGO,CONGO (BULLETIN HEMELRIJCK BELGIUM),CANONICAL_ENTITY:CONGO_BULLETIN_HEMELRIJCK_BELGIUM,a3_single_cluster_self,1.0
DJAKARTA,DJAKARTA,CANONICAL_ENTITY:DJAKARTA,multi_sense_label,1.0
THAILAND,THAILAND (COUNTRY BULLETIN IS),CANONICAL_ENTITY:THAILAND_COUNTRY_BULLETIN_IS,a3_single_cluster_self,1.0
NASIR,NASIR,CANONICAL_ENTITY:NASIR,a5_consolidated,0.95
AFGHANISTAN,AFGHANISTAN (PAKISTAN COUNTRY BULLETIN),CANONICAL_ENTITY:AFGHANISTAN_PAKISTAN_COUNTRY_BULLETIN,a3_single_cluster_self,1.0
NORTH VIETNAM,NORTH VIETNAM (BULLETIN KOIRALA KOREA),CANONICAL_ENTITY:NORTH_VIETNAM_BULLETIN_KOIRALA_KOREA,a3_single_cluster_self,1.0
EXECUTIVE OFFICES OF THE WHITE HOUSE,EXECUTIVE OFFICES OF THE WHITE HOUSE,CANONICAL_ENTITY:EXECUTIVE_OFFICES_OF_THE_WHITE_HOUSE,multi_sense_label,1.0
CHANCELLOR ADENAUER,CHANCELLOR ADENAUER (BULLETIN GERMANY INTELLIGENCE),CANONICAL_ENTITY:CHANCELLOR_ADENAUER_BULLETIN_GERMANY_INTELLIGENCE,a3_single_cluster_self,1.0
FRENCH GOVERNMENT,FRENCH GOVERNMENT,CANONICAL_ENTITY:FRENCH_GOVERNMENT,multi_sense_label,1.0
HUNGARY,HUNGARY (COUNTRY BULLETIN DELEGATES),CANONICAL_ENTITY:HUNGARY_COUNTRY_BULLETIN_DELEGATES,a3_single_cluster_self,1.0
ARGENTINA,ARGENTINA (COUNTRY BULLETIN LATTRE),CANONICAL_ENTITY:ARGENTINA_COUNTRY_BULLETIN_LATTRE,a3_single_cluster_self,1.0
UNITED STATES INFORMATION AGENCY,UNITED STATES INFORMATION AGENCY,CANONICAL_ENTITY:UNITED_STATES_INFORMATION_AGENCY,a5_consolidated,0.91
MOSSADEQ,MOSSADEQ (BULLETIN IS MAJLIS),CANONICAL_ENTITY:MOSSADEQ_BULLETIN_IS_MAJLIS,a3_single_cluster_self,1.0
LEBANON,LEBANON (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:LEBANON_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
SECRETARY OF DEFENSE,SECRETARY OF DEFENSE (HEAD BULLETIN STATES),CANONICAL_ENTITY:SECRETARY_OF_DEFENSE_HEAD_BULLETIN_STATES,a3_single_cluster_self,1.0
TUNISIA,TUNISIA (BULLETIN MOROCCO AS),CANONICAL_ENTITY:TUNISIA_BULLETIN_MOROCCO_AS,a3_single_cluster_self,1.0
SHAH,SHAH,CANONICAL_ENTITY:SHAH,multi_sense_label,1.0
CEYLON,CEYLON (COUNTRY BULLETIN BAO),CANONICAL_ENTITY:CEYLON_COUNTRY_BULLETIN_BAO,a3_single_cluster_self,1.0
PRESIDENT,PRESIDENT,CANONICAL_ENTITY:PRESIDENT,multi_sense_label,1.0
TITO,TITO,CANONICAL_ENTITY:TITO,a5_consolidated,0.91
UN,UN,CANONICAL_ENTITY:UN,multi_sense_label,1.0
KING SAUD,KING SAUD,CANONICAL_ENTITY:KING_SAUD,a5_consolidated,0.91
VICE PRESIDENT,VICE PRESIDENT (OFFICES INVESTIGATION WHITE),CANONICAL_ENTITY:VICE_PRESIDENT_OFFICES_INVESTIGATION_WHITE,a3_single_cluster_self,1.0
BRAZIL,BRAZIL (COUNTRY BULLETIN BRAZILIAN),CANONICAL_ENTITY:BRAZIL_COUNTRY_BULLETIN_BRAZILIAN,a3_single_cluster_self,1.0
US,UNITED STATES,CANONICAL_ENTITY:UNITED_STATES,accept_rule,1.0
VIENTIANE,VIENTIANE (LAOS CAPITAL BULLETIN),CANONICAL_ENTITY:VIENTIANE_LAOS_CAPITAL_BULLETIN,a3_single_cluster_self,1.0
SOUTH VIETNAM,SOUTH VIETNAM (BULLETIN 1954 MINH),CANONICAL_ENTITY:SOUTH_VIETNAM_BULLETIN_1954_MINH,a3_single_cluster_self,1.0
CENTRAL INTELLIGENCE AGENCY,CENTRAL INTELLIGENCE AGENCY,CANONICAL_ENTITY:CENTRAL_INTELLIGENCE_AGENCY,multi_sense_label,1.0
UNITED NATIONS,UNITED NATIONS,CANONICAL_ENTITY:UNITED_NATIONS,multi_sense_label,1.0
NORTH KOREA,NORTH KOREA (COUNTRY BULLETIN US),CANONICAL_ENTITY:NORTH_KOREA_COUNTRY_BULLETIN_US,a3_single_cluster_self,1.0
CHINESE COMMUNISTS,CHINESE COMMUNISTS,CANONICAL_ENTITY:CHINESE_COMMUNISTS,a5_consolidated,0.91
NASR,NASR,CANONICAL_ENTITY:NASR,multi_sense_label,1.0
VENEZUELA,VENEZUELA (COUNTRY BULLETIN ACTION),CANONICAL_ENTITY:VENEZUELA_COUNTRY_BULLETIN_ACTION,a3_single_cluster_self,1.0
BELGIUM,BELGIUM (TURKEY GREECE COUNTRY),CANONICAL_ENTITY:BELGIUM_TURKEY_GREECE_COUNTRY,a3_single_cluster_self,1.0
GUATEMALA,GUATEMALA (1952 COUNTRY BULLETIN),CANONICAL_ENTITY:GUATEMALA_1952_COUNTRY_BULLETIN,a3_single_cluster_self,1.0
CAMBODIA,CAMBODIA (1952 COUNTRY BULLETIN),CANONICAL_ENTITY:CAMBODIA_1952_COUNTRY_BULLETIN,a3_single_cluster_self,1.0
AUSTRIA,AUSTRIA (COUNTRY BULLETIN DONNELLY),CANONICAL_ENTITY:AUSTRIA_COUNTRY_BULLETIN_DONNELLY,a3_single_cluster_self,1.0
COMMUNISTS,COMMUNISTS,CANONICAL_ENTITY:COMMUNISTS,multi_sense_label,1.0
SUDAN,SUDAN (BULLETIN EGYPT FRANCE),CANONICAL_ENTITY:SUDAN_BULLETIN_EGYPT_FRANCE,a3_single_cluster_self,1.0
COMMUNIST PARTY,COMMUNIST PARTY,CANONICAL_ENTITY:COMMUNIST_PARTY,multi_sense_label,1.0
CHAIRMAN,CHAIRMAN (COMMANDANT JOINT MARINE),CANONICAL_ENTITY:CHAIRMAN_COMMANDANT_JOINT_MARINE,a3_single_cluster_self,1.0
BONN,BONN,CANONICAL_ENTITY:BONN,multi_sense_label,1.0
GENERAL PHOUMI,GENERAL PHOUMI,CANONICAL_ENTITY:GENERAL_PHOUMI,a5_consolidated,0.91
TREASURY DEPARTMENT,TREASURY DEPARTMENT,CANONICAL_ENTITY:TREASURY_DEPARTMENT,multi_sense_label,1.0
LIBYA,LIBYA (COUNTRY BULLETIN INDEPENDENCE),CANONICAL_ENTITY:LIBYA_COUNTRY_BULLETIN_INDEPENDENCE,a3_single_cluster_self,1.0
BRITISH FOREIGN OFFICE,BRITISH FOREIGN OFFICE,CANONICAL_ENTITY:BRITISH_FOREIGN_OFFICE,multi_sense_label,1.0
COMMANDER IN CHIEF PACIFIC,COMMANDER IN CHIEF PACIFIC,CANONICAL_ENTITY:COMMANDER_IN_CHIEF_PACIFIC,multi_sense_label,1.0
SUPREME ALLIED COMMANDER EUROPE,SUPREME ALLIED COMMANDER EUROPE (COMMANDANT JOINT MARINE),CANONICAL_ENTITY:SUPREME_ALLIED_COMMANDER_EUROPE_COMMANDANT_JOINT_MARINE,a3_single_cluster_self,1.0
ASSISTANT CHIEF OF STAFF INTELLIGENCE DEPARTMENT OF THE AIR FORCE,ASSISTANT CHIEF OF STAFF INTELLIGENCE DEPARTMENT OF THE AIR FORCE (COMMANDANT JOINT MARINE),CANONICAL_ENTITY:ASSISTANT_CHIEF_OF_STAFF_INTELLIGENCE_DEPARTMENT_OF_THE_AIR_FORCE_COMMANDANT_JOINT_MARINE,a3_single_cluster_self,1.0
CHAIRMAN THE JOINT CHIEFS OF STAFF,CHAIRMAN THE JOINT CHIEFS OF STAFF (COMMANDANT MARINE STATES),CANONICAL_ENTITY:CHAIRMAN_THE_JOINT_CHIEFS_OF_STAFF_COMMANDANT_MARINE_STATES,a3_single_cluster_self,1.0
CHIEF OF NAVAL OPERATIONS UNITED STATES NAVY,CHIEF OF NAVAL OPERATIONS UNITED STATES NAVY (COMMANDANT JOINT MARINE),CANONICAL_ENTITY:CHIEF_OF_NAVAL_OPERATIONS_UNITED_STATES_NAVY_COMMANDANT_JOINT_MARINE,a3_single_cluster_self,1.0
CHIEF OF STAFF UNITED STATES AIR FORCE,CHIEF OF STAFF UNITED STATES AIR FORCE (COMMANDANT JOINT MARINE),CANONICAL_ENTITY:CHIEF_OF_STAFF_UNITED_STATES_AIR_FORCE_COMMANDANT_JOINT_MARINE,a3_single_cluster_self,1.0
CHIEF OF STAFF UNITED STATES ARMY,CHIEF OF STAFF UNITED STATES ARMY (COMMANDANT JOINT MARINE),CANONICAL_ENTITY:CHIEF_OF_STAFF_UNITED_STATES_ARMY_COMMANDANT_JOINT_MARINE,a3_single_cluster_self,1.0
COMMANDANT UNITED STATES MARINE CORPS,COMMANDANT UNITED STATES MARINE CORPS (JOINT STAFF NAVY),CANONICAL_ENTITY:COMMANDANT_UNITED_STATES_MARINE_CORPS_JOINT_STAFF_NAVY,a3_single_cluster_self,1.0
DEPUTY SECRETARY OF DEFENSE,DEPUTY SECRETARY OF DEFENSE (COMMANDANT JOINT MARINE),CANONICAL_ENTITY:DEPUTY_SECRETARY_OF_DEFENSE_COMMANDANT_JOINT_MARINE,a3_single_cluster_self,1.0
DIRECTOR THE JOINT STAFF,DIRECTOR THE JOINT STAFF (COMMANDANT MARINE STATES),CANONICAL_ENTITY:DIRECTOR_THE_JOINT_STAFF_COMMANDANT_MARINE_STATES,a3_single_cluster_self,1.0
SECRETARY OF THE AIR FORCE,SECRETARY OF THE AIR FORCE (COMMANDANT JOINT MARINE),CANONICAL_ENTITY:SECRETARY_OF_THE_AIR_FORCE_COMMANDANT_JOINT_MARINE,a3_single_cluster_self,1.0
SECRETARY OF THE ARMY,SECRETARY OF THE ARMY (COMMANDANT JOINT MARINE),CANONICAL_ENTITY:SECRETARY_OF_THE_ARMY_COMMANDANT_JOINT_MARINE,a3_single_cluster_self,1.0
SECRETARY OF THE NAVY,SECRETARY OF THE NAVY (COMMANDANT JOINT MARINE),CANONICAL_ENTITY:SECRETARY_OF_THE_NAVY_COMMANDANT_JOINT_MARINE,a3_single_cluster_self,1.0
GUINEA,GUINEA (COUNTRY BULLETIN IS),CANONICAL_ENTITY:GUINEA_COUNTRY_BULLETIN_IS,a3_single_cluster_self,1.0
LUMUMBA,LUMUMBA,CANONICAL_ENTITY:LUMUMBA,a5_consolidated,0.91
YEMEN,YEMEN (COUNTRY BULLETIN EGYPT),CANONICAL_ENTITY:YEMEN_COUNTRY_BULLETIN_EGYPT,a3_single_cluster_self,1.0
GIZENGA,GIZENGA (LUMUMBA BULLETIN UN),CANONICAL_ENTITY:GIZENGA_LUMUMBA_BULLETIN_UN,a3_single_cluster_self,1.0
BRITISH GOVERNMENT,BRITISH GOVERNMENT,CANONICAL_ENTITY:BRITISH_GOVERNMENT,multi_sense_label,1.0
HANOI,HANOI (VIET BULLETIN MINH),CANONICAL_ENTITY:HANOI_VIET_BULLETIN_MINH,a3_single_cluster_self,1.0
RHEE,RHEE (BULLETIN ROK INTELLIGENCE),CANONICAL_ENTITY:RHEE_BULLETIN_ROK_INTELLIGENCE,a3_single_cluster_self,1.0
DIRECTOR FOR INTELLIGENCE THE JOINT STAFF,DIRECTOR FOR INTELLIGENCE THE JOINT STAFF (CHIEFS CHAIRMAN DEFENSE),CANONICAL_ENTITY:DIRECTOR_FOR_INTELLIGENCE_THE_JOINT_STAFF_CHIEFS_CHAIRMAN_DEFENSE,a3_single_cluster_self,1.0
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC (RICA COUNTRY BULLETIN),CANONICAL_ENTITY:DOMINICAN_REPUBLIC_RICA_COUNTRY_BULLETIN,a3_single_cluster_self,1.0
CHINESE NATIONALISTS,CHINESE NATIONALISTS,CANONICAL_ENTITY:CHINESE_NATIONALISTS,multi_sense_label,1.0
SECRETARY OF COMMERCE,SECRETARY OF COMMERCE (JOINT CHIEFS CHAIRMAN),CANONICAL_ENTITY:SECRETARY_OF_COMMERCE_JOINT_CHIEFS_CHAIRMAN,a3_single_cluster_self,1.0
CENTRAL INTELLIGENCE BULLETIN,CENTRAL INTELLIGENCE BULLETIN (DOCUMENT STATES STAFF),CANONICAL_ENTITY:CENTRAL_INTELLIGENCE_BULLETIN_DOCUMENT_STATES_STAFF,a3_single_cluster_self,1.0
CYPRUS,CYPRUS (SITUATION BULLETIN INTELLIGENCE),CANONICAL_ENTITY:CYPRUS_SITUATION_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
GROMYKO,GROMYKO,CANONICAL_ENTITY:GROMYKO,accept_rule,1.0
BRITISH,BRITISH (BULLETIN PRESENT INTELLIGENCE),CANONICAL_ENTITY:BRITISH_BULLETIN_PRESENT_INTELLIGENCE,a3_single_cluster_self,1.0
ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE DEPARTMENT OF ARMY,ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE DEPARTMENT OF ARMY (BULLETIN SPECIAL AFFAIRS),CANONICAL_ENTITY:ASSISTANT_CHIEF_OF_STAFF_FOR_INTELLIGENCE_DEPARTMENT_OF_ARMY_BULLETIN_SPECIAL_AFFAIRS,a3_single_cluster_self,1.0
DIRECTOR OF NAVAL INTELLIGENCE DEPARTMENT OF NAVY,DIRECTOR OF NAVAL INTELLIGENCE DEPARTMENT OF NAVY (ASSISTANT BULLETIN SPECIAL),CANONICAL_ENTITY:DIRECTOR_OF_NAVAL_INTELLIGENCE_DEPARTMENT_OF_NAVY_ASSISTANT_BULLETIN_SPECIAL,a3_single_cluster_self,1.0
WEST BERLIN,WEST BERLIN (GERMANY BULLETIN SOVIET),CANONICAL_ENTITY:WEST_BERLIN_GERMANY_BULLETIN_SOVIET,a3_single_cluster_self,1.0
GHANA,GHANA (USSR COUNTRY BULLETIN),CANONICAL_ENTITY:GHANA_USSR_COUNTRY_BULLETIN,a3_single_cluster_self,1.0
MENDES FRANCE,MENDES FRANCE,CANONICAL_ENTITY:MENDES_FRANCE,a5_consolidated,0.91
QASIM,QASIM (BULLETIN LEADER INTELLIGENCE),CANONICAL_ENTITY:QASIM_BULLETIN_LEADER_INTELLIGENCE,a3_single_cluster_self,1.0
RUMANIA,RUMANIA (BULLETIN MINH LATTRE),CANONICAL_ENTITY:RUMANIA_BULLETIN_MINH_LATTRE,a3_single_cluster_self,1.0
CHIANG KAI SHEK,CHIANG KAI SHEK,CANONICAL_ENTITY:CHIANG_KAI_SHEK,a5_consolidated,0.91
BOLIVIA,BOLIVIA (PAZ ESTENSSORO COUNTRY),CANONICAL_ENTITY:BOLIVIA_PAZ_ESTENSSORO_COUNTRY,a3_single_cluster_self,1.0
ASSISTANT TO SECRETARY OF DEFENSE FOR SPECIAL OPERATIONS,ASSISTANT TO SECRETARY OF DEFENSE FOR SPECIAL OPERATIONS (COMMANDANT JOINT MARINE),CANONICAL_ENTITY:ASSISTANT_TO_SECRETARY_OF_DEFENSE_FOR_SPECIAL_OPERATIONS_COMMANDANT_JOINT_MARINE,a3_single_cluster_self,1.0
BULGANIN,BULGANIN,CANONICAL_ENTITY:BULGANIN,a5_consolidated,0.91
US EMBASSY,US EMBASSY,CANONICAL_ENTITY:US_EMBASSY,multi_sense_label,1.0
PRESIDENT RHEE,RHEE,CANONICAL_ENTITY:RHEE,accept_rule,1.0
GERMANY,GERMANY (COUNTRY BULLETIN FRANCE),CANONICAL_ENTITY:GERMANY_COUNTRY_BULLETIN_FRANCE,a3_single_cluster_self,1.0
FIDEL CASTRO,FIDEL CASTRO (BULLETIN HAVANA LEADER),CANONICAL_ENTITY:FIDEL_CASTRO_BULLETIN_HAVANA_LEADER,a3_single_cluster_self,1.0
ARAB LEAGUE,ARAB LEAGUE,CANONICAL_ENTITY:ARAB_LEAGUE,multi_sense_label,1.0
MOLOTOV,MOLOTOV (BULLETIN SITUATION INTELLIGENCE),CANONICAL_ENTITY:MOLOTOV_BULLETIN_SITUATION_INTELLIGENCE,a3_single_cluster_self,1.0
VIETNAM,VIETNAM (COUNTRY BULLETIN US),CANONICAL_ENTITY:VIETNAM_COUNTRY_BULLETIN_US,a3_single_cluster_self,1.0
LIBERAL PARTY,LIBERAL PARTY,CANONICAL_ENTITY:LIBERAL_PARTY,multi_sense_label,1.0
LEOPOLDVILLE,LEOPOLDVILLE (BULLETIN MAY CONGO),CANONICAL_ENTITY:LEOPOLDVILLE_BULLETIN_MAY_CONGO,a3_single_cluster_self,1.0
SPAIN,SPAIN (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:SPAIN_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
ETHIOPIA,ETHIOPIA (COUNTRY BULLETIN IS),CANONICAL_ENTITY:ETHIOPIA_COUNTRY_BULLETIN_IS,a3_single_cluster_self,1.0
ASSISTANT SECRETARY OF DEFENSE FOR INTERNATIONAL SECURITY AFFAIRS,ASSISTANT SECRETARY OF DEFENSE FOR INTERNATIONAL SECURITY AFFAIRS (COMMANDANT JOINT MARINE),CANONICAL_ENTITY:ASSISTANT_SECRETARY_OF_DEFENSE_FOR_INTERNATIONAL_SECURITY_AFFAIRS_COMMANDANT_JOINT_MARINE,a3_single_cluster_self,1.0
NETHERLANDS,NETHERLANDS (COUNTRY BULLETIN US),CANONICAL_ENTITY:NETHERLANDS_COUNTRY_BULLETIN_US,a3_single_cluster_self,1.0
BAO DAI,BAO DAI (HEATH BULLETIN TRAN),CANONICAL_ENTITY:BAO_DAI_HEATH_BULLETIN_TRAN,a3_single_cluster_self,1.0
PRAVDA,PRAVDA (BULLETIN NEWSPAPER KOREAN),CANONICAL_ENTITY:PRAVDA_BULLETIN_NEWSPAPER_KOREAN,a3_single_cluster_self,1.0
PRESIDENT SUKARNO,SUKARNO,CANONICAL_ENTITY:SUKARNO,accept_rule,1.0
MOBUTU,MOBUTU,CANONICAL_ENTITY:MOBUTU,a5_consolidated,0.91
BEN GURION,BEN GURION (YADIN BULLETIN INTELLIGENCE),CANONICAL_ENTITY:BEN_GURION_YADIN_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0
DEPARTMENT OF JUSTICE,DEPARTMENT OF JUSTICE,CANONICAL_ENTITY:DEPARTMENT_OF_JUSTICE,a5_consolidated,0.91
ALBANIA,YUGOSLAVIA (COUNTRY BULLETIN ALBANIA),CANONICAL_ENTITY:YUGOSLAVIA_COUNTRY_BULLETIN_ALBANIA,a5_consolidated,0.8877
PANAMA,PANAMA (COUNTRY BULLETIN BOLIVIA),CANONICAL_ENTITY:PANAMA_COUNTRY_BULLETIN_BOLIVIA,a3_single_cluster_self,1.0
