source_global,target_global,rel,weight,support_count,doc_ids,weight_raw_meta,weight_log_meta,weight_mutual,weight_rank,weight_combined
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:10,META_LINK,0.08736444946772129,781,2003046_CIA-RDP79T00975A000100520001-2;2008380_CIA-RDP79T00975A000400150001-0;2008403_CIA-RDP79T00975A000500160001-8;2008412_CIA-RDP79T00975A001400460001-5;2008416_CIA-RDP79T00975A004000320001-1;2014431_CIA-RDP79T00975A000300560001-6;2020580_CIA-RDP79T00975A001100670001-5;2020581_CIA-RDP79T00975A001200180001-8;2020583_CIA-RDP79T00975A001200240001-1;2020584_CIA-RDP79T00975A001200260001-9;2020903_CIA-RDP79T00975A001200390001-5;2020912_CIA-RDP79T00975A001500180001-5;2022704_CIA-RDP79T00975A002200040001-2;2026615_CIA-RDP79T00975A005600030001-6;2026923_CIA-RDP79T00975A001100030001-5;2027258_CIA-RDP79T00975A002200330001-0;2027259_CIA-RDP79T00975A002500040001-9;2034225_CIA-RDP79T00975A003200530001-7;2039272_CIA-RDP79T00975A002900390001-7;2046524_CIA-RDP79T00975A000500270001-6;2049787_CIA-RDP79T00975A005700180001-9;2050108_CIA-RDP79T00975A001000010001-8;2050123_CIA-RDP79T00975A001000430001-2;2050129_CIA-RDP79T00975A001000520001-2;2063769_CIA-RDP79T00975A002800230001-5;2063770_CIA-RDP79T00975A002900010001-8;2063772_CIA-RDP79T00975A003100110001-4;2064893_CIA-RDP79T00975A001000160001-2;2066864_CIA-RDP79T00975A003500290001-1;2739299_CIA-RDP79T00975A000400310001-2,217.49180387800678,5.386748502976291,0.024136232965677094,0.31622776601683794,0.08736444946772129
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:11,META_LINK,0.11122540181629263,1114,2000175_CIA-RDP79T00975A005500140001-5;2000186_CIA-RDP79T00975A005500280001-0;2000191_CIA-RDP79T00975A005500330001-4;2001984_CIA-RDP79T00975A005600400001-5;2001996_CIA-RDP79T00975A000300160001-0;2008384_CIA-RDP79T00975A000400260001-8;2008416_CIA-RDP79T00975A004000320001-1;2016347_CIA-RDP79T00975A000700030001-0;2018010_CIA-RDP79T00975A000900300001-8;2020573_CIA-RDP79T00975A000900650001-0;2020912_CIA-RDP79T00975A001500180001-5;2026912_CIA-RDP79T00975A001000220001-5;2026917_CIA-RDP79T00975A001000290001-8;2026926_CIA-RDP79T00975A001100070001-1;2026937_CIA-RDP79T00975A001500220001-0;2026952_CIA-RDP79T00975A001700010001-1;2027258_CIA-RDP79T00975A002200330001-0;2027260_CIA-RDP79T00975A002600010001-1;2046533_CIA-RDP79T00975A000500370001-5;2046563_CIA-RDP79T00975A000600200001-2;2049796_CIA-RDP79T00975A005700370001-8;2050117_CIA-RDP79T00975A001000360001-0;2050135_CIA-RDP79T00975A001000610001-2;2050144_CIA-RDP79T00975A001200190001-7;2051071_CIA-RDP79T00975A000900030001-8;2064582_CIA-RDP79T00975A000600430001-7;2064886_CIA-RDP79T00975A001000060001-3;2066864_CIA-RDP79T00975A003500290001-1;260604_CIA-RDP79T00975A003900030001-5;2623664_CIA-RDP79T00975A000500330001-9,251.62849150374305,5.531919996523846,0.024742180018391503,0.5,0.11122540181629263
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:15,META_LINK,0.17235761027920238,2014,2000177_CIA-RDP79T00975A005500170001-2;2000183_CIA-RDP79T00975A005500230001-5;2000186_CIA-RDP79T00975A005500280001-0;2000191_CIA-RDP79T00975A005500330001-4;2001973_CIA-RDP79T00975A005600250001-2;2001988_CIA-RDP79T00975A005600440001-1;2008413_CIA-RDP79T00975A001700390001-0;2008416_CIA-RDP79T00975A004000320001-1;2018005_CIA-RDP79T00975A000900070001-4;2026613_CIA-RDP79T00975A005500450001-1;2026938_CIA-RDP79T00975A001500230001-9;2026949_CIA-RDP79T00975A001600500001-8;2027259_CIA-RDP79T00975A002500040001-9;2027260_CIA-RDP79T00975A002600010001-1;2039272_CIA-RDP79T00975A002900390001-7;2039273_CIA-RDP79T00975A002900490001-6;2046524_CIA-RDP79T00975A000500270001-6;2046535_CIA-RDP79T00975A000500400001-1;2046563_CIA-RDP79T00975A000600200001-2;2049779_CIA-RDP79T00975A005700080001-0;2049783_CIA-RDP79T00975A005700120001-5;2049784_CIA-RDP79T00975A005700130001-4;2049787_CIA-RDP79T00975A005700180001-9;2049788_CIA-RDP79T00975A005700200001-6;2049792_CIA-RDP79T00975A005700330001-2;2049795_CIA-RDP79T00975A005700360001-9;2049796_CIA-RDP79T00975A005700370001-8;2050115_CIA-RDP79T00975A001000330001-3;2050116_CIA-RDP79T00975A001000350001-1;2050121_CIA-RDP79T00975A001000410001-4,492.853984341386,6.202239895239757,0.02970714582115741,1.0,0.17235761027920238
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:18,META_LINK,0.14037857337851017,923,2000170_CIA-RDP79T00975A005500070001-3;2000175_CIA-RDP79T00975A005500140001-5;2000186_CIA-RDP79T00975A005500280001-0;2000194_CIA-RDP79T00975A005500360001-1;2001978_CIA-RDP79T00975A005600330001-3;2003064_CIA-RDP79T00975A000200300001-5;2008416_CIA-RDP79T00975A004000320001-1;2016345_CIA-RDP79T00975A000600360001-5;2018006_CIA-RDP79T00975A000900110001-9;2020903_CIA-RDP79T00975A001200390001-5;2026934_CIA-RDP79T00975A001400330001-9;2026938_CIA-RDP79T00975A001500230001-9;2026952_CIA-RDP79T00975A001700010001-1;2026953_CIA-RDP79T00975A001700120001-9;2034225_CIA-RDP79T00975A003200530001-7;2039272_CIA-RDP79T00975A002900390001-7;2046548_CIA-RDP79T00975A000500600001-9;2046563_CIA-RDP79T00975A000600200001-2;2049779_CIA-RDP79T00975A005700080001-0;2049796_CIA-RDP79T00975A005700370001-8;2050130_CIA-RDP79T00975A001000540001-0;2051072_CIA-RDP79T00975A000900080001-3;2058868_CIA-RDP79T00975A001700630001-3;2058870_CIA-RDP79T00975A003400370001-3;2063768_CIA-RDP79T00975A001900620001-2;2063771_CIA-RDP79T00975A002900190001-9;2063772_CIA-RDP79T00975A003100110001-4;2064585_CIA-RDP79T00975A000600640001-4;2064890_CIA-RDP79T00975A001000120001-6;2066869_CIA-RDP79T00975A005000260001-7,271.75223861481635,5.60856383224986,0.02786869591424118,0.7071067811865475,0.14037857337851017
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:20,META_LINK,0.059621795461110745,552,2001984_CIA-RDP79T00975A005600400001-5;2003049_CIA-RDP79T00975A000100580001-6;2003063_CIA-RDP79T00975A000200290001-7;2008409_CIA-RDP79T00975A000500220001-1;2014438_CIA-RDP79T00975A000300410001-2;2020576_CIA-RDP79T00975A001000340001-2;2020903_CIA-RDP79T00975A001200390001-5;2020907_CIA-RDP79T00975A001300450001-7;2026925_CIA-RDP79T00975A001100060001-2;2026926_CIA-RDP79T00975A001100070001-1;2026936_CIA-RDP79T00975A001500200001-2;2026948_CIA-RDP79T00975A001600440001-5;2026951_CIA-RDP79T00975A001600560001-2;2027260_CIA-RDP79T00975A002600010001-1;2046537_CIA-RDP79T00975A000500430001-8;2046542_CIA-RDP79T00975A000500490001-2;2046562_CIA-RDP79T00975A000600090001-5;2046563_CIA-RDP79T00975A000600200001-2;2050121_CIA-RDP79T00975A001000410001-4;2050126_CIA-RDP79T00975A001000470001-8;2050130_CIA-RDP79T00975A001000540001-0;2064586_CIA-RDP79T00975A000600660001-2;2064894_CIA-RDP79T00975A001000180001-0;2066867_CIA-RDP79T00975A004000250001-9;2623660_CIA-RDP79T00975A000300440001-9;2623664_CIA-RDP79T00975A000500330001-9;2623668_CIA-RDP79T00975A000600050001-9;2692612_CIA-RDP79T00975A000600270001-5;2730350_CIA-RDP79T00975A000400220001-2;2733133_CIA-RDP79T00975A000200350001-0,95.01480006516184,4.564502346930708,0.02384604490858011,0.14907119849998599,0.059621795461110745
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:23,META_LINK,0.05773131367883009,449,2001996_CIA-RDP79T00975A000300160001-0;2003053_CIA-RDP79T00975A000200090001-9;2008381_CIA-RDP79T00975A000400210001-3;2008405_CIA-RDP79T00975A000500180001-6;2020581_CIA-RDP79T00975A001200180001-8;2026913_CIA-RDP79T00975A001000240001-3;2026928_CIA-RDP79T00975A001200430001-0;2050118_CIA-RDP79T00975A001000370001-9;2050123_CIA-RDP79T00975A001000430001-2;2050125_CIA-RDP79T00975A001000450001-0;2050144_CIA-RDP79T00975A001200190001-7;2051068_CIA-RDP79T00975A000700500001-8;2058865_CIA-RDP79T00975A001500090001-5;2066864_CIA-RDP79T00975A003500290001-1;2623672_CIA-RDP79T00975A000600150001-8;2643644_CIA-RDP79T00975A002800200001-8;2684314_CIA-RDP79T00975A000700410001-8;2692629_CIA-RDP79T00975A000600580001-1;2696829_CIA-RDP79T00975A000500230001-0;2869427_CIA-RDP79T00975A001300250001-9;2872226_CIA-RDP79T00975A001200090001-8;2872229_CIA-RDP79T00975A001200120001-4;2874601_CIA-RDP79T00975A003700180001-0;2893481_CIA-RDP79T00975A001000710001-1;2901112_CIA-RDP79T00975A001100430001-1;2980781_CIA-RDP79T00975A001400610001-8;2988536_CIA-RDP79T00975A003400350001-5;2988540_CIA-RDP79T00975A003600040001-7;2993987_CIA-RDP79T00975A001400580001-2;2996964_CIA-RDP79T00975A002500550001-3,72.74345127440837,4.300592194998098,0.02403391671222838,0.1386750490563073,0.05773131367883009
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:28,META_LINK,0.09791505713495732,792,2000175_CIA-RDP79T00975A005500140001-5;2001986_CIA-RDP79T00975A005600420001-3;2001988_CIA-RDP79T00975A005600440001-1;2008383_CIA-RDP79T00975A000400240001-0;2008384_CIA-RDP79T00975A000400260001-8;2018007_CIA-RDP79T00975A000900200001-9;2018020_CIA-RDP79T00975A000900590001-7;2020577_CIA-RDP79T00975A001000390001-7;2026913_CIA-RDP79T00975A001000240001-3;2026920_CIA-RDP79T00975A001000700001-2;2026923_CIA-RDP79T00975A001100030001-5;2026931_CIA-RDP79T00975A001300170001-8;2026935_CIA-RDP79T00975A001500150001-8;2026937_CIA-RDP79T00975A001500220001-0;2026946_CIA-RDP79T00975A001600340001-6;2026952_CIA-RDP79T00975A001700010001-1;2026954_CIA-RDP79T00975A001700130001-8;2027260_CIA-RDP79T00975A002600010001-1;2046524_CIA-RDP79T00975A000500270001-6;2046528_CIA-RDP79T00975A000500310001-1;2046531_CIA-RDP79T00975A000500350001-7;2046535_CIA-RDP79T00975A000500400001-1;2046543_CIA-RDP79T00975A000500500001-0;2046544_CIA-RDP79T00975A000500510001-9;2046563_CIA-RDP79T00975A000600200001-2;2050108_CIA-RDP79T00975A001000010001-8;2050109_CIA-RDP79T00975A001000020001-7;2050110_CIA-RDP79T00975A001000030001-6;2050116_CIA-RDP79T00975A001000350001-1;2050125_CIA-RDP79T00975A001000450001-0,178.83792013102925,5.192056001530739,0.025365766092803915,0.3779644730092272,0.09791505713495732
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:3,META_LINK,0.08393768729683296,783,2000169_CIA-RDP79T00975A005500060001-4;2000170_CIA-RDP79T00975A005500070001-3;2000177_CIA-RDP79T00975A005500170001-2;2000179_CIA-RDP79T00975A005500190001-0;2000191_CIA-RDP79T00975A005500330001-4;2000196_CIA-RDP79T00975A005500380001-9;2000197_CIA-RDP79T00975A005500390001-8;2001988_CIA-RDP79T00975A005600440001-1;2018000_CIA-RDP79T00975A000700540001-4;2020910_CIA-RDP79T00975A001400120001-2;2026612_CIA-RDP79T00975A005500430001-3;2026613_CIA-RDP79T00975A005500450001-1;2046531_CIA-RDP79T00975A000500350001-7;2049790_CIA-RDP79T00975A005700230001-3;2049792_CIA-RDP79T00975A005700330001-2;2049795_CIA-RDP79T00975A005700360001-9;2050116_CIA-RDP79T00975A001000350001-1;2058865_CIA-RDP79T00975A001500090001-5;2063770_CIA-RDP79T00975A002900010001-8;2063773_CIA-RDP79T00975A003100120001-3;2064895_CIA-RDP79T00975A001000190001-9;2066874_CIA-RDP79T00975A005400490001-8;2623657_CIA-RDP79T00975A000300200001-5;2682861_CIA-RDP79T00975A000100250001-2;2731969_CIA-RDP79T00975A005600230001-4;2733124_CIA-RDP79T00975A000200160001-1;2745277_CIA-RDP79T00975A000300650001-6;2900528_CIA-RDP79T00975A001000510001-3;2977764_CIA-RDP79T00975A004900230001-2;2977765_CIA-RDP79T00975A004900240001-1,179.67514011084745,5.19670061265427,0.024406450381083536,0.2886751345948129,0.08393768729683296
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:32,META_LINK,0.07484857371087718,391,2001980_CIA-RDP79T00975A005600360001-0;2018000_CIA-RDP79T00975A000700540001-4;2020574_CIA-RDP79T00975A001000300001-6;2026928_CIA-RDP79T00975A001200430001-0;2046525_CIA-RDP79T00975A000500280001-5;2046548_CIA-RDP79T00975A000500600001-9;2046567_CIA-RDP79T00975A000600490001-1;2050135_CIA-RDP79T00975A001000610001-2;2064582_CIA-RDP79T00975A000600430001-7;2064609_CIA-RDP79T00975A000900510001-5;2064890_CIA-RDP79T00975A001000120001-6;2692610_CIA-RDP79T00975A000600240001-8;2692625_CIA-RDP79T00975A000600540001-5;2733131_CIA-RDP79T00975A000200330001-2;2733133_CIA-RDP79T00975A000200350001-0;2900513_CIA-RDP79T00975A001000170001-1;2977767_CIA-RDP79T00975A005000230001-0;2988540_CIA-RDP79T00975A003600040001-7;2988541_CIA-RDP79T00975A004600090001-1;2988542_CIA-RDP79T00975A004600100001-9;2993975_CIA-RDP79T00975A001400450001-6;2993991_CIA-RDP79T00975A001500010001-3;2995585_CIA-RDP79T00975A002200610001-9;2995590_CIA-RDP79T00975A002500060001-7;2995592_CIA-RDP79T00975A002500090001-4;2995593_CIA-RDP79T00975A002500110001-1;2995611_CIA-RDP79T00975A002500300001-0;2995613_CIA-RDP79T00975A002500320001-8;2996967_CIA-RDP79T00975A002300030001-2;3000845_CIA-RDP79T00975A001700250001-5,84.68916485432543,4.450726386505927,0.02376858404816213,0.23570226039551587,0.07484857371087718
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:33,META_LINK,0.0816544719738734,363,2001996_CIA-RDP79T00975A000300160001-0;2003063_CIA-RDP79T00975A000200290001-7;2008380_CIA-RDP79T00975A000400150001-0;2008402_CIA-RDP79T00975A000500150001-9;2014428_CIA-RDP79T00975A000100480001-7;2014438_CIA-RDP79T00975A000300410001-2;2018005_CIA-RDP79T00975A000900070001-4;2018006_CIA-RDP79T00975A000900110001-9;2018007_CIA-RDP79T00975A000900200001-9;2018017_CIA-RDP79T00975A000900550001-1;2020559_CIA-RDP79T00975A000600620001-6;2020566_CIA-RDP79T00975A000900160001-4;2020575_CIA-RDP79T00975A001000310001-5;2020578_CIA-RDP79T00975A001000460001-9;2020579_CIA-RDP79T00975A001100400001-4;2026917_CIA-RDP79T00975A001000290001-8;2026923_CIA-RDP79T00975A001100030001-5;2026944_CIA-RDP79T00975A001600060001-7;2046525_CIA-RDP79T00975A000500280001-5;2046529_CIA-RDP79T00975A000500320001-0;2046539_CIA-RDP79T00975A000100010002-7;2046562_CIA-RDP79T00975A000600090001-5;2046564_CIA-RDP79T00975A000600210001-1;2046567_CIA-RDP79T00975A000600490001-1;2046568_CIA-RDP79T00975A000600500001-9;2050106_CIA-RDP79T00975A000900610001-4;2050116_CIA-RDP79T00975A001000350001-1;2050118_CIA-RDP79T00975A001000370001-9;2064581_CIA-RDP79T00975A000600420001-8;2064582_CIA-RDP79T00975A000600430001-7,88.56218585443744,4.494933198025365,0.027490612120727675,0.24253562503633297,0.0816544719738734
