node_key,level1_id
CANONICAL_ENTITY:10TH_AIR_ARMY__06D70836F3,11
CANONICAL_ENTITY:10TH_AIR_ARMY__526483EF40,50
CANONICAL_ENTITY:10TH_AIR_ARMY__81860189AE,10
CANONICAL_ENTITY:10TH_AIR_DIVISION__403960816E,12
CANONICAL_ENTITY:10TH_ARTILLERY_DIVISION__0EFA616A8E,2
CANONICAL_ENTITY:11TH_ARMORED_INFANTRY_BRIGADE__94559B74DF,0
CANONICAL_ENTITY:11TH_ARMY__42775C5DEE,46
CANONICAL_ENTITY:11TH_INTER_AMERICAN_CONFERENCE__665508FAF2,32
CANONICAL_ENTITY:11_MEMBER_EXECUTIVE_COUNCIL__EBEAC36E1C,5
CANONICAL_ENTITY:12TH_ARMY__31678428BF,42
CANONICAL_ENTITY:12_NATION_COMMISSION__A650DB1172,31
CANONICAL_ENTITY:12__9E2CFB8C4B,1
CANONICAL_ENTITY:13TH_AIR_DIVISION__E8A8EC3D36,12
CANONICAL_ENTITY:13TH_ARMY__002FDAAADD,46
CANONICAL_ENTITY:13TH_OF_MARCH_REVOLUTIONARY_DIRECTORATE__DF0ED97D48,19
CANONICAL_ENTITY:140TH_DIVISION_47TH_ARMY__4511F5789D,12
CANONICAL_ENTITY:14TH_ARMY__29C339B839,9
CANONICAL_ENTITY:14TH_DIVISION__F864E5B569,30
CANONICAL_ENTITY:14TH_OF_MAY_MOVEMENT__9BEAA44DD9,58
CANONICAL_ENTITY:16_MAY_1961__56DFC22918,49
CANONICAL_ENTITY:18TH_DIVISION__486CBFAE64,2
CANONICAL_ENTITY:1936_ANGLO_EGYPTIAN_TREATY__3300047F93,47
CANONICAL_ENTITY:1952_MUTUAL_SECURITY_ACT__030977B247,44
CANONICAL_ENTITY:1954_GENEVA_AGREEMENT__51F4E29C81,1
CANONICAL_ENTITY:1954_GENEVA_CONFERENCE__4C0224A10A,1
CANONICAL_ENTITY:1ST_AIRBORNE_BATTALION__832E0FCCED,2
CANONICAL_ENTITY:1ST_INFANTRY_DIVISION__9A80A094A6,18
CANONICAL_ENTITY:1ST_MILITARY_REGION__DEBB116C26,17
CANONICAL_ENTITY:1ST_NAVAL_AIR_DIVISION__7F36663B03,12
CANONICAL_ENTITY:20TH_ARMY__3EE14915E6,42
CANONICAL_ENTITY:20TH_PARTY_CONGRESS__8C7C307881,10
CANONICAL_ENTITY:21ST_OF_SEPTEMBER_MOVEMENT__A6688889D2,16
CANONICAL_ENTITY:23RD_CHINESE_COMMUNIST_ARMY__8A19F8F2F1,45
CANONICAL_ENTITY:26TH_AIR_DIVISION__56666AC6BC,12
CANONICAL_ENTITY:26TH_OF_JULY_MOVEMENT__8F17263C72,19
CANONICAL_ENTITY:26_OF_JULY_MOVEMENT__3016210683,19
CANONICAL_ENTITY:27TH_ARMY__5C937F59F9,42
CANONICAL_ENTITY:2ND_ARMY_GROUP__35952F2BF0,4
CANONICAL_ENTITY:2ND_DIVISION__804E9F4A9A,41
CANONICAL_ENTITY:2ND_FIELD_ARMY__8FE70BA386,46
CANONICAL_ENTITY:2ND_GUARDS_MECHANIZED_DIVISION__CACB952C24,22
CANONICAL_ENTITY:2ND_PARATROOP_BATTALION__186C9CE758,1
CANONICAL_ENTITY:308TH_DIVISION__7D94145741,16
CANONICAL_ENTITY:316TH_DIVISION__A1D9231DE8,2
CANONICAL_ENTITY:320TH_DIVISION__BF5E6A1E05,1
CANONICAL_ENTITY:325TH_DIVISION__AEA96C44D3,2
CANONICAL_ENTITY:32ND_MECHANIZED_DIVISION__487223F83D,22
CANONICAL_ENTITY:335TH_DIVISION__7726F82E2E,1
CANONICAL_ENTITY:35TH_ARMY__29348E71D1,12
CANONICAL_ENTITY:3RD_INDEPENDENT_REGIMENT__E2F83D095D,1
CANONICAL_ENTITY:3RD_INFANTRY_DIVISION__6C4332E544,48
CANONICAL_ENTITY:3_700_WORKERS__E0C30C8C74,27
CANONICAL_ENTITY:46TH_CHINESE_ARMY__17A0BD0F66,12
CANONICAL_ENTITY:50TH_AIR_ARMY__F1855B10F6,54
CANONICAL_ENTITY:527TH_BATTALION__3B7BFCB0A2,5
CANONICAL_ENTITY:54TH_BATTALION__F96ED3DE76,44
CANONICAL_ENTITY:59TH_AIR_ARMY__6B2DBCE134,23
CANONICAL_ENTITY:5TH_FLEET_AIR_FORCE__9C2817DAF2,11
CANONICAL_ENTITY:5TH_HUNGARIAN_RIFLE_DIVISION__73D85D9864,22
CANONICAL_ENTITY:60TH_ARMY__F85FD55C9A,17
CANONICAL_ENTITY:62_GROUP__36F722A8F7,26
CANONICAL_ENTITY:67TH_ARMY__F26B7C1B73,3
CANONICAL_ENTITY:6TH_BOMBER_CORPS__4204C0134F,20
CANONICAL_ENTITY:6_JANUARY_1961__1B80B7B9D7,49
CANONICAL_ENTITY:7TH_DIVISION__FC747E0F5E,2
CANONICAL_ENTITY:7TH_FLEET__E2C0B33E31,11
CANONICAL_ENTITY:7TH_GUARDS_MECHANIZED_DIVISION__805E8F133A,7
CANONICAL_ENTITY:7_OPPOSITION_POLITICAL_PARTIES__2078F3BA29,2
CANONICAL_ENTITY:80TH_BOMBER_CORPS__137FCB59B4,4
CANONICAL_ENTITY:82_NATION_UN_DISARMAMENT_COMMISSION__238500A247,5
CANONICAL_ENTITY:8TH_AIR_DIVISION__9D9FC380FE,26
CANONICAL_ENTITY:8TH_AND_10TH_BOMBER_DIVISIONS__E40F7AAB9A,12
CANONICAL_ENTITY:9TH_AIR_ARMY__596AE0FF2E,11
CANONICAL_ENTITY:9TH_AIR_ARMY__742F5A3E10,50
CANONICAL_ENTITY:AATUF__47F4521627,25
CANONICAL_ENTITY:AATUF__E1A8B4FCA4,25
CANONICAL_ENTITY:ABADAN_REFINERIES__1EB1200BCE,4
CANONICAL_ENTITY:ABADAN_REFINERY__A38EAE36F6,4
CANONICAL_ENTITY:ABADAN__0B523373A4,4
CANONICAL_ENTITY:ABAKO_PARTY__59F53ED54E,3
CANONICAL_ENTITY:ABAKO__01F12F4D33,3
CANONICAL_ENTITY:ABAKUMOV__DB06C0831C,13
CANONICAL_ENTITY:ABBAS_ARAM__6DEA7B8F34,17
CANONICAL_ENTITY:ABBAS_PARKHIDEH__1A223A34E3,36
CANONICAL_ENTITY:ABBAS__F132EC11FA,3
CANONICAL_ENTITY:ABBA_EBAN__7B35923723,4
CANONICAL_ENTITY:ABBOUDS_MILITARY_REGIME__458012C053,43
CANONICAL_ENTITY:ABBOUD_GOVERNMENT__9A55BB0249,43
CANONICAL_ENTITY:ABBOUD_MILITARY_GOVERNMENT__DDC581CE0D,43
CANONICAL_ENTITY:ABBOUD_MILITARY_REGIME__4D1AF9C650,43
CANONICAL_ENTITY:ABBOUD_REGIME__FCCE6E9F21,1
CANONICAL_ENTITY:ABBOUD__CF02EAFA48,43
CANONICAL_ENTITY:ABDALLAH_AL_RIMAWI__69810F5FD6,29
CANONICAL_ENTITY:ABDALLAH_AL_YAFI__5F3839A488,55
CANONICAL_ENTITY:ABDALLAH_IBRAHIM__A114EF1055,24
CANONICAL_ENTITY:ABDELKADER_CHANDERLI__5472183D30,9
CANONICAL_ENTITY:ABDELKHALEK_TORRES__70ADB89EA5,24
CANONICAL_ENTITY:ABDELKHALIK_TORRES__15173D9A9B,24
CANONICAL_ENTITY:ABDELKRIM_BENJELLOUN__4C23280EFD,24
CANONICAL_ENTITY:ABDEL_BEN_DRISS__327E595ED0,24
CANONICAL_ENTITY:ABDERRAHIM_BOUABID__CEA4B09DC2,24
CANONICAL_ENTITY:ABDERRAHMAN_YOUSSEFI__7C3BFE8BF6,24
CANONICAL_ENTITY:ABDIRASCID_ALI_SCERMARCHE__93F3F21CBB,41
CANONICAL_ENTITY:ABDIRASCID_ALI_SCERMERCHE__49F4863099,13
CANONICAL_ENTITY:ABDIRASCID__335DD8DCB3,41
CANONICAL_ENTITY:ABDOH__CAB04AB999,4
CANONICAL_ENTITY:ABDOLLAH_ENTEZAM__92446DB704,52
CANONICAL_ENTITY:ABDOLLAH_MOAZZAMI__8A77B8A0D3,4
CANONICAL_ENTITY:ABDOL_HOSEIN_MASUD_ANSARI__BD6739FDB2,37
CANONICAL_ENTITY:ABDOL_HOSSEIN_HEJAZI__A5D88CFD86,38
CANONICAL_ENTITY:ABDON_PARRA__95B908B657,16
CANONICAL_ENTITY:ABDOULAYE_DIALLO__818DF622BA,25
CANONICAL_ENTITY:ABDULGANI__CBA10F1A2C,5
CANONICAL_ENTITY:ABDULLAHI_ISSA__F324C48ED0,41
CANONICAL_ENTITY:ABDULLAH_ABID__36CFFF5838,36
CANONICAL_ENTITY:ABDULLAH_GOVERNMENT__4F40DDC45C,5
CANONICAL_ENTITY:ABDULLAH_IBRAHIM__CEB46ED114,24
CANONICAL_ENTITY:ABDULLAH_RIMAWI__57439A98E2,15
CANONICAL_ENTITY:ABDULLAH_TARIKI__B358E7910A,15
CANONICAL_ENTITY:ABDULLAH_YAFI__BA3FAD5C2E,36
CANONICAL_ENTITY:ABDULLA_MUBARRAK__8FA741B294,15
CANONICAL_ENTITY:ABDULLA_RIMAWI__7E7FEB0D4C,0
CANONICAL_ENTITY:ABDULLA__EFD00DE76F,21
CANONICAL_ENTITY:ABDUL_AZIZ_CHOUCHANE__06E0882594,36
CANONICAL_ENTITY:ABDUL_GHAFFER_KHAN__AD542BBC3C,11
CANONICAL_ENTITY:ABDUL_MAJID_KUBAAR__B273D2BA8E,13
CANONICAL_ENTITY:ABDUL_MONEM_RIFAI__00A32E1A0E,47
CANONICAL_ENTITY:ABDUL_RAHMAN_AZZAM__0C9E258FDA,36
CANONICAL_ENTITY:ABDUL_RAHMAN_BABU__0DDA920643,34
CANONICAL_ENTITY:ABDUL_RAHMAN__DD515F9DF7,12
CANONICAL_ENTITY:ABDUL_RAZAK__484E1DC364,40
CANONICAL_ENTITY:ABDUL_RAZEK__5F3F88B39B,7
CANONICAL_ENTITY:ABDUS_SATTAR_SHALIZI__A42986207F,11
CANONICAL_ENTITY:ABDYL_KELLEZI__F8E7C65122,48
CANONICAL_ENTITY:ABD_AL_GHAFFAR__1BBF754AC7,43
CANONICAL_ENTITY:ABD_AL_HAMID_BADAWI_PASHA__0F91164321,47
CANONICAL_ENTITY:ABD_AL_HAMID_SARRAJ__23D1992A55,25
CANONICAL_ENTITY:ABD_AL_ILAH__AAD7678298,18
CANONICAL_ENTITY:ABD_AL_KARIM__BA68B35C5A,15
