node_key,degree
CANONICAL_ENTITY:100_FLOWERS__490582A5ED,1
CANONICAL_ENTITY:MAO_TSE_TUNG__817AC4867C,393
CANONICAL_ENTITY:10TH_AIR_ARMY__06D70836F3,22
CANONICAL_ENTITY:5TH_FLEET_AIR_FORCE__9C2817DAF2,7
CANONICAL_ENTITY:7TH_FLEET__E2C0B33E31,6
CANONICAL_ENTITY:9TH_AIR_ARMY__596AE0FF2E,6
CANONICAL_ENTITY:BURMESE__5597886EEC,146
CANONICAL_ENTITY:CHINESE_NATIONALISTS__FF252C73CB,11
CANONICAL_ENTITY:CHOU_EN_LAI__20554D178D,1497
CANONICAL_ENTITY:CZECHOSLOVAKIA__75A86C29B6,1895
CANONICAL_ENTITY:FRANCE__9F5679EB22,3898
CANONICAL_ENTITY:GENERAL_CLAIRE_CHENNAULT__07E6F0EAB7,6
CANONICAL_ENTITY:GREEK_ARMY__EB89548249,6
CANONICAL_ENTITY:INDIAN_AMBASSADOR_PANIKKAR__FAD9BC5B61,56
CANONICAL_ENTITY:KOREAN_CONFLICT__16B7DEB692,5
CANONICAL_ENTITY:LIBYA__6E4A8E5FE1,651
CANONICAL_ENTITY:PEIPING__03820B07C3,3979
CANONICAL_ENTITY:SOVIET_AIR_ARMIES__D23FF9F6A3,5
EVENT_CLUSTER:1549,17
EVENT_CLUSTER:1550,17
EVENT_CLUSTER:1551,17
EVENT_CLUSTER:1552,17
EVENT_CLUSTER:1553,17
EVENT_CLUSTER:1697,6
EVENT_CLUSTER:1698,6
CANONICAL_ENTITY:10TH_AIR_ARMY__526483EF40,17
CANONICAL_ENTITY:9TH_AIR_ARMY__742F5A3E10,8
CANONICAL_ENTITY:AMERICAN_EMBASSY_IN_PARIS__588CD3FB37,356
CANONICAL_ENTITY:CHINESE_AIR_FORCES__54F6466734,8
CANONICAL_ENTITY:CHUKOTSK_PENINSULA__C5883D3E08,16
CANONICAL_ENTITY:FRENCH_FOREIGN_OFFICE__A8F41C3B9D,17
CANONICAL_ENTITY:IRANIAN_MAJLIS__24C4EDF41C,79
CANONICAL_ENTITY:KHABAROVSK__EB8A9CA9E2,24
CANONICAL_ENTITY:KURIL_ISLANDS__8EEA767A93,11
CANONICAL_ENTITY:MARITIME_PROVINCE__CC630633A6,8
CANONICAL_ENTITY:NORTH_KOREAN_AIR_FORCES__AD0C75D438,13
EVENT_CLUSTER:2156,23
EVENT_CLUSTER:2159,23
EVENT_CLUSTER:2160,16
EVENT_CLUSTER:2161,23
EVENT_CLUSTER:2162,16
EVENT_CLUSTER:2163,22
EVENT_CLUSTER:2164,16
CANONICAL_ENTITY:10TH_AIR_ARMY__6DDFF46309,1
CANONICAL_ENTITY:SAKHALIN__79019E898B,24
CANONICAL_ENTITY:10TH_AIR_ARMY__81860189AE,10
CANONICAL_ENTITY:DEPUTY_MINISTER_OF_FOREIGN_AFFAIRS_OF_MONGOLIA__5B31E1D920,9
CANONICAL_ENTITY:FRENCH_COMMUNISTS__68076D95DE,6
CANONICAL_ENTITY:MIKOYAN__79BE60C921,368
CANONICAL_ENTITY:MONGOLIAN_PRIME_MINISTER__A7BC0ECA41,6
CANONICAL_ENTITY:PRAVDA__F75CA25BFB,456
CANONICAL_ENTITY:SOVIET_UNION__635B62121F,5108
EVENT_CLUSTER:2807,8
EVENT_CLUSTER:2808,10
EVENT_CLUSTER:3,185
CANONICAL_ENTITY:10TH_AIR_DIVISION__403960816E,6
CANONICAL_ENTITY:BRITISH_GOVERNMENT__C2D47E3341,849
CANONICAL_ENTITY:CHOU__E9BA84C3BB,210
CANONICAL_ENTITY:HONG_KONG__4438ECC2AB,212
CANONICAL_ENTITY:TAIWAN_STRAIT__C367889118,183
EVENT_CLUSTER:3069,122
CANONICAL_ENTITY:10TH_ARTILLERY_DIVISION__0EFA616A8E,7
CANONICAL_ENTITY:CHINESE_COMMUNIST_53RD_ARMY__DCAF5E44AC,8
CANONICAL_ENTITY:CHINESE_NATIONALIST_MINISTRY_OF_NATIONAL_DEFENSE__0B69ACEA54,33
