node_key,community_id,community
CANONICAL_ENTITY:ABAKO_PARTY__59F53ED54E,176,176
CANONICAL_ENTITY:ABAKO__01F12F4D33,177,177
CANONICAL_ENTITY:ABAKUMOV__DB06C0831C,725,725
CANONICAL_ENTITY:ABBAS_ARAM__6DEA7B8F34,916,916
CANONICAL_ENTITY:ABBAS_PARKHIDEH__1A223A34E3,1694,1694
CANONICAL_ENTITY:ABBAS__F132EC11FA,178,178
CANONICAL_ENTITY:ABBA_EBAN__7B35923723,229,229
CANONICAL_ENTITY:ABBOUDS_MILITARY_REGIME__458012C053,1927,1927
CANONICAL_ENTITY:ABBOUD_GOVERNMENT__9A55BB0249,1928,1928
CANONICAL_ENTITY:ABBOUD_MILITARY_GOVERNMENT__DDC581CE0D,1929,1929
CANONICAL_ENTITY:ABBOUD_MILITARY_REGIME__4D1AF9C650,1930,1930
CANONICAL_ENTITY:ABBOUD_REGIME__FCCE6E9F21,80,80
CANONICAL_ENTITY:ABBOUD__CF02EAFA48,1931,1931
CANONICAL_ENTITY:ABDALLAH_AL_RIMAWI__69810F5FD6,1435,1435
CANONICAL_ENTITY:ABDALLAH_AL_YAFI__5F3839A488,2284,2284
CANONICAL_ENTITY:ABDALLAH_IBRAHIM__A114EF1055,1226,1226
CANONICAL_ENTITY:ABDELKADER_CHANDERLI__5472183D30,508,508
CANONICAL_ENTITY:ABDELKHALEK_TORRES__70ADB89EA5,1227,1227
CANONICAL_ENTITY:ABDELKHALIK_TORRES__15173D9A9B,1227,1227
CANONICAL_ENTITY:ABDELKRIM_BENJELLOUN__4C23280EFD,1228,1228
CANONICAL_ENTITY:ABDEL_BEN_DRISS__327E595ED0,1229,1229
CANONICAL_ENTITY:ABDERRAHIM_BOUABID__CEA4B09DC2,1230,1230
CANONICAL_ENTITY:ABDERRAHMAN_YOUSSEFI__7C3BFE8BF6,1226,1226
CANONICAL_ENTITY:ABDIRASCID_ALI_SCERMARCHE__93F3F21CBB,1866,1866
CANONICAL_ENTITY:ABDIRASCID_ALI_SCERMERCHE__49F4863099,726,726
CANONICAL_ENTITY:ABDIRASCID__335DD8DCB3,1867,1867
CANONICAL_ENTITY:ABDOH__CAB04AB999,230,230
CANONICAL_ENTITY:ABDOLLAH_ENTEZAM__92446DB704,2203,2203
CANONICAL_ENTITY:ABDOLLAH_MOAZZAMI__8A77B8A0D3,231,231
CANONICAL_ENTITY:ABDOL_HOSEIN_MASUD_ANSARI__BD6739FDB2,1730,1730
CANONICAL_ENTITY:ABDOL_HOSSEIN_HEJAZI__A5D88CFD86,1770,1770
CANONICAL_ENTITY:ABDON_PARRA__95B908B657,868,868
CANONICAL_ENTITY:ABDOULAYE_DIALLO__818DF622BA,1262,1262
CANONICAL_ENTITY:ABDULGANI__CBA10F1A2C,284,284
CANONICAL_ENTITY:ABDULLAHI_ISSA__F324C48ED0,1866,1866
CANONICAL_ENTITY:ABDULLAH_ABID__36CFFF5838,1695,1695
CANONICAL_ENTITY:ABDULLAH_GOVERNMENT__4F40DDC45C,285,285
CANONICAL_ENTITY:ABDULLAH_IBRAHIM__CEB46ED114,1229,1229
CANONICAL_ENTITY:ABDULLAH_RIMAWI__57439A98E2,816,816
CANONICAL_ENTITY:ABDULLAH_TARIKI__B358E7910A,817,817
CANONICAL_ENTITY:ABDULLAH_YAFI__BA3FAD5C2E,1696,1696
CANONICAL_ENTITY:ABDULLA_MUBARRAK__8FA741B294,818,818
CANONICAL_ENTITY:ABDULLA_RIMAWI__7E7FEB0D4C,1,1
CANONICAL_ENTITY:ABDULLA__EFD00DE76F,1086,1086
CANONICAL_ENTITY:ABDUL_AZIZ_CHOUCHANE__06E0882594,1697,1697
CANONICAL_ENTITY:ABDUL_GHAFFER_KHAN__AD542BBC3C,618,618
CANONICAL_ENTITY:ABDUL_MAJID_KUBAAR__B273D2BA8E,727,727
CANONICAL_ENTITY:ABDUL_MONEM_RIFAI__00A32E1A0E,2067,2067
CANONICAL_ENTITY:ABDUL_RAHMAN_AZZAM__0C9E258FDA,1698,1698
CANONICAL_ENTITY:ABDUL_RAHMAN_BABU__0DDA920643,1625,1625
CANONICAL_ENTITY:ABDUL_RAHMAN__DD515F9DF7,684,684
CANONICAL_ENTITY:ABDUL_RAZAK__484E1DC364,1841,1841
CANONICAL_ENTITY:ABDUL_RAZEK__5F3F88B39B,394,394
CANONICAL_ENTITY:ABDUS_SATTAR_SHALIZI__A42986207F,619,619
CANONICAL_ENTITY:ABDYL_KELLEZI__F8E7C65122,2096,2096
CANONICAL_ENTITY:ABD_AL_GHAFFAR__1BBF754AC7,1932,1932
CANONICAL_ENTITY:ABD_AL_HAMID_BADAWI_PASHA__0F91164321,2067,2067
CANONICAL_ENTITY:ABD_AL_HAMID_SARRAJ__23D1992A55,1263,1263
CANONICAL_ENTITY:ABD_AL_ILAH__AAD7678298,961,961
CANONICAL_ENTITY:ABD_AL_KARIM__BA68B35C5A,819,819
CANONICAL_ENTITY:ABD_AL_LATIF_BAGHDADI__0092FD6E87,820,820
CANONICAL_ENTITY:ABD_AL_MAJID_KUBAAR__98243FCFD7,1231,1231
CANONICAL_ENTITY:ABD_AL_MUNIM_AL_QAYSUNI__0D45EB3727,330,330
