node_key,level2_id
LEVEL1_COMMUNITY:0,0
LEVEL1_COMMUNITY:1,1
LEVEL1_COMMUNITY:2,1
LEVEL1_COMMUNITY:3,1
LEVEL1_COMMUNITY:4,0
LEVEL1_COMMUNITY:5,1
LEVEL1_COMMUNITY:6,0
LEVEL1_COMMUNITY:7,2
LEVEL1_COMMUNITY:8,2
LEVEL1_COMMUNITY:9,1
LEVEL1_COMMUNITY:10,2
LEVEL1_COMMUNITY:11,2
LEVEL1_COMMUNITY:12,1
LEVEL1_COMMUNITY:13,1
LEVEL1_COMMUNITY:14,2
LEVEL1_COMMUNITY:15,0
LEVEL1_COMMUNITY:16,3
LEVEL1_COMMUNITY:17,1
LEVEL1_COMMUNITY:18,0
LEVEL1_COMMUNITY:19,3
LEVEL1_COMMUNITY:20,1
LEVEL1_COMMUNITY:21,2
LEVEL1_COMMUNITY:22,2
LEVEL1_COMMUNITY:23,2
LEVEL1_COMMUNITY:24,0
LEVEL1_COMMUNITY:25,1
LEVEL1_COMMUNITY:26,3
LEVEL1_COMMUNITY:27,3
LEVEL1_COMMUNITY:28,0
LEVEL1_COMMUNITY:29,1
LEVEL1_COMMUNITY:30,2
LEVEL1_COMMUNITY:31,3
LEVEL1_COMMUNITY:32,3
LEVEL1_COMMUNITY:33,0
LEVEL1_COMMUNITY:34,3
LEVEL1_COMMUNITY:35,3
LEVEL1_COMMUNITY:36,0
LEVEL1_COMMUNITY:37,2
LEVEL1_COMMUNITY:38,1
LEVEL1_COMMUNITY:39,1
LEVEL1_COMMUNITY:40,0
LEVEL1_COMMUNITY:41,1
LEVEL1_COMMUNITY:42,2
LEVEL1_COMMUNITY:43,0
LEVEL1_COMMUNITY:44,1
LEVEL1_COMMUNITY:45,0
LEVEL1_COMMUNITY:46,2
LEVEL1_COMMUNITY:47,0
LEVEL1_COMMUNITY:48,0
LEVEL1_COMMUNITY:49,0
LEVEL1_COMMUNITY:50,1
LEVEL1_COMMUNITY:51,2
LEVEL1_COMMUNITY:52,2
LEVEL1_COMMUNITY:53,0
LEVEL1_COMMUNITY:54,0
LEVEL1_COMMUNITY:55,0
LEVEL1_COMMUNITY:56,1
LEVEL1_COMMUNITY:57,0
LEVEL1_COMMUNITY:58,3
LEVEL1_COMMUNITY:59,4
LEVEL1_COMMUNITY:60,5
LEVEL1_COMMUNITY:61,6
