source,target,source_global,target_global,rel,weight,support_count,doc_ids
COMMUNITY:0,COMMUNITY:2264,COMMUNITY:0,COMMUNITY:2264,META_LINK,0.10656810754388744,13,2977781_CIA-RDP79T00975A005000510001-9;3177890_CIA-RDP79T00975A005000430001-8
COMMUNITY:10,COMMUNITY:1278,COMMUNITY:10,COMMUNITY:1278,META_LINK,0.12420944325769034,7,2995603_CIA-RDP79T00975A002500220001-9
COMMUNITY:100,COMMUNITY:111,COMMUNITY:100,COMMUNITY:111,META_LINK,0.08117194250916057,23,2000169_CIA-RDP79T00975A005500060001-4;2000188_CIA-RDP79T00975A005500300001-7;2000194_CIA-RDP79T00975A005500360001-1;2049790_CIA-RDP79T00975A005700230001-3;2049799_CIA-RDP79T00975A005700400001-4;2901113_CIA-RDP79T00975A001100440001-0;3002532_CIA-RDP79T00975A001600070001-6;3184088_CIA-RDP79T00975A003400430001-6
COMMUNITY:1001,COMMUNITY:250,COMMUNITY:1001,COMMUNITY:250,META_LINK,0.10796160014016803,4,3003303_CIA-RDP79T00975A004300330001-7
COMMUNITY:1001,COMMUNITY:516,COMMUNITY:1001,COMMUNITY:516,META_LINK,0.13372571622190807,7,3003303_CIA-RDP79T00975A004300330001-7
COMMUNITY:1002,COMMUNITY:1005,COMMUNITY:1002,COMMUNITY:1005,META_LINK,0.0806052001445169,31,2000176_CIA-RDP79T00975A005500160001-3;2049796_CIA-RDP79T00975A005700370001-8;2066873_CIA-RDP79T00975A005400430001-4;2993692_CIA-RDP79T00975A005400270001-2;2993699_CIA-RDP79T00975A005400370001-1;3031267_CIA-RDP79T00975A004900200001-5;3166571_CIA-RDP79T00975A004800240001-2;3172224_CIA-RDP79T00975A004900170001-9;3173542_CIA-RDP79T00975A004900420001-1;3185137_CIA-RDP79T00975A005200100001-2
COMMUNITY:1002,COMMUNITY:1009,COMMUNITY:1002,COMMUNITY:1009,META_LINK,0.0847288130651289,22,3007359_CIA-RDP79T00975A004800370001-8;3177887_CIA-RDP79T00975A005000350001-7;3177891_CIA-RDP79T00975A005000440001-7;3184091_CIA-RDP79T00975A004900040001-3;3189329_CIA-RDP79T00975A005100310001-0;3191548_CIA-RDP79T00975A004500290001-0
COMMUNITY:1002,COMMUNITY:1012,COMMUNITY:1002,COMMUNITY:1012,META_LINK,0.08822417870167718,45,2000171_CIA-RDP79T00975A005500080001-2;2001993_CIA-RDP79T00975A005700040001-4;2049779_CIA-RDP79T00975A005700080001-0;2977781_CIA-RDP79T00975A005000510001-9;2989930_CIA-RDP79T00975A004800120001-5;3163342_CIA-RDP79T00975A004600040001-6;3163344_CIA-RDP79T00975A004600080001-2;3173539_CIA-RDP79T00975A004900390001-5;3177789_CIA-RDP79T00975A003600280001-1;3177792_CIA-RDP79T00975A003600310001-7;3177793_CIA-RDP79T00975A003600340001-4;3177794_CIA-RDP79T00975A003600350001-3;3177884_CIA-RDP79T00975A004900480001-5;3177893_CIA-RDP79T00975A005000490001-2;3185135_CIA-RDP79T00975A005200070001-6;3189334_CIA-RDP79T00975A005100370001-4;3191542_CIA-RDP79T00975A004500230001-6;3191560_CIA-RDP79T00975A004600460001-0
COMMUNITY:1002,COMMUNITY:1013,COMMUNITY:1002,COMMUNITY:1013,META_LINK,0.11798402270094721,57,2000181_CIA-RDP79T00975A005500210001-7;2000196_CIA-RDP79T00975A005500380001-9;2001987_CIA-RDP79T00975A005600430001-2;2001989_CIA-RDP79T00975A005600450001-0;2001991_CIA-RDP79T00975A005600480001-7;2066870_CIA-RDP79T00975A005000530001-7;2977785_CIA-RDP79T00975A005300310001-8;2977796_CIA-RDP79T00975A005300430001-5;2989912_CIA-RDP79T00975A004600200001-8;2989923_CIA-RDP79T00975A004700080001-1;2993709_CIA-RDP79T00975A005500020001-8;3007372_CIA-RDP79T00975A004900190001-7;3029881_CIA-RDP79T00975A004700140001-4;3029882_CIA-RDP79T00975A004700150001-3;3029886_CIA-RDP79T00975A004700430001-2;3029889_CIA-RDP79T00975A004700470001-8;3031253_CIA-RDP79T00975A004700480001-7;3031255_CIA-RDP79T00975A004700500001-4;3153712_CIA-RDP79T00975A003300040001-0;3163342_CIA-RDP79T00975A004600040001-6;3163344_CIA-RDP79T00975A004600080001-2;3163347_CIA-RDP79T00975A004600280001-0;3164688_CIA-RDP79T00975A004700270001-0;3166571_CIA-RDP79T00975A004800240001-2;3172225_CIA-RDP79T00975A004900300001-4;3176908_CIA-RDP79T00975A003400400001-9;3177775_CIA-RDP79T00975A003600080001-3;3177778_CIA-RDP79T00975A003600110001-9;3185142_CIA-RDP79T00975A005200170001-5;3185148_CIA-RDP79T00975A005200330001-7
COMMUNITY:1002,COMMUNITY:1024,COMMUNITY:1002,COMMUNITY:1024,META_LINK,0.09983475733336582,58,2008410_CIA-RDP79T00975A001000080001-1;2064589_CIA-RDP79T00975A000700070001-6;2623671_CIA-RDP79T00975A000600140001-9;2901101_CIA-RDP79T00975A001100310001-4;3000847_CIA-RDP79T00975A001700270001-3;3003754_CIA-RDP79T00975A001300720001-7;3003784_CIA-RDP79T00975A001400280001-5;3007358_CIA-RDP79T00975A004800360001-9;3015180_CIA-RDP79T00975A002700480001-9;3161842_CIA-RDP79T00975A003300050001-9;3176908_CIA-RDP79T00975A003400400001-9;3177772_CIA-RDP79T00975A003600050001-6;3177775_CIA-RDP79T00975A003600080001-3;3177782_CIA-RDP79T00975A003600180001-2;3177789_CIA-RDP79T00975A003600280001-1;3177792_CIA-RDP79T00975A003600310001-7;3177793_CIA-RDP79T00975A003600340001-4;3177794_CIA-RDP79T00975A003600350001-3;3177795_CIA-RDP79T00975A003600360001-2;3180490_CIA-RDP79T00975A003000190001-7;3183782_CIA-RDP79T00975A002700400001-7;3191542_CIA-RDP79T00975A004500230001-6;3191547_CIA-RDP79T00975A004500280001-1;3191553_CIA-RDP79T00975A004500360001-2;5973627_CIA-RDP79T00975A000800590001-1
