community_id,community_key,narrative_id,narrative_key
0,COMMUNITY:0,0,NARRATIVE:0
1,COMMUNITY:1,0,NARRATIVE:0
2,COMMUNITY:2,0,NARRATIVE:0
3,COMMUNITY:3,0,NARRATIVE:0
4,COMMUNITY:4,0,NARRATIVE:0
5,COMMUNITY:5,0,NARRATIVE:0
6,COMMUNITY:6,0,NARRATIVE:0
7,COMMUNITY:7,0,NARRATIVE:0
8,COMMUNITY:8,0,NARRATIVE:0
9,COMMUNITY:9,0,NARRATIVE:0
10,COMMUNITY:10,0,NARRATIVE:0
11,COMMUNITY:11,0,NARRATIVE:0
12,COMMUNITY:12,0,NARRATIVE:0
13,COMMUNITY:13,0,NARRATIVE:0
14,COMMUNITY:14,0,NARRATIVE:0
15,COMMUNITY:15,0,NARRATIVE:0
16,COMMUNITY:16,0,NARRATIVE:0
17,COMMUNITY:17,0,NARRATIVE:0
18,COMMUNITY:18,0,NARRATIVE:0
19,COMMUNITY:19,0,NARRATIVE:0
20,COMMUNITY:20,0,NARRATIVE:0
21,COMMUNITY:21,0,NARRATIVE:0
22,COMMUNITY:22,0,NARRATIVE:0
23,COMMUNITY:23,0,NARRATIVE:0
24,COMMUNITY:24,0,NARRATIVE:0
25,COMMUNITY:25,0,NARRATIVE:0
26,COMMUNITY:26,0,NARRATIVE:0
27,COMMUNITY:27,0,NARRATIVE:0
28,COMMUNITY:28,0,NARRATIVE:0
29,COMMUNITY:29,0,NARRATIVE:0
30,COMMUNITY:30,0,NARRATIVE:0
31,COMMUNITY:31,0,NARRATIVE:0
32,COMMUNITY:32,0,NARRATIVE:0
33,COMMUNITY:33,0,NARRATIVE:0
34,COMMUNITY:34,0,NARRATIVE:0
35,COMMUNITY:35,0,NARRATIVE:0
36,COMMUNITY:36,0,NARRATIVE:0
37,COMMUNITY:37,0,NARRATIVE:0
38,COMMUNITY:38,0,NARRATIVE:0
39,COMMUNITY:39,0,NARRATIVE:0
40,COMMUNITY:40,0,NARRATIVE:0
41,COMMUNITY:41,0,NARRATIVE:0
42,COMMUNITY:42,0,NARRATIVE:0
43,COMMUNITY:43,0,NARRATIVE:0
44,COMMUNITY:44,0,NARRATIVE:0
45,COMMUNITY:45,0,NARRATIVE:0
46,COMMUNITY:46,0,NARRATIVE:0
47,COMMUNITY:47,0,NARRATIVE:0
48,COMMUNITY:48,0,NARRATIVE:0
49,COMMUNITY:49,0,NARRATIVE:0
50,COMMUNITY:50,0,NARRATIVE:0
51,COMMUNITY:51,0,NARRATIVE:0
52,COMMUNITY:52,0,NARRATIVE:0
53,COMMUNITY:53,0,NARRATIVE:0
54,COMMUNITY:54,0,NARRATIVE:0
55,COMMUNITY:55,0,NARRATIVE:0
56,COMMUNITY:56,0,NARRATIVE:0
57,COMMUNITY:57,0,NARRATIVE:0
58,COMMUNITY:58,0,NARRATIVE:0
59,COMMUNITY:59,0,NARRATIVE:0
60,COMMUNITY:60,0,NARRATIVE:0
61,COMMUNITY:61,0,NARRATIVE:0
62,COMMUNITY:62,0,NARRATIVE:0
63,COMMUNITY:63,0,NARRATIVE:0
64,COMMUNITY:64,0,NARRATIVE:0
65,COMMUNITY:65,0,NARRATIVE:0
66,COMMUNITY:66,0,NARRATIVE:0
67,COMMUNITY:67,0,NARRATIVE:0
68,COMMUNITY:68,0,NARRATIVE:0
69,COMMUNITY:69,0,NARRATIVE:0
70,COMMUNITY:70,0,NARRATIVE:0
71,COMMUNITY:71,0,NARRATIVE:0
72,COMMUNITY:72,0,NARRATIVE:0
73,COMMUNITY:73,1,NARRATIVE:1
74,COMMUNITY:74,1,NARRATIVE:1
75,COMMUNITY:75,1,NARRATIVE:1
76,COMMUNITY:76,1,NARRATIVE:1
77,COMMUNITY:77,1,NARRATIVE:1
78,COMMUNITY:78,1,NARRATIVE:1
79,COMMUNITY:79,1,NARRATIVE:1
80,COMMUNITY:80,1,NARRATIVE:1
81,COMMUNITY:81,1,NARRATIVE:1
82,COMMUNITY:82,1,NARRATIVE:1
83,COMMUNITY:83,1,NARRATIVE:1
84,COMMUNITY:84,1,NARRATIVE:1
85,COMMUNITY:85,1,NARRATIVE:1
86,COMMUNITY:86,1,NARRATIVE:1
87,COMMUNITY:87,1,NARRATIVE:1
88,COMMUNITY:88,1,NARRATIVE:1
89,COMMUNITY:89,1,NARRATIVE:1
90,COMMUNITY:90,1,NARRATIVE:1
91,COMMUNITY:91,1,NARRATIVE:1
92,COMMUNITY:92,1,NARRATIVE:1
93,COMMUNITY:93,1,NARRATIVE:1
94,COMMUNITY:94,1,NARRATIVE:1
95,COMMUNITY:95,1,NARRATIVE:1
96,COMMUNITY:96,1,NARRATIVE:1
97,COMMUNITY:97,1,NARRATIVE:1
98,COMMUNITY:98,1,NARRATIVE:1
99,COMMUNITY:99,1,NARRATIVE:1
100,COMMUNITY:100,1,NARRATIVE:1
101,COMMUNITY:101,1,NARRATIVE:1
102,COMMUNITY:102,1,NARRATIVE:1
103,COMMUNITY:103,1,NARRATIVE:1
104,COMMUNITY:104,1,NARRATIVE:1
105,COMMUNITY:105,1,NARRATIVE:1
106,COMMUNITY:106,1,NARRATIVE:1
107,COMMUNITY:107,1,NARRATIVE:1
108,COMMUNITY:108,1,NARRATIVE:1
109,COMMUNITY:109,1,NARRATIVE:1
110,COMMUNITY:110,1,NARRATIVE:1
111,COMMUNITY:111,1,NARRATIVE:1
112,COMMUNITY:112,1,NARRATIVE:1
113,COMMUNITY:113,1,NARRATIVE:1
114,COMMUNITY:114,1,NARRATIVE:1
115,COMMUNITY:115,1,NARRATIVE:1
116,COMMUNITY:116,1,NARRATIVE:1
117,COMMUNITY:117,1,NARRATIVE:1
118,COMMUNITY:118,1,NARRATIVE:1
119,COMMUNITY:119,1,NARRATIVE:1
120,COMMUNITY:120,1,NARRATIVE:1
121,COMMUNITY:121,2,NARRATIVE:2
122,COMMUNITY:122,2,NARRATIVE:2
123,COMMUNITY:123,2,NARRATIVE:2
124,COMMUNITY:124,2,NARRATIVE:2
125,COMMUNITY:125,2,NARRATIVE:2
126,COMMUNITY:126,2,NARRATIVE:2
127,COMMUNITY:127,2,NARRATIVE:2
128,COMMUNITY:128,2,NARRATIVE:2
129,COMMUNITY:129,2,NARRATIVE:2
130,COMMUNITY:130,2,NARRATIVE:2
131,COMMUNITY:131,2,NARRATIVE:2
132,COMMUNITY:132,2,NARRATIVE:2
133,COMMUNITY:133,2,NARRATIVE:2
134,COMMUNITY:134,2,NARRATIVE:2
135,COMMUNITY:135,2,NARRATIVE:2
136,COMMUNITY:136,2,NARRATIVE:2
137,COMMUNITY:137,2,NARRATIVE:2
138,COMMUNITY:138,2,NARRATIVE:2
139,COMMUNITY:139,2,NARRATIVE:2
140,COMMUNITY:140,2,NARRATIVE:2
141,COMMUNITY:141,2,NARRATIVE:2
142,COMMUNITY:142,2,NARRATIVE:2
143,COMMUNITY:143,2,NARRATIVE:2
144,COMMUNITY:144,2,NARRATIVE:2
145,COMMUNITY:145,2,NARRATIVE:2
146,COMMUNITY:146,2,NARRATIVE:2
147,COMMUNITY:147,2,NARRATIVE:2
148,COMMUNITY:148,2,NARRATIVE:2
149,COMMUNITY:149,2,NARRATIVE:2
150,COMMUNITY:150,2,NARRATIVE:2
151,COMMUNITY:151,2,NARRATIVE:2
152,COMMUNITY:152,2,NARRATIVE:2
153,COMMUNITY:153,2,NARRATIVE:2
154,COMMUNITY:154,2,NARRATIVE:2
155,COMMUNITY:155,2,NARRATIVE:2
156,COMMUNITY:156,2,NARRATIVE:2
157,COMMUNITY:157,2,NARRATIVE:2
158,COMMUNITY:158,2,NARRATIVE:2
159,COMMUNITY:159,2,NARRATIVE:2
160,COMMUNITY:160,2,NARRATIVE:2
161,COMMUNITY:161,2,NARRATIVE:2
162,COMMUNITY:162,2,NARRATIVE:2
163,COMMUNITY:163,2,NARRATIVE:2
164,COMMUNITY:164,2,NARRATIVE:2
165,COMMUNITY:165,2,NARRATIVE:2
166,COMMUNITY:166,2,NARRATIVE:2
167,COMMUNITY:167,2,NARRATIVE:2
168,COMMUNITY:168,2,NARRATIVE:2
169,COMMUNITY:169,2,NARRATIVE:2
170,COMMUNITY:170,2,NARRATIVE:2
171,COMMUNITY:171,2,NARRATIVE:2
172,COMMUNITY:172,2,NARRATIVE:2
173,COMMUNITY:173,2,NARRATIVE:2
174,COMMUNITY:174,2,NARRATIVE:2
175,COMMUNITY:175,3,NARRATIVE:3
176,COMMUNITY:176,3,NARRATIVE:3
177,COMMUNITY:177,3,NARRATIVE:3
178,COMMUNITY:178,3,NARRATIVE:3
179,COMMUNITY:179,3,NARRATIVE:3
180,COMMUNITY:180,3,NARRATIVE:3
181,COMMUNITY:181,3,NARRATIVE:3
182,COMMUNITY:182,3,NARRATIVE:3
183,COMMUNITY:183,3,NARRATIVE:3
184,COMMUNITY:184,3,NARRATIVE:3
185,COMMUNITY:185,3,NARRATIVE:3
186,COMMUNITY:186,3,NARRATIVE:3
187,COMMUNITY:187,3,NARRATIVE:3
188,COMMUNITY:188,3,NARRATIVE:3
189,COMMUNITY:189,3,NARRATIVE:3
190,COMMUNITY:190,3,NARRATIVE:3
191,COMMUNITY:191,3,NARRATIVE:3
192,COMMUNITY:192,3,NARRATIVE:3
193,COMMUNITY:193,3,NARRATIVE:3
194,COMMUNITY:194,3,NARRATIVE:3
195,COMMUNITY:195,3,NARRATIVE:3
196,COMMUNITY:196,3,NARRATIVE:3
197,COMMUNITY:197,3,NARRATIVE:3
198,COMMUNITY:198,3,NARRATIVE:3
199,COMMUNITY:199,3,NARRATIVE:3
200,COMMUNITY:200,3,NARRATIVE:3
201,COMMUNITY:201,3,NARRATIVE:3
202,COMMUNITY:202,3,NARRATIVE:3
203,COMMUNITY:203,3,NARRATIVE:3
204,COMMUNITY:204,3,NARRATIVE:3
205,COMMUNITY:205,3,NARRATIVE:3
206,COMMUNITY:206,3,NARRATIVE:3
207,COMMUNITY:207,3,NARRATIVE:3
208,COMMUNITY:208,3,NARRATIVE:3
209,COMMUNITY:209,3,NARRATIVE:3
210,COMMUNITY:210,3,NARRATIVE:3
211,COMMUNITY:211,3,NARRATIVE:3
212,COMMUNITY:212,3,NARRATIVE:3
213,COMMUNITY:213,3,NARRATIVE:3
214,COMMUNITY:214,3,NARRATIVE:3
215,COMMUNITY:215,3,NARRATIVE:3
216,COMMUNITY:216,3,NARRATIVE:3
217,COMMUNITY:217,3,NARRATIVE:3
218,COMMUNITY:218,3,NARRATIVE:3
219,COMMUNITY:219,3,NARRATIVE:3
220,COMMUNITY:220,3,NARRATIVE:3
221,COMMUNITY:221,3,NARRATIVE:3
222,COMMUNITY:222,3,NARRATIVE:3
223,COMMUNITY:223,3,NARRATIVE:3
224,COMMUNITY:224,4,NARRATIVE:4
225,COMMUNITY:225,4,NARRATIVE:4
226,COMMUNITY:226,4,NARRATIVE:4
227,COMMUNITY:227,4,NARRATIVE:4
228,COMMUNITY:228,4,NARRATIVE:4
229,COMMUNITY:229,4,NARRATIVE:4
230,COMMUNITY:230,4,NARRATIVE:4
231,COMMUNITY:231,4,NARRATIVE:4
232,COMMUNITY:232,4,NARRATIVE:4
233,COMMUNITY:233,4,NARRATIVE:4
234,COMMUNITY:234,4,NARRATIVE:4
235,COMMUNITY:235,4,NARRATIVE:4
236,COMMUNITY:236,4,NARRATIVE:4
237,COMMUNITY:237,4,NARRATIVE:4
238,COMMUNITY:238,4,NARRATIVE:4
239,COMMUNITY:239,4,NARRATIVE:4
240,COMMUNITY:240,4,NARRATIVE:4
241,COMMUNITY:241,4,NARRATIVE:4
242,COMMUNITY:242,4,NARRATIVE:4
243,COMMUNITY:243,4,NARRATIVE:4
244,COMMUNITY:244,4,NARRATIVE:4
245,COMMUNITY:245,4,NARRATIVE:4
246,COMMUNITY:246,4,NARRATIVE:4
247,COMMUNITY:247,4,NARRATIVE:4
248,COMMUNITY:248,4,NARRATIVE:4
249,COMMUNITY:249,4,NARRATIVE:4
250,COMMUNITY:250,4,NARRATIVE:4
251,COMMUNITY:251,4,NARRATIVE:4
252,COMMUNITY:252,4,NARRATIVE:4
253,COMMUNITY:253,4,NARRATIVE:4
254,COMMUNITY:254,4,NARRATIVE:4
255,COMMUNITY:255,4,NARRATIVE:4
256,COMMUNITY:256,4,NARRATIVE:4
257,COMMUNITY:257,4,NARRATIVE:4
258,COMMUNITY:258,4,NARRATIVE:4
259,COMMUNITY:259,4,NARRATIVE:4
260,COMMUNITY:260,4,NARRATIVE:4
261,COMMUNITY:261,4,NARRATIVE:4
262,COMMUNITY:262,4,NARRATIVE:4
263,COMMUNITY:263,4,NARRATIVE:4
264,COMMUNITY:264,4,NARRATIVE:4
265,COMMUNITY:265,4,NARRATIVE:4
266,COMMUNITY:266,4,NARRATIVE:4
267,COMMUNITY:267,4,NARRATIVE:4
268,COMMUNITY:268,4,NARRATIVE:4
269,COMMUNITY:269,4,NARRATIVE:4
270,COMMUNITY:270,4,NARRATIVE:4
271,COMMUNITY:271,4,NARRATIVE:4
272,COMMUNITY:272,4,NARRATIVE:4
273,COMMUNITY:273,4,NARRATIVE:4
274,COMMUNITY:274,4,NARRATIVE:4
275,COMMUNITY:275,4,NARRATIVE:4
276,COMMUNITY:276,4,NARRATIVE:4
277,COMMUNITY:277,4,NARRATIVE:4
278,COMMUNITY:278,4,NARRATIVE:4
279,COMMUNITY:279,4,NARRATIVE:4
280,COMMUNITY:280,4,NARRATIVE:4
281,COMMUNITY:281,5,NARRATIVE:5
282,COMMUNITY:282,5,NARRATIVE:5
283,COMMUNITY:283,5,NARRATIVE:5
